state_name,place_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
Arkansas,Fort Smith city,15,5,6,1,27,0.5555555555555556,0.2222222222222222,0.037037037037037035,30,5,-6,-2,27
Arkansas,Jonesboro city,15,6,5,1,27,0.5555555555555556,0.18518518518518517,0.037037037037037035,30,6,-5,-2,29
Arkansas,Little Rock city,25,1,0,1,27,0.9259259259259259,0,0.037037037037037035,50,1,-0,-2,49
Arkansas,Springdale city,14,2,10,1,27,0.5185185185185185,0.37037037037037035,0.037037037037037035,28,2,-10,-2,18
California,Alameda city,12,7,5,3,27,0.4444444444444444,0.18518518518518517,0.1111111111111111,24,7,-5,-6,20
California,Alhambra city,12,10,2,3,27,0.4444444444444444,0.07407407407407407,0.1111111111111111,24,10,-2,-6,26
California,Anaheim city,19,5,1,2,27,0.7037037037037037,0.037037037037037035,0.07407407407407407,38,5,-1,-4,38
California,Antioch city,17,6,1,3,27,0.6296296296296297,0.037037037037037035,0.1111111111111111,34,6,-1,-6,33
California,Apple Valley town,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Bakersfield city,14,10,1,2,27,0.5185185185185185,0.037037037037037035,0.07407407407407407,28,10,-1,-4,33
California,Bellflower city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Berkeley city,17,5,2,3,27,0.6296296296296297,0.07407407407407407,0.1111111111111111,34,5,-2,-6,31
California,Buena Park city,13,1,10,3,27,0.48148148148148145,0.37037037037037035,0.1111111111111111,26,1,-10,-6,11
California,Burbank city,17,5,2,3,27,0.6296296296296297,0.07407407407407407,0.1111111111111111,34,5,-2,-6,31
California,Carlsbad city,21,3,2,1,27,0.7777777777777778,0.07407407407407407,0.037037037037037035,42,3,-2,-2,41
California,Carson city,22,0,1,4,27,0.8148148148148148,0.037037037037037035,0.14814814814814814,44,0,-1,-8,35
California,Chico city,19,1,5,3,28,0.6785714285714286,0.17857142857142858,0.10714285714285714,38,1,-5,-6,28
California,Chino city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Chino Hills city,11,11,1,4,27,0.4074074074074074,0.037037037037037035,0.14814814814814814,22,11,-1,-8,24
California,Chula Vista city,21,5,1,0,27,0.7777777777777778,0.037037037037037035,0,42,5,-1,-0,46
California,Citrus Heights city,20,1,2,5,28,0.7142857142857143,0.07142857142857142,0.17857142857142858,40,1,-2,-10,29
California,Clovis city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,Compton city,13,11,1,3,28,0.4642857142857143,0.03571428571428571,0.10714285714285714,26,11,-1,-6,30
California,Concord city,14,0,10,3,27,0.5185185185185185,0.37037037037037035,0.1111111111111111,28,0,-10,-6,12
California,Corona city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Costa Mesa city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Daly City city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Downey city,21,1,2,3,27,0.7777777777777778,0.07407407407407407,0.1111111111111111,42,1,-2,-6,35
California,El Cajon city,14,10,2,1,27,0.5185185185185185,0.07407407407407407,0.037037037037037035,28,10,-2,-2,34
California,El Monte city,17,5,2,3,27,0.6296296296296297,0.07407407407407407,0.1111111111111111,34,5,-2,-6,31
California,Elk Grove city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
California,Escondido city,20,1,5,1,27,0.7407407407407407,0.18518518518518517,0.037037037037037035,40,1,-5,-2,34
California,Fairfield city,18,1,5,3,27,0.6666666666666666,0.18518518518518517,0.1111111111111111,36,1,-5,-6,26
California,Folsom city,10,9,3,5,27,0.37037037037037035,0.1111111111111111,0.18518518518518517,20,9,-3,-10,16
California,Fontana city,19,5,1,2,27,0.7037037037037037,0.037037037037037035,0.07407407407407407,38,5,-1,-4,38
California,Fremont city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
