state_name,county_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
Alabama,Baldwin County,28,2,3,0,33,0.8484848484848485,0.09090909090909091,0,56,2,-3,-0,55
Alabama,Jefferson County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Alabama,Madison County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Alabama,Mobile County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Alabama,Montgomery County,30,0,3,0,33,0.9090909090909091,0.09090909090909091,0,60,0,-3,-0,57
Alabama,Shelby County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Alabama,Tuscaloosa County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Alaska,Anchorage Municipality,27,0,5,1,33,0.8181818181818182,0.15151515151515152,0.030303030303030304,54,0,-5,-2,47
Arizona,Maricopa County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Arizona,Mohave County,29,1,3,0,33,0.8787878787878788,0.09090909090909091,0,58,1,-3,-0,56
Arizona,Pima County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Arizona,Pinal County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Arizona,Yavapai County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Arkansas,Benton County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Arkansas,Pulaski County,32,0,1,0,33,0.9696969696969697,0.030303030303030304,0,64,0,-1,-0,63
Arkansas,Washington County,32,0,1,0,33,0.9696969696969697,0.030303030303030304,0,64,0,-1,-0,63
California,Alameda County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Butte County,30,1,1,2,34,0.8823529411764706,0.029411764705882353,0.058823529411764705,60,1,-1,-4,56
California,Contra Costa County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Fresno County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Kern County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Los Angeles County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Marin County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Merced County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Monterey County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Orange County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Placer County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Riverside County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Sacramento County,31,0,1,2,34,0.9117647058823529,0.029411764705882353,0.058823529411764705,62,0,-1,-4,57
California,San Bernardino County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,San Diego County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
California,San Francisco County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,San Joaquin County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,San Luis Obispo County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,San Mateo County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Santa Barbara County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Santa Clara County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Santa Cruz County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Solano County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
California,Sonoma County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Stanislaus County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Tulare County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
California,Ventura County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
Colorado,Adams County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Colorado,Arapahoe County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Colorado,Boulder County,21,10,2,0,33,0.6363636363636364,0.06060606060606061,0,42,10,-2,-0,50
Colorado,Denver County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Colorado,Douglas County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Colorado,El Paso County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Colorado,Jefferson County,30,1,2,0,33,0.9090909090909091,0.06060606060606061,0,60,1,-2,-0,59
Colorado,Larimer County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Colorado,Weld County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Connecticut,Fairfield County,33,0,0,0,33,1,0,0,66,0,-0,-0,66
Connecticut,Hartford County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Connecticut,New Haven County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Connecticut,New London County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Delaware,New Castle County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Delaware,Sussex County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
District of Columbia,District of Columbia,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Florida,Alachua County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Brevard County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Broward County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Florida,Charlotte County,27,0,4,2,33,0.8181818181818182,0.12121212121212122,0.06060606060606061,54,0,-4,-4,46
Florida,Collier County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Duval County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Escambia County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Hillsborough County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Lake County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Lee County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Leon County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Manatee County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Marion County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Miami-Dade County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Florida,Okaloosa County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Orange County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Osceola County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Palm Beach County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Pasco County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Pinellas County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Polk County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Sarasota County,30,0,1,2,33,0.9090909090909091,0.030303030303030304,0.06060606060606061,60,0,-1,-4,55
Florida,Seminole County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,St. Johns County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,St. Lucie County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Florida,Volusia County,31,0,0,2,33,0.9393939393939394,0,0.06060606060606061,62,0,-0,-4,58
Georgia,Chatham County,29,0,4,0,33,0.8787878787878788,0.12121212121212122,0,58,0,-4,-0,54
Georgia,Cherokee County,28,0,5,0,33,0.8484848484848485,0.15151515151515152,0,56,0,-5,-0,51
Georgia,Clayton County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Georgia,Cobb County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Georgia,DeKalb County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Georgia,Forsyth County,30,0,3,0,33,0.9090909090909091,0.09090909090909091,0,60,0,-3,-0,57
Georgia,Fulton County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Georgia,Gwinnett County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Hawaii,Honolulu County,32,0,1,0,33,0.9696969696969697,0.030303030303030304,0,64,0,-1,-0,63
Idaho,Ada County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Illinois,Champaign County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Illinois,Cook County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Illinois,DuPage County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Illinois,Kane County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Illinois,Lake County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Illinois,Madison County,29,0,4,0,33,0.8787878787878788,0.12121212121212122,0,58,0,-4,-0,54
Illinois,McHenry County,30,0,3,0,33,0.9090909090909091,0.09090909090909091,0,60,0,-3,-0,57
Illinois,Sangamon County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Illinois,St. Clair County,30,0,3,0,33,0.9090909090909091,0.09090909090909091,0,60,0,-3,-0,57
Illinois,Will County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Illinois,Winnebago County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Indiana,Allen County,33,0,0,0,33,1,0,0,66,0,-0,-0,66
Indiana,Hamilton County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Indiana,Lake County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Indiana,Marion County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Indiana,St. Joseph County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Iowa,Linn County,28,2,3,0,33,0.8484848484848485,0.09090909090909091,0,56,2,-3,-0,55
Iowa,Polk County,32,0,1,0,33,0.9696969696969697,0.030303030303030304,0,64,0,-1,-0,63
Kansas,Johnson County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Kansas,Sedgwick County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Kentucky,Fayette County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Kentucky,Jefferson County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Louisiana,Caddo Parish,29,0,4,0,33,0.8787878787878788,0.12121212121212122,0,58,0,-4,-0,54
Louisiana,East Baton Rouge Parish,31,2,1,0,34,0.9117647058823529,0.029411764705882353,0,62,2,-1,-0,63
