state_name,county_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
Alabama,Autauga County,22,4,7,0,33,0.6666666666666666,0.21212121212121213,0,44,4,-7,-0,41
Alabama,Baldwin County,28,2,3,0,33,0.8484848484848485,0.09090909090909091,0,56,2,-3,-0,55
Alabama,Barbour County,20,5,8,0,33,0.6060606060606061,0.24242424242424243,0,40,5,-8,-0,37
Alabama,Bibb County,22,5,6,0,33,0.6666666666666666,0.18181818181818182,0,44,5,-6,-0,43
Alabama,Blount County,21,6,6,0,33,0.6363636363636364,0.18181818181818182,0,42,6,-6,-0,42
Alabama,Bullock County,19,7,7,0,33,0.5757575757575758,0.21212121212121213,0,38,7,-7,-0,38
Alabama,Butler County,20,6,7,0,33,0.6060606060606061,0.21212121212121213,0,40,6,-7,-0,39
Alabama,Calhoun County,28,2,3,0,33,0.8484848484848485,0.09090909090909091,0,56,2,-3,-0,55
Alabama,Chambers County,21,5,7,0,33,0.6363636363636364,0.21212121212121213,0,42,5,-7,-0,40
Alabama,Cherokee County,20,8,5,0,33,0.6060606060606061,0.15151515151515152,0,40,8,-5,-0,43
Alabama,Chilton County,21,3,9,0,33,0.6363636363636364,0.2727272727272727,0,42,3,-9,-0,36
Alabama,Choctaw County,17,6,10,0,33,0.5151515151515151,0.30303030303030304,0,34,6,-10,-0,30
Alabama,Clarke County,20,6,6,1,33,0.6060606060606061,0.18181818181818182,0.030303030303030304,40,6,-6,-2,38
Alabama,Clay County,21,7,5,0,33,0.6363636363636364,0.15151515151515152,0,42,7,-5,-0,44
Alabama,Cleburne County,20,8,5,0,33,0.6060606060606061,0.15151515151515152,0,40,8,-5,-0,43
Alabama,Coffee County,23,8,2,0,33,0.696969696969697,0.06060606060606061,0,46,8,-2,-0,52
Alabama,Colbert County,21,7,5,0,33,0.6363636363636364,0.15151515151515152,0,42,7,-5,-0,44
Alabama,Conecuh County,19,6,7,1,33,0.5757575757575758,0.21212121212121213,0.030303030303030304,38,6,-7,-2,35
Alabama,Coosa County,17,5,9,2,33,0.5151515151515151,0.2727272727272727,0.06060606060606061,34,5,-9,-4,26
Alabama,Covington County,21,6,6,0,33,0.6363636363636364,0.18181818181818182,0,42,6,-6,-0,42
Alabama,Crenshaw County,18,6,9,0,33,0.5454545454545454,0.2727272727272727,0,36,6,-9,-0,33
Alabama,Cullman County,26,0,7,0,33,0.7878787878787878,0.21212121212121213,0,52,0,-7,-0,45
Alabama,Dale County,21,7,5,0,33,0.6363636363636364,0.15151515151515152,0,42,7,-5,-0,44
Alabama,Dallas County,19,5,9,0,33,0.5757575757575758,0.2727272727272727,0,38,5,-9,-0,34
Alabama,DeKalb County,21,7,5,0,33,0.6363636363636364,0.15151515151515152,0,42,7,-5,-0,44
Alabama,Elmore County,21,7,5,0,33,0.6363636363636364,0.15151515151515152,0,42,7,-5,-0,44
Alabama,Escambia County,20,5,8,0,33,0.6060606060606061,0.24242424242424243,0,40,5,-8,-0,37
Alabama,Etowah County,26,2,5,0,33,0.7878787878787878,0.15151515151515152,0,52,2,-5,-0,49
Alabama,Fayette County,21,4,8,0,33,0.6363636363636364,0.24242424242424243,0,42,4,-8,-0,38
Alabama,Franklin County,19,6,8,0,33,0.5757575757575758,0.24242424242424243,0,38,6,-8,-0,36
Alabama,Geneva County,20,8,5,0,33,0.6060606060606061,0.15151515151515152,0,40,8,-5,-0,43
Alabama,Greene County,15,5,12,1,33,0.45454545454545453,0.36363636363636365,0.030303030303030304,30,5,-12,-2,21
Alabama,Hale County,18,6,8,1,33,0.5454545454545454,0.24242424242424243,0.030303030303030304,36,6,-8,-2,32
Alabama,Henry County,19,9,5,0,33,0.5757575757575758,0.15151515151515152,0,38,9,-5,-0,42
Alabama,Houston County,22,10,1,0,33,0.6666666666666666,0.030303030303030304,0,44,10,-1,-0,53
Alabama,Jackson County,21,6,6,0,33,0.6363636363636364,0.18181818181818182,0,42,6,-6,-0,42
Alabama,Jefferson County,31,2,0,0,33,0.9393939393939394,0,0,62,2,-0,-0,64
Alabama,Lamar County,18,6,8,1,33,0.5454545454545454,0.24242424242424243,0.030303030303030304,36,6,-8,-2,32
Alabama,Lauderdale County,21,9,3,0,33,0.6363636363636364,0.09090909090909091,0,42,9,-3,-0,48
Alabama,Lawrence County,20,5,8,0,33,0.6060606060606061,0.24242424242424243,0,40,5,-8,-0,37
Alabama,Lee County,28,2,3,0,33,0.8484848484848485,0.09090909090909091,0,56,2,-3,-0,55
Alabama,Limestone County,21,5,7,0,33,0.6363636363636364,0.21212121212121213,0,42,5,-7,-0,40
Alabama,Lowndes County,16,4,12,1,33,0.48484848484848486,0.36363636363636365,0.030303030303030304,32,4,-12,-2,22
Alabama,Macon County,17,11,5,0,33,0.5151515151515151,0.15151515151515152,0,34,11,-5,-0,40
Alabama,Madison County,31,0,2,0,33,0.9393939393939394,0.06060606060606061,0,62,0,-2,-0,60
Alabama,Marengo County,18,4,11,0,33,0.5454545454545454,0.3333333333333333,0,36,4,-11,-0,29
Alabama,Marion County,18,10,5,0,33,0.5454545454545454,0.15151515151515152,0,36,10,-5,-0,41
Alabama,Marshall County,28,0,5,0,33,0.8484848484848485,0.15151515151515152,0,56,0,-5,-0,51
Alabama,Mobile County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Alabama,Monroe County,19,7,7,0,33,0.5757575757575758,0.21212121212121213,0,38,7,-7,-0,38
Alabama,Montgomery County,30,0,3,0,33,0.9090909090909091,0.09090909090909091,0,60,0,-3,-0,57
Alabama,Morgan County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Alabama,Perry County,17,5,9,2,33,0.5151515151515151,0.2727272727272727,0.06060606060606061,34,5,-9,-4,26
Alabama,Pickens County,20,4,9,0,33,0.6060606060606061,0.2727272727272727,0,40,4,-9,-0,35
Alabama,Pike County,21,6,6,0,33,0.6363636363636364,0.18181818181818182,0,42,6,-6,-0,42
Alabama,Randolph County,20,6,7,0,33,0.6060606060606061,0.21212121212121213,0,40,6,-7,-0,39
Alabama,Russell County,21,7,5,0,33,0.6363636363636364,0.15151515151515152,0,42,7,-5,-0,44
Alabama,Shelby County,30,2,1,0,33,0.9090909090909091,0.030303030303030304,0,60,2,-1,-0,61
Alabama,St. Clair County,20,5,8,0,33,0.6060606060606061,0.24242424242424243,0,40,5,-8,-0,37
Alabama,Sumter County,17,4,11,1,33,0.5151515151515151,0.3333333333333333,0.030303030303030304,34,4,-11,-2,25
Alabama,Talladega County,20,9,4,0,33,0.6060606060606061,0.12121212121212122,0,40,9,-4,-0,45
Alabama,Tallapoosa County,20,6,7,0,33,0.6060606060606061,0.21212121212121213,0,40,6,-7,-0,39
Alabama,Tuscaloosa County,29,2,2,0,33,0.8787878787878788,0.06060606060606061,0,58,2,-2,-0,58
Alabama,Walker County,21,4,8,0,33,0.6363636363636364,0.24242424242424243,0,42,4,-8,-0,38
Alabama,Washington County,20,6,7,0,33,0.6060606060606061,0.21212121212121213,0,40,6,-7,-0,39
Alabama,Wilcox County,16,5,12,0,33,0.48484848484848486,0.36363636363636365,0,32,5,-12,-0,25
Alabama,Winston County,19,8,6,0,33,0.5757575757575758,0.18181818181818182,0,38,8,-6,-0,40
Alaska,Aleutians East Borough,10,6,7,10,33,0.30303030303030304,0.21212121212121213,0.30303030303030304,20,6,-7,-20,-1
Alaska,Aleutians West Census Area,12,8,10,3,33,0.36363636363636365,0.30303030303030304,0.09090909090909091,24,8,-10,-6,16
Alaska,Anchorage Municipality,27,0,5,1,33,0.8181818181818182,0.15151515151515152,0.030303030303030304,54,0,-5,-2,47
Alaska,Bethel Census Area,19,6,7,1,33,0.5757575757575758,0.21212121212121213,0.030303030303030304,38,6,-7,-2,35
Alaska,Bristol Bay Borough,10,7,8,8,33,0.30303030303030304,0.24242424242424243,0.24242424242424243,20,7,-8,-16,3
Alaska,Chugach Census Area,4,1,2,27,34,0.11764705882352941,0.058823529411764705,0.7941176470588235,8,1,-2,-54,-47
Alaska,Copper River Census Area,3,2,1,28,34,0.08823529411764706,0.029411764705882353,0.8235294117647058,6,2,-1,-56,-49
Alaska,Denali Borough,11,5,8,9,33,0.3333333333333333,0.24242424242424243,0.2727272727272727,22,5,-8,-18,1
Alaska,Dillingham Census Area,15,5,10,3,33,0.45454545454545453,0.30303030303030304,0.09090909090909091,30,5,-10,-6,19
Alaska,Fairbanks North Star Borough,21,6,5,1,33,0.6363636363636364,0.15151515151515152,0.030303030303030304,42,6,-5,-2,41
