year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,04,46000,race-ethnicity,"White, Non-Hispanic",335,330,340,.228668943,1,1
2021,04,54050,all,All,6,3,9,.0032608695,3,3
2021,04,54050,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,04,55000,all,All,4680,4670,4690,.0236313511,1,1
2021,04,55000,race-ethnicity,"Black, Non-Hispanic",884,860,908,.1888888925,2,2
2021,04,55000,race-ethnicity,Hispanic,2576,2554,2598,.5504273772,1,1
2021,04,55000,race-ethnicity,Other Races and Ethnicities,434,379,489,.0927350447,3,3
2021,04,55000,race-ethnicity,"White, Non-Hispanic",671,637,705,.1433760673,3,3
2021,04,65000,all,All,285,283,287,.0106697613,1,1
2021,04,65000,race-ethnicity,"Black, Non-Hispanic",35,35,35,.1228070185,1,1
2021,04,65000,race-ethnicity,Hispanic,52,50,54,.1824561357,2,2
2021,04,65000,race-ethnicity,Other Races and Ethnicities,123,120,126,.4315789342,1,1
2021,04,65000,race-ethnicity,"White, Non-Hispanic",78,78,78,.2736842036,1,1
2021,04,71510,all,All,139,138,140,.0048676287,1,1
2021,04,71510,race-ethnicity,"Black, Non-Hispanic",25,24,26,.1798561215,2,2
2021,04,71510,race-ethnicity,Hispanic,61,61,61,.4388489127,1,1
2021,04,71510,race-ethnicity,Other Races and Ethnicities,19,17,21,.1366906464,3,3
2021,04,71510,race-ethnicity,"White, Non-Hispanic",33,31,35,.2374100685,3,3
2021,04,73000,all,All,689,687,691,.0152572021,1,1
2021,04,73000,race-ethnicity,"Black, Non-Hispanic",221,220,222,.3207547069,1,1
2021,04,73000,race-ethnicity,Hispanic,191,191,191,.2772133648,1,1
2021,04,73000,race-ethnicity,Other Races and Ethnicities,209,207,211,.3033381701,1,1
2021,04,73000,race-ethnicity,"White, Non-Hispanic",69,68,70,.1001451388,1,1
2021,04,77000,all,All,2252,2249,2255,.0230699889,1,1
2021,04,77000,race-ethnicity,"Black, Non-Hispanic",149,141,157,.0661634132,3,3
2021,04,77000,race-ethnicity,Hispanic,1455,1445,1465,.6460923553,1,1
2021,04,77000,race-ethnicity,Other Races and Ethnicities,237,213,261,.1052397862,3,3
2021,04,77000,race-ethnicity,"White, Non-Hispanic",323,313,333,.1434280574,2,2
2021,04,85540,all,All,302,301,303,.0109396512,1,1
2021,04,85540,race-ethnicity,"Black, Non-Hispanic",14,12,16,.0463576168,3,3
2021,04,85540,race-ethnicity,Hispanic,256,255,257,.8476821184,1,1
2021,04,85540,race-ethnicity,Other Races and Ethnicities,8,5,11,.0264900662,3,3
2021,04,85540,race-ethnicity,"White, Non-Hispanic",14,13,15,.0463576168,3,3
2021,05,23290,all,All,228,227,229,.0193236712,1,1
2021,05,23290,race-ethnicity,"Black, Non-Hispanic",58,58,58,.254385978,1,1
2021,05,23290,race-ethnicity,Hispanic,31,31,31,.1359649152,1,1
2021,05,23290,race-ethnicity,Other Races and Ethnicities,46,45,47,.2017543912,1,1
2021,05,23290,race-ethnicity,"White, Non-Hispanic",89,88,90,.3903508782,1,1
2021,05,24550,all,All,227,227,227,.0155309252,1,1
