year,state,county,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality,black_count,black_count_lb,black_count_ub,black_share,black_quality,hispanic_count,hispanic_count_lb,hispanic_count_ub,hispanic_share,hispanic_quality,other_count,other_count_lb,other_count_ub,other_share,other_quality,white_count,white_count_lb,white_count_ub,white_share,white_quality
2019,01,001,57,57,57,.0062500001,1,26,26,26,.0054667788,1,1,0,2,.0013850415,3,1,0,2,.0011682243,3,25,25,25,.0020997815,1
2019,01,003,167,167,167,.0050878958,1,41,40,42,.0057310597,1,28,28,28,.0041941283,1,3,0,4,.0005159959,3,82,82,82,.0017825312,1
2019,01,005,17,16,18,.0026550055,3,12,11,13,.0020304569,3,1,0,2,.001,3,0,0,0,0,3,5,5,5,.00088059175,1
2019,01,007,41,41,41,.012642615,1,18,18,18,.012517385,1,5,5,5,.017482517,1,2,0,2,.016129032,3,15,15,15,.0032341527,1
2019,01,009,104,104,104,.013589442,1,1,0,2,.0043478259,3,34,34,34,.014084507,1,1,0,2,.0075757578,3,65,65,65,.0051875501,1
2019,01,011,11,11,11,.0075394106,1,8,8,8,.0033726813,1,3,3,3,.0062240665,1,0,0,0,0,3,0,0,0,0,3
2019,01,013,108,108,108,.036585364,1,76,76,76,.02056277,1,0,0,0,0,3,1,0,2,.0098039219,3,1,0,2,.00049800798,3
2019,01,015,250,250,250,.014366165,1,101,99,103,.010631579,1,7,4,10,.0028806585,3,7,4,8,.0079545453,3,112,109,115,.0050922977,2
2019,01,017,28,27,29,.0063176895,2,13,12,14,.0027117231,3,1,0,2,.0020746889,3,1,0,2,.0090909088,3,10,9,11,.0028752156,3
2019,01,019,276,276,276,.070823714,1,12,12,12,.032786883,1,16,16,16,.08510638,1,17,0,2,.046448089,3,230,230,230,.033459414,1
2019,01,021,8,8,8,.0010215809,1,1,0,2,.00059311982,3,1,0,2,.00034940601,3,1,0,2,.001510574,3,4,4,4,.00038270187,1
2019,01,023,1,0,2,.00080515299,3,1,0,2,.00060386473,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2019,01,025,,,,,,,,,,,,,,,,,,,,,,,,,
2019,01,027,11,11,11,.0059782607,1,7,7,7,.010869565,1,0,0,0,0,3,0,0,0,0,3,4,4,4,.0014892033,1
2019,01,029,38,38,38,.014966522,1,1,0,2,.004854369,3,1,0,2,.0058139535,3,1,0,2,.011627907,3,35,35,35,.0075856089,1
2019,01,031,353,353,353,.035548843,1,79,78,80,.021225147,1,136,136,136,.054927301,1,6,0,6,.0051724138,3,127,127,127,.010158375,1
2019,01,033,268,267,269,.033242371,1,49,48,50,.016034031,1,22,22,22,.028497409,1,6,0,4,.0067720092,3,188,187,189,.016476775,1
2019,01,035,3,3,3,.0015345268,1,1,0,2,.00037593985,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.00093984965,3
2019,01,037,,,,,,,,,,,,,,,,,,,,,,,,,
2019,01,039,8,6,10,.0012896985,3,1,0,2,.00049701787,3,2,0,4,.0079365084,3,0,0,0,0,3,5,4,6,.00050989189,3
2019,01,041,1,0,2,.00044464206,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.00034364261,3
2019,01,043,28,28,28,.0022389253,1,0,0,0,0,3,1,0,2,.00043630018,3,0,0,0,0,3,17,16,18,.00080698758,3
2019,01,045,48,48,48,.0073959939,1,25,24,26,.0062751006,2,2,0,4,.0021929825,3,2,0,4,.0030959751,3,12,10,14,.001613337,3
2019,01,047,256,256,256,.044661548,1,209,209,209,.020717684,1,2,0,4,.024390243,3,1,0,2,.01923077,3,38,37,39,.030595813,2
2019,01,049,302,302,302,.024437612,1,1,0,2,.0024154589,3,170,170,170,.020591086,1,16,0,2,.0059970017,3,113,113,113,.0084467037,1
2019,01,051,70,70,70,.0060569351,1,19,19,19,.0030082332,1,1,0,2,.0018181818,3,9,0,2,.0091277892,3,37,37,37,.0024243218,1
2019,01,053,24,24,24,.0057471264,1,14,14,14,.0042219544,1,0,0,0,0,3,1,0,2,.0021008404,3,1,0,2,.00022914757,3
2019,01,055,185,185,185,.012169451,1,68,68,68,.011505922,1,3,0,6,.0010768126,3,3,0,6,.0024711697,3,93,93,93,.0045379135,1
2019,01,057,5,5,5,.0022421526,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,5,5,5,.0014285714,1
2019,01,059,4,3,5,.0006436042,3,0,0,0,0,3,1,0,2,.00026082419,3,0,0,0,0,3,3,3,3,.00037974684,1
2019,01,061,5,5,5,.001840265,1,0,0,0,0,3,1,0,2,.0017667845,3,0,0,0,0,3,1,0,2,.00024201356,3
2019,01,063,,,,,,,,,,,,,,,,,,,,,,,,,
2019,01,065,4,4,4,.0016174687,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,4,4,.0027434842,1
2019,01,067,3,3,3,.0011867088,1,1,0,2,.00065876154,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.00031075202,3
2019,01,069,96,95,97,.0063241106,1,71,71,71,.0057639228,1,5,5,5,.0025252525,1,2,0,2,.0022935779,3,14,13,15,.000921659,3
2019,01,071,77,76,78,.010064044,1,5,5,5,.0074850298,1,9,8,10,.0090909088,3,5,5,5,.0024533856,1,58,58,58,.004997415,1
2019,01,073,1367,1365,1369,.01322498,1,1155,1152,1158,.011472446,1,101,97,105,.0053792074,2,25,10,20,.0029515938,3,74,68,80,.00093899097,3
2019,01,075,5,5,5,.0021815009,1,1,0,2,.001908397,3,1,0,2,.0094339624,3,0,0,0,0,3,3,3,3,.00077359466,1
2019,01,077,63,63,63,.0049826005,1,25,24,26,.007706535,2,1,0,2,.00068306009,3,1,0,2,.00095238094,3,14,13,15,.00071684585,3
2019,01,079,122,122,122,.026191499,1,14,14,14,.014644352,1,3,3,3,.010204081,1,9,9,9,.0087548634,1,96,96,96,.013640239,1
2019,01,081,74,74,74,.0032098552,1,27,26,28,.0020585544,2,5,3,7,.0013691129,3,1,0,2,.000249501,3,31,31,31,.0012237487,1
2019,01,083,157,157,157,.010098412,1,25,25,25,.0061274511,1,34,34,34,.0086294413,1,9,0,4,.0052878964,3,85,85,85,.0039771665,1
2019,01,085,27,27,27,.021077283,1,1,0,2,.00040064103,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.020833334,3
2019,01,087,59,59,59,.031686358,1,46,46,46,.013294797,1,0,0,0,0,3,5,5,5,.035211269,1,8,8,8,.10810811,1
2019,01,089,450,450,450,.0081736445,1,229,229,229,.0074254214,1,52,51,53,.0049214461,1,34,11,15,.0028352235,3,129,129,129,.0022746508,1
2019,01,091,2,0,4,.00073475385,3,2,0,4,.00063492061,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2019,01,093,26,25,27,.0057117753,2,6,5,7,.015151516,3,10,10,10,.03164557,1,0,0,0,0,3,10,10,10,.0012242899,1
2019,01,095,529,529,529,.028476072,1,37,36,38,.032976829,2,235,234,236,.020870337,1,12,0,8,.010186757,3,238,238,238,.01008731,1
2019,01,097,4037,4035,4039,.066619359,1,2403,2401,2405,.041928392,1,367,367,367,.065372281,1,182,181,183,.023363287,1,1084,1083,1085,.021473851,1
2019,01,099,119,119,119,.035984274,1,73,73,73,.021508545,1,1,0,2,.0125,3,9,0,2,.023195876,3,35,35,35,.012718023,1
2019,01,101,288,288,288,.010218201,1,275,275,275,.0062054335,1,6,6,6,.0012412081,1,2,0,2,.00076277653,3,3,3,3,.00065245759,1
2019,01,103,124,124,124,.0062071383,1,48,47,49,.0084063048,1,20,19,21,.002660282,3,2,0,2,.0011520737,3,22,20,24,.00088035216,3
2019,01,105,148,148,148,.12563667,1,148,148,148,.063356161,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2019,01,107,10,10,10,.0040683481,1,1,0,2,.00035435861,3,1,0,2,.0045871558,3,0,0,0,0,3,0,0,0,0,3
2019,01,109,73,73,73,.018291155,1,38,37,39,.0086442223,2,4,4,4,.01242236,1,0,0,0,0,3,19,18,20,.0063930014,3
2019,01,111,22,22,22,.010110294,1,1,0,2,.0016393443,3,0,0,0,0,3,1,0,2,.0092592593,3,17,17,17,.0051892553,1
2019,01,113,59,59,59,.0053841942,1,24,24,24,.002132575,1,5,4,6,.0026939656,3,2,0,4,.0013850415,3,23,22,24,.0031241511,2
2019,01,115,66,66,66,.0047888551,1,7,6,8,.0024982155,3,8,8,8,.0060606059,1,2,0,2,.002096436,3,41,40,42,.0018231946,1
2019,01,117,321,321,321,.010467278,1,95,95,95,.009166345,1,39,38,40,.0047560977,2,20,19,21,.0062344139,3,161,161,161,.0040695616,1
2019,01,119,,,,,,,,,,,,,,,,,,,,,,,,,
2019,01,121,20,19,21,.0021717884,3,7,6,8,.00095186295,3,0,0,0,0,3,0,0,0,0,3,13,13,13,.001284585,1
2019,01,123,11,11,11,.0036231885,1,11,11,11,.0043859649,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2019,01,125,357,357,357,.011915092,1,257,257,257,.0098777767,1,2,0,4,.00040749795,3,2,0,4,.0013404826,3,89,89,89,.0032356577,1
2019,01,127,75,75,75,.0073342458,1,8,7,9,.0046189376,3,1,0,2,.00080775446,3,3,0,4,.0067567569,3,60,59,61,.0035215402,1
2019,01,129,19,19,19,.0072574485,1,9,9,9,.0069230767,1,0,0,0,0,3,2,0,2,.0037313432,3,6,6,6,.0017964072,1
2019,01,131,72,72,72,.048322149,1,68,68,68,.023144996,1,1,0,2,.125,3,1,0,2,.125,3,1,0,2,.03846154,3
2019,01,133,8,8,8,.0020481311,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,8,8,8,.0011185682,1
2019,02,013,,,,,,,,,,,,,,,,,,,,,,,,,
2019,02,016,,,,,,,,,,,,,,,,,,,,,,,,,
2019,02,020,1709,1709,1709,.036632158,1,166,166,166,.037037037,1,204,204,204,.0189099,1,1113,1102,1104,.028340803,1,226,225,227,.0058301515,1
2019,02,050,23,23,23,.005418139,1,0,0,0,0,3,0,0,0,0,3,23,23,23,.0028200098,1,0,0,0,0,3
2019,02,060,1,0,2,.0088495575,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.0056818184,3,0,0,0,0,3
2019,02,068,3,3,3,.003021148,1,1,0,2,.011904762,3,1,0,2,.0049999999,3,0,0,0,0,3,1,0,2,.00076335878,3
2019,02,070,10,10,10,.022624435,1,0,0,0,0,3,0,0,0,0,3,2,0,2,.002762431,3,0,0,0,0,3
2019,02,090,370,369,371,.024187749,1,37,37,37,.031732418,1,19,19,19,.0071107782,1,174,0,2,.018937744,3,130,129,131,.0073998179,1
2019,02,100,,,,,,,,,,,,,,,,,,,,,,,,,
2019,02,105,30,30,30,.23622048,1,0,0,0,,3,1,0,2,.25,3,17,0,2,.075892858,3,0,0,0,0,3
2019,02,110,85,85,85,.017989418,1,1,0,2,.011111111,3,3,3,3,.0042613638,1,63,0,2,.014678472,3,17,17,17,.0038955088,1
2019,02,122,175,175,175,.019945294,1,1,0,2,.012195121,3,11,11,11,.013924051,1,68,0,2,.017034069,3,94,94,94,.0074109114,1
2019,02,130,1,0,2,.00043649061,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.00046511629,3,1,0,2,.000435161,3
2019,02,150,27,27,27,.011698441,1,0,0,0,0,3,1,0,2,.0033557047,3,21,0,2,.0089437822,3,4,4,4,.002051282,1
2019,02,158,20,20,20,.0098667983,1,0,0,0,0,3,0,0,0,,3,20,20,20,.0049652434,1,0,0,0,0,3
2019,02,164,,,,,,,,,,,,,,,,,,,,,,,,,
2019,02,170,532,532,532,.027279254,1,4,4,4,.013333334,1,49,49,49,.017450143,1,201,201,201,.021762667,1,278,278,278,.010427607,1
2019,02,180,62,61,63,.023754789,1,0,0,0,0,3,0,0,0,0,3,52,0,4,.010420842,3,1,0,2,.0049999999,3
2019,02,185,34,34,34,.015668202,1,0,0,0,0,3,0,0,0,0,3,34,34,34,.0081145586,1,0,0,0,0,3
2019,02,188,1,0,2,.00047687173,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.000245459,3,0,0,0,0,3
2019,02,195,9,9,9,.019189766,1,0,0,0,0,3,1,0,2,.022727273,3,1,0,2,.00390625,3,6,6,6,.0098684207,1
2019,02,198,12,11,13,.051282052,3,0,0,0,,3,0,0,0,0,3,12,11,13,.033519555,3,0,0,0,0,3
2019,02,220,1,0,2,.00083125522,3,0,0,0,0,3,0,0,0,0,3,1,0,2,.00088967971,3,0,0,0,0,3
2019,02,230,,,,,,,,,,,,,,,,,,,,,,,,,
2019,02,240,3,3,3,.0073349634,1,0,0,0,0,3,0,0,0,0,3,3,3,3,.0055970149,1,0,0,0,0,3
2019,02,261,15,15,15,.0099999998,1,1,0,2,.071428575,3,1,0,2,.011363637,3,2,0,4,.001754386,3,9,8,10,.0051194541,3
2019,02,275,3,3,3,.0097402595,1,0,0,0,0,3,0,0,0,0,3,1,0,2,.0028571428,3,1,0,2,.00390625,3
2019,02,282,,,,,,,,,,,,,,,,,,,,,,,,,
2019,02,290,46,44,48,.0063022333,2,1,0,2,.0042016809,3,2,0,4,.0038167939,3,27,21,25,.0066831685,3,12,11,13,.0012249898,3
2019,04,001,276,275,277,.046138417,1,1,0,2,.050000001,3,2,0,4,.0019841271,3,227,223,229,.025684545,1,28,28,28,.013346043,1
2019,04,003,362,360,364,.026406011,1,17,14,20,.018681319,3,256,254,258,.016289132,1,9,3,11,.0047872341,3,62,59,65,.0069569121,3
2019,04,005,580,579,581,.036528531,1,5,4,6,.021929825,3,100,96,104,.014013452,2,311,17,29,.02304728,3,139,138,140,.012754634,1
2019,04,007,369,369,369,.05350928,1,1,0,2,.022727273,3,71,68,74,.020555878,2,132,26,34,.028720627,3,107,107,107,.01877852,1
2019,04,009,31,31,31,.0076073618,1,1,0,2,.011111111,3,8,7,9,.0021905806,3,7,0,4,.022292994,3,12,11,13,.0029311187,3
2019,04,011,4,4,4,.010256411,1,0,0,0,,3,1,0,2,.0060975607,3,0,0,0,0,3,1,0,2,.0016835016,3
2019,04,012,39,39,39,.018886199,1,0,0,0,0,3,10,9,11,.004854369,3,18,0,2,.013177159,3,2,0,4,.0028735632,3
2019,04,013,10598,10578,10618,.015734121,1,2196,2157,2235,.024189284,1,5153,5115,5191,.0083608348,1,1169,541,749,.0092166262,3,1731,1681,1781,.0033730196,2
2019,04,015,390,390,390,.02893175,1,4,0,8,.012121212,3,96,95,97,.011398718,1,50,0,14,.023430178,3,227,227,227,.014122185,1
2019,04,017,693,691,695,.039834455,1,0,0,0,0,3,47,42,52,.010500447,3,542,429,443,.029504627,1,84,82,86,.0070981919,1
