year,state,place,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality
2019,01,03076,34,34,34,.0038073908,1
2019,01,07000,594,594,594,.01003192,1
2019,01,35896,40,40,40,.0028447479,1
2019,01,37000,402,402,402,.0092712175,1
2019,01,50000,4005,4004,4006,.073812641,1
2019,01,51000,288,288,288,.010218201,1
2019,01,77256,357,357,357,.011915092,1
2019,02,03000,1709,1709,1709,.036632158,1
2019,04,04720,334,334,334,.016408745,1
2019,04,07940,51,51,51,.0036624775,1
2019,04,12000,335,333,337,.0057311002,1
2019,04,23620,219,218,220,.022174969,1
2019,04,27400,412,411,413,.0080076186,1
2019,04,27820,1388,1388,1388,.01511999,1
2019,04,28380,,,,,
2019,04,46000,1456,1453,1459,.021333333,1
2019,04,54050,,,,,
2019,04,55000,5001,4987,5015,.023682229,1
2019,04,65000,165,165,165,.005757153,1
2019,04,71510,111,111,111,.0036739153,1
2019,04,73000,632,632,632,.014873038,1
2019,04,77000,2508,2503,2513,.026928652,1
2019,04,85540,284,284,284,.010061645,1
2019,05,23290,240,240,240,.022581859,1
2019,05,24550,208,208,208,.013890744,1
2019,05,35710,294,294,294,.019323036,1
2019,05,41000,423,420,426,.0093716765,1
2019,05,66080,502,502,502,.021389008,1
2019,06,00562,95,94,96,.0085477773,1
2019,06,00884,296,296,296,.018184053,1
2019,06,02000,6549,6549,6549,.11898835,1
2019,06,02252,468,468,468,.02791197,1
2019,06,02364,817,817,817,.055442452,1
2019,06,03526,3325,3324,3326,.02519073,1
2019,06,04982,194,194,194,.017010083,1
2019,06,06000,251,251,251,.018689502,1
2019,06,08786,755,755,755,.08696153,1
2019,06,08954,114,114,114,.0075088921,1
2019,06,11194,79,79,79,.0068809339,1
2019,06,11530,31,31,31,.062374245,1
2019,06,13014,777,777,777,.050874092,1
2019,06,13210,2590,2590,2590,.094144158,1
2019,06,13214,4,4,4,.030769231,1
2019,06,13392,1131,1126,1136,.016441582,1
2019,06,13588,,,,,
2019,06,14218,112,112,112,.0025656298,1
2019,06,15044,352,352,352,.017254902,1
2019,06,16000,655,655,655,.019376405,1
2019,06,16350,744,744,744,.04045897,1
2019,06,16532,992,992,992,.042721793,1
2019,06,17918,153,153,153,.014454417,1
2019,06,19766,479,479,479,.019940885,1
2019,06,21712,1002,1001,1003,.025910219,1
2019,06,22020,664,663,665,.010297767,1
2019,06,22230,2350,2350,2350,.10514071,1
2019,06,22804,1764,1764,1764,.064040661,1
2019,06,23182,379,379,379,.013980081,1
2019,06,24638,,,,,
2019,06,24680,721,721,721,.019031279,1
2019,06,26000,275,275,275,.0076856432,1
2019,06,27000,1230,1228,1232,.012318725,1
2019,06,28000,504,504,504,.019031795,1
2019,06,29000,966,966,966,.023320377,1
2019,06,30000,1874,1874,1874,.073409587,1
2019,06,32548,41,40,42,.0048122066,1
2019,06,33000,787,786,788,.038654223,1
2019,06,33182,947,947,947,.041762214,1
2019,06,33434,2084,2084,2084,.083728403,1
2019,06,36000,1135,1135,1135,.037661348,1
2019,06,36448,,,,,
2019,06,36546,223,221,225,.017848568,1
2019,06,36770,124,124,124,.0032950679,1
2019,06,37692,293,293,293,.015349154,1
2019,06,39496,,,,,
2019,06,39892,,,,,
2019,06,40130,1961,1960,1962,.04404366,1
2019,06,41992,141,141,141,.01027547,1
2019,06,43000,6355,6355,6355,.088092595,1
2019,06,44000,9556,9528,9584,.017761884,1
2019,06,45484,1324,1324,1324,.055550892,1
2019,06,46842,50,49,51,.004041384,1
2019,06,46898,176,176,176,.010769796,1
2019,06,47766,365,365,365,.035409391,1
2019,06,48256,1233,1233,1233,.046708085,1
2019,06,48354,974,972,976,.019162666,1
2019,06,49270,6645,6644,6646,.20010239,1
2019,06,49670,240,240,240,.024922118,1
2019,06,50076,463,463,463,.019727312,1
2019,06,50258,358,358,358,.020454805,1
2019,06,51182,14,14,14,.078651689,1
2019,06,52526,5374,5374,5374,.31742468,1
2019,06,53000,1266,1262,1270,.027747337,1
2019,06,53322,435,434,436,.020497598,1
2019,06,53896,3989,3989,3989,.085949451,1
2019,06,53980,298,298,298,.010919351,1
2019,06,54652,3961,3961,3961,.094915174,1
2019,06,55156,352,351,353,.015044664,1
2019,06,56000,829,829,829,.05126778,1
2019,06,56700,2467,2467,2467,.067776591,1
2019,06,57456,185,185,185,.016275182,1
2019,06,57792,4,4,4,.00026885333,1
2019,06,58072,3744,3744,3744,.15916337,1
2019,06,59444,974,974,974,.047276963,1
2019,06,59451,256,256,256,.037144516,1
2019,06,59920,481,480,482,.026529148,1
2019,06,60102,196,196,196,.010157546,1
2019,06,60466,2363,2363,2363,.09202072,1
2019,06,60620,972,971,973,.030738093,1
2019,06,62000,1241,1240,1242,.028302962,1
2019,06,62938,601,601,601,.020987568,1
2019,06,64000,1849,1843,1855,.02671502,1
2019,06,64224,5181,5179,5183,.13330074,1
2019,06,65000,6514,6513,6515,.11982415,1
2019,06,65042,944,943,945,.056428954,1
2019,06,66000,9386,9379,9393,.05825761,1
2019,06,67000,3575,3574,3576,.060380355,1
2019,06,68000,1846,1840,1852,.013663346,1
2019,06,68084,169,169,169,.018639021,1
2019,06,68196,262,261,263,.010501844,1
2019,06,68252,38,38,38,.0040798797,1
2019,06,68378,,,,,
2019,06,69000,6699,6699,6699,.13467221,1
2019,06,69070,2029,2029,2029,.12684421,1
2019,06,69084,156,156,156,.010192081,1
2019,06,69088,893,893,893,.026706142,1
2019,06,69196,4981,4981,4981,.1903179,1
2019,06,70000,73,73,73,.0070531401,1
2019,06,70098,402,401,403,.013623886,1
2019,06,72016,348,345,351,.011506034,1
2019,06,73080,35,35,35,.022845954,1
2019,06,75000,2659,2656,2662,.047415253,1
2019,06,77000,89,88,90,.0025557086,1
2019,06,78120,637,637,637,.01603161,1
2019,06,78582,410,410,410,.01950616,1
2019,06,80000,196,196,196,.0084848488,1
2019,06,80238,942,941,943,.04727729,1
2019,06,80854,394,394,394,.016750988,1
2019,06,81344,464,464,464,.043856334,1
2019,06,81554,189,189,189,.014667081,1
2019,06,81666,255,254,256,.020048747,1
2019,06,82590,1273,1273,1273,.046619792,1
2019,06,82954,900,899,901,.027475882,1
2019,06,82996,1188,1187,1189,.051406316,1
2019,06,84200,1573,1573,1573,.16034658,1
2019,06,84550,701,701,701,.077578574,1
2019,06,85292,2758,2758,2758,.083656877,1
2019,08,03455,,,,,
2019,08,04000,1781,1781,1781,.044427261,1
2019,08,07850,388,388,388,.012516129,1
2019,08,12815,,,,,
2019,08,16000,1266,1265,1267,.015954029,1
2019,08,20000,2513,2513,2513,.021017505,1
2019,08,27425,1387,1387,1387,.045099825,1
2019,08,32155,501,501,501,.022087026,1
2019,08,43000,,,,,
2019,08,45970,391,391,391,.011900776,1
2019,08,46465,778,778,778,.048134629,1
2019,08,62000,497,497,497,.018670173,1
2019,08,77290,1335,1335,1335,.034489885,1
2019,08,83835,908,908,908,.099889986,1
2019,09,08000,112,111,113,.0054195295,1
2019,09,18430,63,63,63,.0051775146,1
2019,09,37000,589,589,589,.01532577,1
2019,09,52000,548,546,550,.02274142,1
2019,09,55990,31,31,31,.0026627728,1
2019,09,73000,85,85,85,.0051580798,1
2019,09,80000,631,631,631,.033748731,1
2019,11,50000,6498,6494,6502,.071379922,1
2019,12,07300,21,21,21,.0079185525,1
2019,12,07875,42,42,42,.02550091,1
2019,12,10275,,,,,
2019,12,12875,,,,,
2019,12,14400,,,,,
2019,12,16475,,,,,
2019,12,16725,,,,,
2019,12,17200,,,,,
2019,12,17935,,,,,
2019,12,24000,5083,5083,5083,.018883836,1
2019,12,24125,1236,1236,1236,.012927112,1
2019,12,25175,1046,1045,1046,.033850037,1
2019,12,30000,,,,,
2019,12,32000,,,,,
2019,12,32275,,,,,
2019,12,35000,3349,3349,3349,.025706369,1
2019,12,36950,2625,2625,2625,.037540223,1
2019,12,38250,,,,,
2019,12,39425,4251,4251,4251,.042607144,1
2019,12,43975,,,,,
2019,12,45000,9388,9388,9388,.027030841,1
2019,12,45025,,,,,
2019,12,45060,,,,,
2019,12,45975,,,,,
2019,12,49675,,,,,
