year,state,place,election_turnout,election_turnout_quality
2020,01,03076,0.4304770492347036,3
2020,01,07000,0.5948288192221565,2
2020,01,35896,0.681667438699652,3
2020,01,37000,0.6127735925082958,2
2020,01,50000,0.5650426682488516,1
2020,01,51000,0.5185429095838956,1
2020,01,77256,0.38087716593516996,3
2020,02,03000,0.6269875413037846,1
2020,04,04720,0.575429363156572,1
2020,04,07940,0.712599047701418,3
2020,04,12000,0.7752584914280899,2
2020,04,23620,0.5954563025588792,1
2020,04,27400,0.8420761607781793,1
2020,04,27820,0.5930646637521,1
2020,04,28380,0.7731326945507169,2
2020,04,46000,0.6354202905775301,1
2020,04,54050,0.7814627820553953,1
2020,04,55000,0.6140673649842658,1
2020,04,65000,0.7465645695519819,1
2020,04,71510,0.7066758577527836,2
2020,04,73000,0.555988927190197,1
2020,04,77000,0.5876063688451071,1
2020,04,85540,0.49792456070321,3
2020,05,23290,0.5545152746500994,1
2020,05,24550,0.47471485062703217,1
2020,05,35710,0.45442019888056007,1
2020,05,41000,0.5835435891065068,1
2020,05,66080,0.5416518058268726,1
2020,06,00562,0.6720193022232882,2
2020,06,00884,0.6055265875833746,1
2020,06,02000,0.635280254023793,1
2020,06,02252,0.6282211535343218,1
2020,06,02364,0.6882121605505811,1
2020,06,03526,0.6414061608283584,1
2020,06,04982,0.6300251972889035,1
2020,06,06000,0.6564688471807308,1
2020,06,08786,0.6537647456309225,1
2020,06,08954,0.7762743223222278,1
2020,06,11194,0.8741492027390874,1
2020,06,11530,0.7241442419372228,1
2020,06,13014,0.6419594300933977,1
2020,06,13210,0.6227642252324574,1
2020,06,13214,0.703882289072949,1
2020,06,13392,0.7432895464495788,1
2020,06,13588,0.647894781122944,1
2020,06,14218,0.7884280147025998,1
2020,06,15044,0.5965613801288904,1
2020,06,16000,0.6997593628218103,1
2020,06,16350,0.6419964504199844,1
2020,06,16532,0.6950110576458494,1
2020,06,17918,0.5591343230354922,1
2020,06,19766,0.6717666620878965,1
2020,06,21712,0.6224460489953549,1
2020,06,22020,0.7501021911590617,1
2020,06,22230,0.4949506705095624,1
2020,06,22804,0.6505013323736992,1
2020,06,23182,0.6462976361185762,1
2020,06,24638,0.782015035047022,1
2020,06,24680,0.6093199872316801,1
2020,06,26000,0.7200782711244336,1
2020,06,27000,0.5597991110112184,1
2020,06,28000,0.694657272293782,1
2020,06,29000,0.6234356197971996,1
2020,06,30000,0.6464610055662118,1
2020,06,32548,0.6644723050399483,1
2020,06,33000,0.5962658565232074,1
2020,06,33182,0.5906074595294342,1
2020,06,33434,0.6037869928852742,1
2020,06,36000,0.7577115224408245,1
2020,06,36448,0.5483547381424594,1
2020,06,36546,0.6851639415349766,1
2020,06,36770,0.7667615053240014,1
2020,06,37692,0.5919116245268948,1
2020,06,39496,0.7876978452671461,1
2020,06,39892,0.7516355031813459,1
2020,06,40130,0.6021979058577153,1
2020,06,41992,0.7588590790426686,1
2020,06,43000,0.6322576191423019,1
2020,06,44000,0.6475677532401153,1
2020,06,45484,0.6526165545775,1
2020,06,46842,0.7758403957630388,1
2020,06,46898,0.5742142486826047,1
2020,06,47766,0.7069055456267127,1
2020,06,48256,0.8193994566191732,1
2020,06,48354,0.62059851472499294,1
2020,06,49270,0.5718623962033631,1
2020,06,49670,0.7832892472915217,1
2020,06,50076,0.7027773527664228,1
2020,06,50258,0.7678560645761234,1
2020,06,51182,0.7853313476949304,1
2020,06,52526,0.620478863166654,1
2020,06,53000,0.7070575573816905,1
2020,06,53322,0.7152180179126156,1
2020,06,53896,0.5881554099502048,1
2020,06,53980,0.6804377217143736,1
2020,06,54652,0.6084486556361117,1
2020,06,55156,0.6866239797272008,1
2020,06,56000,0.7503453015416994,1
2020,06,56700,0.5126168675566287,1
2020,06,57456,0.6453079950334617,1
2020,06,57792,0.8351213538578813,1
2020,06,58072,0.5658808175202219,1
2020,06,59444,0.6942767070870013,1
2020,06,59451,0.6980161820951732,1
2020,06,59920,0.6754839561589714,1
2020,06,60102,0.7583275696470752,1
2020,06,60466,0.5716730183480287,1
2020,06,60620,0.6627982327262962,1
2020,06,62000,0.5678668320979596,1
2020,06,62938,0.802589648350929,1
2020,06,64000,0.6477675030714358,1
2020,06,64224,0.6904579138096564,1
2020,06,65000,0.4992716197694606,1
2020,06,65042,0.7687465953698185,1
2020,06,66000,0.6816179446082643,1
2020,06,67000,0.6757806170494376,1
2020,06,68000,0.679559875012101,1
2020,06,68084,0.6169453298190939,1
2020,06,68196,0.7301280982076465,1
2020,06,68252,0.7458084613505938,1
2020,06,68378,0.8535922700301363,1
2020,06,69000,0.5526816574066928,1
2020,06,69070,0.7581566187286777,1
2020,06,69084,0.6764882985449383,1
2020,06,69088,0.8408629452037013,1
2020,06,69196,0.6183947193438131,1
2020,06,70000,0.7790793251189686,1
2020,06,70098,0.7280248200421694,1
2020,06,72016,0.7731417394268439,1
2020,06,73080,0.6089186725976723,1
2020,06,75000,0.5429300066602283,1
2020,06,77000,0.7650690422273859,1
2020,06,78120,0.7409294851468694,1
2020,06,78582,0.8257798943865425,1
2020,06,80000,0.7873110191565483,1
2020,06,80238,0.6788965121442031,1
2020,06,80854,0.7010653530058959,1
2020,06,81344,0.7110537726031231,1
2020,06,81554,0.641348371005588,1
2020,06,81666,0.6242236846203554,1
2020,06,82590,0.5535295518221944,1
2020,06,82954,0.6357744215979395,1
2020,06,82996,0.6234831900718141,1
2020,06,84200,0.656402092488404,1
2020,06,84550,0.6888893049371129,1
2020,06,85292,0.7061186092775543,1
2020,08,03455,0.8397909976526657,1
2020,08,04000,0.7031146476974208,1
2020,08,07850,0.6905144104696652,1
2020,08,12815,0.891200425670295,1
2020,08,16000,0.7118096235976138,1
2020,08,20000,0.7508012808338667,1
2020,08,27425,0.738564862037637,1
2020,08,32155,0.5925679589625747,1
2020,08,43000,0.7724257992366482,1
2020,08,45970,0.805602912179088,1
2020,08,46465,0.6418257040932595,2
2020,08,62000,0.6129644817949985,1
2020,08,77290,0.7250447683814245,1
2020,08,83835,0.757447110898069,1
2020,09,08000,0.4039165639577074,1
2020,09,18430,0.6042446714072737,1
2020,09,37000,0.4039738255040896,1
2020,09,52000,0.46759516983304833,1
2020,09,55990,0.6534764026414484,1
2020,09,73000,0.6422726303679712,1
2020,09,80000,0.48708675952607483,1
2020,11,50000,0.6506380746083616,1
2020,12,07300,0.749422777724094,1
2020,12,07875,0.6955933129562604,1
2020,12,10275,0.7119133643305964,1
2020,12,12875,0.6808018964112693,3
2020,12,14400,0.7679755643525423,1
2020,12,16475,0.7242130560710779,1
2020,12,16725,0.7047602247616687,1
2020,12,17200,0.6508943961297826,1
2020,12,17935,0.9014560755138316,1
2020,12,24000,0.7115958099387206,1
2020,12,24125,0.6441168440242049,1
2020,12,25175,0.579298352733682,2
2020,12,30000,0.6403060489864022,1
2020,12,32000,0.6790232223414712,1
2020,12,32275,0.7368876339078672,1
2020,12,35000,0.7027385519492717,1
2020,12,36950,0.5928023690553408,1
2020,12,38250,0.6257333961030035,2
2020,12,39425,0.6170803389177376,3
2020,12,43975,0.6984898964111577,1
2020,12,45000,0.6159515920823472,1
2020,12,45025,0.4821089726374519,3
2020,12,45060,0.72262474129723,1
2020,12,45975,0.7083966156677608,1
2020,12,49675,0.7488164984117996,1
2020,12,53000,0.6819918997820417,3
2020,12,54000,0.7361533724978905,1
2020,12,54200,0.7125338958851364,2
2020,12,55775,0.758676882807259,1
2020,12,57425,0.8036446513168554,1
2020,12,58050,0.6556754749487989,1
2020,12,58715,0.7732970143254977,1
2020,12,63000,0.6787289407423915,1
2020,12,69700,0.7674922191582468,1
2020,12,70600,0.6569363558349339,1
2020,12,71000,0.6621278105205127,1
2020,12,76600,0.686517794429641,1
2020,13,03440,0.5305908215292818,1
2020,13,04000,0.6254472604534035,1
2020,13,04204,0.5674663717115555,1
2020,13,19000,0.5624862864470024,1
2020,13,42425,0.8521307046036679,1
2020,13,49008,0.620315397516734,1
2020,13,67284,0.8333273575796873,1
2020,13,68516,0.714508166436794,1
2020,13,69000,0.5578739188364377,1
2020,13,72122,0.761551656244811,1
2020,13,80508,0.4582114160945345,3
2020,15,71550,0.5338342517763692,1
2020,16,08830,0.6482544479218217,1
2020,16,52120,0.6854362861662644,3
2020,16,56260,0.4743910299662198,3
2020,17,02154,0.8433688560594956,1
2020,17,03012,0.5459912188597914,1
2020,17,06613,0.696406559870702,1
2020,17,12385,0.5687210015777374,1
2020,17,14000,0.6094593037582856,1
2020,17,14351,0.48020660362798745,1
2020,17,23074,0.5759109046861607,2
2020,17,24582,0.7654829938250388,1
2020,17,38570,0.6003091687503328,3
2020,17,51622,0.7807430830838267,2
2020,17,59000,0.5853058315932532,1
2020,17,65000,0.5443700294160553,1
2020,17,68003,0.7439741081929863,1
2020,17,72000,0.6689947191144084,1
2020,17,79293,0.4917976304768031,2
2020,18,05860,0.4332230214311622,1
2020,18,10342,0.8509585821622825,1
2020,18,22000,0.491355910008208,1
2020,18,23278,0.8642748761372271,1
2020,18,25000,0.5674709988723061,1
2020,18,31000,0.48762000562362623,1
2020,18,36003,0.5804481938107802,1
2020,18,71000,0.5383955050255352,1
2020,19,12000,0.7190795420311928,1
2020,19,19000,0.628879694586593,1
