"year","state","place","subgroup_type","subgroup","share_digital_access","share_digital_access_quality"
2018,"06","13392","income","$50,000 or More",0.837335080528956,1
2018,"06","13392","income","Less than $50,000",0.528613579484846,1
2018,"06","13588","income","$50,000 or More",0.819982992653633,1
2018,"06","13588","income","Less than $50,000",0.617180298275722,1
2018,"06","14218","income","$50,000 or More",0.80243348633499,1
2018,"06","14218","income","Less than $50,000",0.559488159405105,1
2018,"06","15044","income","$50,000 or More",0.612047097139747,2
2018,"06","15044","income","Less than $50,000",0.370967194446158,2
2018,"06","16000","income","$50,000 or More",0.864660810985917,3
2018,"06","16000","income","Less than $50,000",0.609388452932586,3
2018,"06","16350","income","$50,000 or More",0.828724095336533,2
2018,"06","16350","income","Less than $50,000",0.623237339791828,2
2018,"06","16532","income","$50,000 or More",0.846151664377788,2
2018,"06","16532","income","Less than $50,000",0.609034367689745,2
2018,"06","17918","income","$50,000 or More",0.865386612373503,2
2018,"06","17918","income","Less than $50,000",0.651264361267055,2
2018,"06","19766","income","$50,000 or More",0.774586965442435,1
2018,"06","19766","income","Less than $50,000",0.487345043405732,1
2018,"06","21712","income","$50,000 or More",0.853184240716671,2
2018,"06","21712","income","Less than $50,000",0.674170027220215,2
2018,"06","22020","income","$50,000 or More",0.873663635029556,1
2018,"06","22020","income","Less than $50,000",0.641605594115932,1
2018,"06","22230","income","$50,000 or More",0.627943397674246,1
2018,"06","22230","income","Less than $50,000",0.349393766187571,1
2018,"06","22804","income","$50,000 or More",0.810896658802626,1
2018,"06","22804","income","Less than $50,000",0.572283537696452,1
2018,"06","23182","income","$50,000 or More",0.822369208667545,1
2018,"06","23182","income","Less than $50,000",0.532372086512214,1
2018,"06","24638","income","$50,000 or More",0.894022864057574,2
2018,"06","24638","income","Less than $50,000",0.662496363107361,2
2018,"06","24680","income","$50,000 or More",0.776862995490328,1
2018,"06","24680","income","Less than $50,000",0.528829771710556,1
2018,"06","26000","income","$50,000 or More",0.915677067028634,2
2018,"06","26000","income","Less than $50,000",0.650499458133341,2
2018,"06","27000","income","$50,000 or More",0.756835095480916,3
2018,"06","27000","income","Less than $50,000",0.460594664687373,3
2018,"06","28000","income","$50,000 or More",0.820508991990987,3
2018,"06","28000","income","Less than $50,000",0.578056852091163,3
2018,"06","29000","income","$50,000 or More",0.787927511806588,3
2018,"06","29000","income","Less than $50,000",0.577163839025633,3
2018,"06","30000","income","$50,000 or More",0.853414990704543,2
2018,"06","30000","income","Less than $50,000",0.546361623657337,2
2018,"06","32548","income","$50,000 or More",0.749980739275744,2
2018,"06","32548","income","Less than $50,000",0.516914620421461,2
2018,"06","33000","income","$50,000 or More",0.814765311145915,1
2018,"06","33000","income","Less than $50,000",0.574466376731692,1
2018,"06","33182","income","$50,000 or More",0.79098410043496,2
2018,"06","33182","income","Less than $50,000",0.515359269544347,2
2018,"06","33434","income","$50,000 or More",0.797235368753255,2
2018,"06","33434","income","Less than $50,000",0.585213170395315,2
2018,"06","36000","income","$50,000 or More",0.87014339589256,3
2018,"06","36000","income","Less than $50,000",0.660757041985931,3
2018,"06","36448","income","$50,000 or More",0.764487662679085,2
2018,"06","36448","income","Less than $50,000",0.438620209672706,2
2018,"06","36546","income","$50,000 or More",0.724453536031056,1
2018,"06","36546","income","Less than $50,000",0.507724112998863,1
2018,"06","36770","income","$50,000 or More",0.888508744521326,2
2018,"06","36770","income","Less than $50,000",0.70058624993386,2
2018,"06","37692","income","$50,000 or More",0.823387089809009,2
2018,"06","37692","income","Less than $50,000",0.552320746568064,2
2018,"06","39496","income","$50,000 or More",0.889207633505714,3
2018,"06","39496","income","Less than $50,000",0.685745386370404,3
2018,"06","39892","income","$50,000 or More",0.848018687167821,2
2018,"06","39892","income","Less than $50,000",0.573866610028,2
2018,"06","40130","income","$50,000 or More",0.775165791428196,1
2018,"06","40130","income","Less than $50,000",0.486404772835631,1
2018,"06","41992","income","$50,000 or More",0.918401492493115,2
2018,"06","41992","income","Less than $50,000",0.65307771411782,2
2018,"06","43000","income","$50,000 or More",0.812193844273306,2
2018,"06","43000","income","Less than $50,000",0.546847677983299,2
2018,"06","44000","income","$50,000 or More",0.811469654938003,1
2018,"06","44000","income","Less than $50,000",0.511909199739934,1
2018,"06","45484","income","$50,000 or More",0.826815521489259,3
2018,"06","45484","income","Less than $50,000",0.523473105869772,3
2018,"06","46842","income","$50,000 or More",0.8461624168361,2
2018,"06","46842","income","Less than $50,000",0.611923429468605,2
2018,"06","46898","income","$50,000 or More",0.721737967699624,2
2018,"06","46898","income","Less than $50,000",0.476778406715828,2
2018,"06","47766","income","$50,000 or More",0.905069286051262,2
2018,"06","47766","income","Less than $50,000",0.684639885217123,2
2018,"06","48256","income","$50,000 or More",0.902083945142898,1
2018,"06","48256","income","Less than $50,000",0.696396068824987,1
2018,"06","48354","income","$50,000 or More",0.817016522215253,1
2018,"06","48354","income","Less than $50,000",0.496591235935125,1
2018,"06","49270","income","$50,000 or More",0.810251132087891,1
2018,"06","49270","income","Less than $50,000",0.588365818327379,1
2018,"06","49670","income","$50,000 or More",0.901882478230909,2
2018,"06","49670","income","Less than $50,000",0.616784037558685,2
2018,"06","50076","income","$50,000 or More",0.879883082997411,2
2018,"06","50076","income","Less than $50,000",0.688854699748019,2
2018,"06","50258","income","$50,000 or More",0.806032848099419,2
2018,"06","50258","income","Less than $50,000",0.566528841591541,2
2018,"06","51182","income","$50,000 or More",0.883555103181982,3
2018,"06","51182","income","Less than $50,000",0.670527007921121,3
2018,"06","52526","income","$50,000 or More",0.755892415890515,1
2018,"06","52526","income","Less than $50,000",0.439163320571482,1
2018,"06","53000","income","$50,000 or More",0.838830165324538,3
2018,"06","53000","income","Less than $50,000",0.483126775040653,3
2018,"06","53322","income","$50,000 or More",0.88696480445702,2
2018,"06","53322","income","Less than $50,000",0.704100929274412,2
2018,"06","53896","income","$50,000 or More",0.791136837786181,1
2018,"06","53896","income","Less than $50,000",0.499506506618585,1
2018,"06","53980","income","$50,000 or More",0.841836905572738,2
2018,"06","53980","income","Less than $50,000",0.667236560706496,2
2018,"06","54652","income","$50,000 or More",0.819908049980832,1
2018,"06","54652","income","Less than $50,000",0.553241284939292,1
2018,"06","55156","income","$50,000 or More",0.834755265884132,1
2018,"06","55156","income","Less than $50,000",0.568683931452053,1
2018,"06","56000","income","$50,000 or More",0.848259254391474,3
2018,"06","56000","income","Less than $50,000",0.515019715493593,3
2018,"06","56700","income","$50,000 or More",0.789035197674384,2
2018,"06","56700","income","Less than $50,000",0.584482951802102,2
2018,"06","57456","income","$50,000 or More",0.831033750796009,2
2018,"06","57456","income","Less than $50,000",0.571684855733294,2
2018,"06","57792","income","$50,000 or More",0.918401492493115,3
2018,"06","57792","income","Less than $50,000",0.65307771411782,3
2018,"06","58072","income","$50,000 or More",0.750451896296149,1
2018,"06","58072","income","Less than $50,000",0.511908414501023,1
2018,"06","59444","income","$50,000 or More",0.84978412981986,2
2018,"06","59444","income","Less than $50,000",0.554964875640782,2
2018,"06","59451","income","$50,000 or More",0.854557887854211,1
2018,"06","59451","income","Less than $50,000",0.645277697690645,1
2018,"06","59920","income","$50,000 or More",0.733037214202329,2
2018,"06","59920","income","Less than $50,000",0.489831131728566,2
2018,"06","60102","income","$50,000 or More",0.888069085514772,2
2018,"06","60102","income","Less than $50,000",0.561440621427498,2
2018,"06","60466","income","$50,000 or More",0.75463989330213,2
2018,"06","60466","income","Less than $50,000",0.47069902424602,2
2018,"06","60620","income","$50,000 or More",0.778428488552165,2
2018,"06","60620","income","Less than $50,000",0.494778820409547,2
2018,"06","62000","income","$50,000 or More",0.798456886624216,2
2018,"06","62000","income","Less than $50,000",0.534459210427514,2
2018,"06","62938","income","$50,000 or More",0.874719934188422,1
2018,"06","62938","income","Less than $50,000",0.656005013197069,1
2018,"06","64000","income","$50,000 or More",0.825029026983928,2
2018,"06","64000","income","Less than $50,000",0.53263795815811,2
2018,"06","64224","income","$50,000 or More",0.663176398654846,1
2018,"06","64224","income","Less than $50,000",0.354010163499779,1
2018,"06","65000","income","$50,000 or More",0.703511249087423,3
2018,"06","65000","income","Less than $50,000",0.440344226404875,3
2018,"06","65042","income","$50,000 or More",0.841969028938116,1
2018,"06","65042","income","Less than $50,000",0.583514717612053,1
2018,"06","66000","income","$50,000 or More",0.868664068573933,1
2018,"06","66000","income","Less than $50,000",0.642329417727551,1
2018,"06","67000","income","$50,000 or More",0.867181164565606,2
2018,"06","67000","income","Less than $50,000",0.519166633970259,2
2018,"06","68000","income","$50,000 or More",0.879540577868076,1
2018,"06","68000","income","Less than $50,000",0.572847057365056,1
2018,"06","68084","income","$50,000 or More",0.845468986287508,2
2018,"06","68084","income","Less than $50,000",0.574738346898927,2
2018,"06","68196","income","$50,000 or More",0.870941804447317,2
2018,"06","68196","income","Less than $50,000",0.58848937166536,2
2018,"06","68252","income","$50,000 or More",0.892440361736077,2
2018,"06","68252","income","Less than $50,000",0.625071858384065,2
2018,"06","68378","income","$50,000 or More",0.917308667004562,2
2018,"06","68378","income","Less than $50,000",0.704767163629671,2
2018,"06","69000","income","$50,000 or More",0.740269617842792,2
2018,"06","69000","income","Less than $50,000",0.520937973177663,2
2018,"06","69070","income","$50,000 or More",0.860505455939006,2
2018,"06","69070","income","Less than $50,000",0.675987572126054,2
2018,"06","69084","income","$50,000 or More",0.919857064414925,1
2018,"06","69084","income","Less than $50,000",0.663924757830988,1
2018,"06","69088","income","$50,000 or More",0.876483015830033,1
2018,"06","69088","income","Less than $50,000",0.660731004494432,1
2018,"06","69196","income","$50,000 or More",0.767554701383712,2
2018,"06","69196","income","Less than $50,000",0.481225914308601,2
2018,"06","70000","income","$50,000 or More",0.893592221969525,3
2018,"06","70000","income","Less than $50,000",0.645596808837066,3
2018,"06","70098","income","$50,000 or More",0.812246335246484,1
2018,"06","70098","income","Less than $50,000",0.544416565616517,1
2018,"06","72016","income","$50,000 or More",0.85939537249157,1
2018,"06","72016","income","Less than $50,000",0.634407924731231,1
2018,"06","73080","income","$50,000 or More",0.694654975974637,2
2018,"06","73080","income","Less than $50,000",0.443255124958188,2
2018,"06","75000","income","$50,000 or More",0.748939424403614,3
2018,"06","75000","income","Less than $50,000",0.440379259526814,3
2018,"06","77000","income","$50,000 or More",0.901326898881163,3
2018,"06","77000","income","Less than $50,000",0.662275510489687,3
2018,"06","78120","income","$50,000 or More",0.893579845232522,1
2018,"06","78120","income","Less than $50,000",0.697738479841148,1
2018,"06","78582","income","$50,000 or More",0.89534292624062,1
2018,"06","78582","income","Less than $50,000",0.654526504732939,1
2018,"06","80000","income","$50,000 or More",0.884313297320638,2
2018,"06","80000","income","Less than $50,000",0.649145635261007,2
2018,"06","80238","income","$50,000 or More",0.827124550607645,2
2018,"06","80238","income","Less than $50,000",0.52388192733183,2
2018,"06","80854","income","$50,000 or More",0.8887185402905,3
2018,"06","80854","income","Less than $50,000",0.685012850053006,3
2018,"06","81344","income","$50,000 or More",0.788763955023809,2
2018,"06","81344","income","Less than $50,000",0.512569376428338,2
2018,"06","81554","income","$50,000 or More",0.804516746192503,2
2018,"06","81554","income","Less than $50,000",0.577031792427406,2
2018,"06","81666","income","$50,000 or More",0.828792066653952,1
2018,"06","81666","income","Less than $50,000",0.500917712741423,1
2018,"06","82590","income","$50,000 or More",0.809374820917897,2
2018,"06","82590","income","Less than $50,000",0.573432074908032,2
2018,"06","82954","income","$50,000 or More",0.777347831134156,1
2018,"06","82954","income","Less than $50,000",0.476107342378292,1
2018,"06","82996","income","$50,000 or More",0.8787162796001,2
2018,"06","82996","income","Less than $50,000",0.698299727231984,2
2018,"06","84200","income","$50,000 or More",0.83478871889905,2
2018,"06","84200","income","Less than $50,000",0.566058422121074,2
2018,"06","84550","income","$50,000 or More",0.846018897202213,2
2018,"06","84550","income","Less than $50,000",0.576388301633313,2
2018,"06","85292","income","$50,000 or More",0.788375657170889,2
2018,"06","85292","income","Less than $50,000",0.540396902291327,2
2018,"06","00562","all","All",0.76291515819298,2
2018,"06","00884","all","All",0.731447914916092,2
2018,"06","02000","all","All",0.712856913730317,3
2018,"06","02252","all","All",0.703670043333256,1
2018,"06","02364","all","All",0.697755405007123,2
2018,"06","03526","all","All",0.641323315348018,2
2018,"06","04982","all","All",0.615857367695227,2
2018,"06","06000","all","All",0.812124918772218,1
2018,"06","08786","all","All",0.77300484677349,3
2018,"06","08954","all","All",0.697621004277557,1
2018,"06","11194","all","All",0.861684612408728,1
2018,"06","11530","all","All",0.684449223529538,1
2018,"06","13014","all","All",0.736957097457627,1
2018,"06","13210","all","All",0.800134666431333,2
2018,"06","13214","all","All",0.809218726084009,2
2018,"06","13392","all","All",0.727825567292462,1
2018,"06","13588","all","All",0.734068778466398,1
2018,"06","14218","all","All",0.715723117839905,1
2018,"06","15044","all","All",0.490384035089537,2
2018,"06","16000","all","All",0.798464541126856,3
2018,"06","16350","all","All",0.763482225164726,2
2018,"06","16532","all","All",0.77656917720944,2
2018,"06","17918","all","All",0.81446505327606,2
2018,"06","19766","all","All",0.679068113963365,1
2018,"06","21712","all","All",0.782038520945325,2
2018,"06","22020","all","All",0.812223669737856,1
2018,"06","22230","all","All",0.482158106357731,1
2018,"06","22804","all","All",0.718198833953912,1
2018,"06","23182","all","All",0.735508081930439,1
2018,"06","24638","all","All",0.836793402694539,2
2018,"06","24680","all","All",0.680848612459836,1
2018,"06","26000","all","All",0.869985175553897,2
2018,"06","27000","all","All",0.607328598302893,3
2018,"06","28000","all","All",0.741731096893119,3
2018,"06","29000","all","All",0.706245778582981,3
2018,"06","30000","all","All",0.723015063066511,2
2018,"06","32548","all","All",0.641901138407213,2
2018,"06","33000","all","All",0.744643427712526,1
2018,"06","33182","all","All",0.656219459710605,2
2018,"06","33434","all","All",0.698216409889615,2
2018,"06","36000","all","All",0.81441823804374,3
2018,"06","36448","all","All",0.57562308032569,2
