"year","state","county","subgroup_type","subgroup","share_digital_access","share_digital_access_quality"
2018,"01","001","race_ethnicity","Black, Non-Hispanic",0.440980081484835,3
2018,"01","001","race_ethnicity","Hispanic",0.353954581049334,3
2018,"01","001","race_ethnicity","Other Races and Ethnicities",0.62,3
2018,"01","001","race_ethnicity","White, Non-Hispanic",0.657495461225901,3
2018,"01","003","race_ethnicity","Black, Non-Hispanic",0.384275768381729,1
2018,"01","003","race_ethnicity","Hispanic",0.346545071904595,1
2018,"01","003","race_ethnicity","Other Races and Ethnicities",0.67458432304038,1
2018,"01","003","race_ethnicity","White, Non-Hispanic",0.575357422134352,1
2018,"01","005","race_ethnicity","Black, Non-Hispanic",0.299421622423254,3
2018,"01","005","race_ethnicity","Hispanic",0.428937259923175,3
2018,"01","005","race_ethnicity","Other Races and Ethnicities",0.449720670391061,3
2018,"01","005","race_ethnicity","White, Non-Hispanic",0.493152345170282,3
2018,"01","007","race_ethnicity","Black, Non-Hispanic",0.325977714660258,3
2018,"01","007","race_ethnicity","Hispanic",NA,NA
2018,"01","007","race_ethnicity","Other Races and Ethnicities",NA,NA
2018,"01","007","race_ethnicity","White, Non-Hispanic",0.404236721682349,3
2018,"01","009","race_ethnicity","Black, Non-Hispanic",0.527975966954563,2
2018,"01","009","race_ethnicity","Hispanic",0.499445676274945,2
2018,"01","009","race_ethnicity","Other Races and Ethnicities",0.522705314009662,2
2018,"01","009","race_ethnicity","White, Non-Hispanic",0.515468914646997,2
2018,"01","011","race_ethnicity","Black, Non-Hispanic",0.299421622423254,3
2018,"01","011","race_ethnicity","Hispanic",0.428937259923175,3
2018,"01","011","race_ethnicity","Other Races and Ethnicities",0.449720670391061,3
2018,"01","011","race_ethnicity","White, Non-Hispanic",0.493152345170282,3
2018,"01","013","race_ethnicity","Black, Non-Hispanic",0.331242565156267,3
2018,"01","013","race_ethnicity","Hispanic",0.585635359116022,3
2018,"01","013","race_ethnicity","Other Races and Ethnicities",0.499647141848977,3
2018,"01","013","race_ethnicity","White, Non-Hispanic",0.511592771224359,3
2018,"01","015","race_ethnicity","Black, Non-Hispanic",0.444029850746269,1
2018,"01","015","race_ethnicity","Hispanic",0.469957081545064,1
2018,"01","015","race_ethnicity","Other Races and Ethnicities",0.481540930979133,1
2018,"01","015","race_ethnicity","White, Non-Hispanic",0.563040772336744,1
2018,"01","017","race_ethnicity","Black, Non-Hispanic",0.296515294859666,3
2018,"01","017","race_ethnicity","Hispanic",0.42615484710475,3
2018,"01","017","race_ethnicity","Other Races and Ethnicities",0.440917107583774,3
2018,"01","017","race_ethnicity","White, Non-Hispanic",0.460242568899004,3
2018,"01","019","race_ethnicity","Black, Non-Hispanic",0.377479401891974,3
2018,"01","019","race_ethnicity","Hispanic",0.420935412026726,3
2018,"01","019","race_ethnicity","Other Races and Ethnicities",0.430916552667579,3
2018,"01","019","race_ethnicity","White, Non-Hispanic",0.446245733788396,3
2018,"01","021","race_ethnicity","Black, Non-Hispanic",0.296515294859666,3
2018,"01","021","race_ethnicity","Hispanic",0.426154847104749,3
2018,"01","021","race_ethnicity","Other Races and Ethnicities",0.440917107583774,3
2018,"01","021","race_ethnicity","White, Non-Hispanic",0.460242568899004,3
2018,"01","023","race_ethnicity","Black, Non-Hispanic",0.218360889977546,3
2018,"01","023","race_ethnicity","Hispanic",NA,NA
2018,"01","023","race_ethnicity","Other Races and Ethnicities",0.334457560427206,3
2018,"01","023","race_ethnicity","White, Non-Hispanic",0.349307922376017,3
2018,"01","025","race_ethnicity","Black, Non-Hispanic",0.218360889977546,3
2018,"01","025","race_ethnicity","Hispanic",NA,NA
2018,"01","025","race_ethnicity","Other Races and Ethnicities",0.334457560427206,3
2018,"01","025","race_ethnicity","White, Non-Hispanic",0.349307922376017,3
2018,"01","027","race_ethnicity","Black, Non-Hispanic",0.377479401891974,3
2018,"01","027","race_ethnicity","Hispanic",0.420935412026726,3
2018,"01","027","race_ethnicity","Other Races and Ethnicities",0.430916552667579,3
