year,state,county,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality
2021,01,001,.39750519,1,.35664335,1,.32246697,1
2021,01,003,.37299126,1,.44501409,1,.22040643,1
2021,01,005,.51241899,1,.65244865,1,.26104832,1
2021,01,007,.91988128,1,.72727275,1,.62912983,1
2021,01,009,.17613636,1,.56432569,1,.39738545,1
2021,01,011,1,1,1,1,1,2
2021,01,013,1,1,1,1,1,1
2021,01,015,.82756394,1,.70788252,1,.6389994,1
2021,01,017,.82085109,1,.85559565,1,.55935365,1
2021,01,019,1,1,1,1,1,1
2021,01,021,.82902831,1,.92955893,1,.89826107,1
2021,01,023,1,1,1,3,1,1
2021,01,025,1,1,1,1,1,1
2021,01,027,.67676765,1,.67307693,1,.70038611,1
2021,01,029,.51249999,1,.61176473,1,.39982539,1
2021,01,031,.4843148,1,.52575105,1,.58288944,1
2021,01,033,.62853384,1,.49172577,1,.48551774,1
2021,01,035,.81185323,1,.884058,1,.41033435,1
2021,01,037,1,1,1,1,1,1
2021,01,039,.90577507,1,.91970801,1,.87040538,1
2021,01,041,1,1,1,1,1,1
2021,01,043,.24166666,1,.32136896,1,.26942536,1
2021,01,045,.98474061,1,.97523808,1,.907197,1
2021,01,047,.95390153,1,1,1,1,1
2021,01,049,1,1,1,1,1,1
2021,01,051,.56365615,1,.61867702,1,.40283817,1
2021,01,053,.94251734,1,.96212119,1,.90745854,1
2021,01,055,.84662354,1,.75259739,1,.38120496,1
2021,01,057,1,1,1,1,1,1
2021,01,059,.29665071,1,.45517582,1,.63239956,1
2021,01,061,.78454334,1,.90522873,1,.85129035,1
2021,01,063,1,1,1,2,,
2021,01,065,1,1,1,1,1,1
2021,01,067,.90109891,1,.86021507,1,.81789541,1
2021,01,069,.88017356,1,.74010789,1,.62723714,1
2021,01,071,.57584268,1,.67181468,1,.73091537,1
2021,01,073,.77866697,1,.61880594,1,.099636592,1
2021,01,075,1,1,1,1,1,1
2021,01,077,.75465637,1,.74010557,1,.67721188,1
2021,01,079,.92371136,1,.86559141,1,.86859149,1
2021,01,081,.40987369,1,.38956916,1,.26123872,1
2021,01,083,.060359281,1,.19147287,1,.086102508,1
2021,01,085,1,1,1,1,1,2
2021,01,087,1,1,1,2,1,1
2021,01,089,.41326123,1,.4070721,1,.093565077,1
2021,01,091,.84604245,1,.74603176,1,.77333331,1
2021,01,093,.81034482,1,.79601991,1,.77085894,1
2021,01,095,.57258064,1,.72822821,1,.49115694,1
2021,01,097,.82184649,1,.71889991,1,.61427087,1
2021,01,099,1,1,1,1,1,1
2021,01,101,.84141332,1,.85916489,1,.28600824,1
2021,01,103,.66589558,1,.73957795,1,.33723423,1
2021,01,105,1,1,1,3,1,1
2021,01,107,1,1,1,1,1,1
2021,01,109,1,1,1,1,1,1
2021,01,111,1,1,1,1,1,1
2021,01,113,.70923561,1,.66134185,1,.68399727,1
2021,01,115,.36935166,1,.37449118,1,.36999094,1
2021,01,117,.091087319,1,.10792121,1,.092631578,1
2021,01,119,1,1,1,3,1,1
2021,01,121,.90560001,1,.90190738,1,.87629902,1
2021,01,123,.85765672,1,.80722892,1,.87365174,1
2021,01,125,.72775424,1,.61694676,1,.2422365,1
2021,01,127,.58983892,1,.58200288,1,.69011974,1
2021,01,129,1,1,1,2,1,1
2021,01,131,1,1,1,3,1,2
2021,01,133,.63043481,1,.74800003,1,.54690117,1
2021,02,013,,,,,0,2
2021,02,016,,,0,1,0,1
2021,02,020,.23431373,1,.14925082,1,.03447314,1
2021,02,050,1,3,1,3,1,1
2021,02,060,0,3,0,3,.38095239,2
2021,02,063,0,3,.071428575,2,.0091324197,1
2021,02,066,0,3,0,3,0,1
2021,02,068,0,1,0,1,0,1
2021,02,070,1,3,1,2,1,1
2021,02,090,0,1,0,1,0,1
2021,02,100,0,3,0,3,0,1
2021,02,105,0,3,0,3,0,1
2021,02,110,0,1,0,1,0,1
2021,02,122,0,1,.026041666,1,0,1
2021,02,130,0,2,0,1,0,1
2021,02,150,.06666667,2,.017391304,1,.0051599587,1
2021,02,158,1,3,,,1,3
2021,02,164,0,3,,,.14705883,1
2021,02,170,0,1,0,1,.0017482517,1
2021,02,180,.75,3,.94444442,2,.83870965,1
2021,02,185,0,3,,,.2,1
2021,02,188,.83333331,3,.80000001,3,.96428573,2
2021,02,195,0,3,0,2,0,1
2021,02,198,0,3,.18181819,2,.15034965,1
2021,02,220,0,3,.033333335,1,.047297299,1
2021,02,230,0,3,0,3,0,1
2021,02,240,0,3,.035294119,1,.097919218,1
2021,02,275,0,3,0,3,0,1
2021,02,282,,,1,3,.30434781,2
2021,02,290,.098039217,1,.090909094,1,.050470486,1
2021,04,001,.51724136,2,.26048285,1,.25386819,1
2021,04,003,.47172859,1,.75579339,1,.37757123,1
2021,04,005,.39705881,1,.24550094,1,.14035632,1
2021,04,007,.11728395,1,.40051681,1,.31172737,1
2021,04,009,.079999998,1,.15567695,1,.09564735,1
2021,04,011,0,2,0,1,0,1
2021,04,012,1,3,.98264462,1,.99577165,1
2021,04,013,.41468886,1,.45456502,1,.08208178,1
2021,04,015,.44782609,1,.40833455,1,.40782836,1
2021,04,017,.36842105,1,.35125449,1,.17512532,1
2021,04,019,.56659937,1,.57406867,1,.19897263,1
2021,04,021,.27370799,1,.37138438,1,.23269449,1
2021,04,023,.9375,2,.93891746,1,.6145038,1
2021,04,025,.23353294,1,.27467191,1,.22012918,1
2021,04,027,.82388061,1,.81980574,1,.69193393,1
2021,05,001,.5801242,1,.64150941,1,.60287678,1
2021,05,003,.70348138,1,.67036009,1,.72358119,1
2021,05,005,.33333334,2,.20903955,1,.36153686,1
2021,05,007,.050724637,1,.26100463,1,.081478223,1
2021,05,009,.44444445,2,.48780489,1,.52869874,1
2021,05,011,1,1,1,1,1,1
2021,05,013,1,1,1,2,1,1
2021,05,015,.55555558,2,.82081914,1,.6181739,1
2021,05,017,1,1,1,1,1,1
2021,05,019,.76428574,1,.80370373,1,.77112937,1
2021,05,021,.47999999,2,.57894737,1,.53846157,1
2021,05,023,.23529412,2,.11428571,1,.20683931,1
2021,05,025,.95135134,1,.38636363,1,.52349627,1
2021,05,027,.90582079,1,.77325583,1,.55951661,1
2021,05,029,.53865337,1,.4852941,1,.43990481,1
2021,05,031,.69155842,1,.51477969,1,.23529917,1
2021,05,033,.29743591,1,.40923318,1,.29286608,1
2021,05,035,.80552053,1,.4375,1,.60719103,1
2021,05,037,.48834357,1,.55696201,1,.60905349,1
2021,05,039,1,1,1,1,1,1
2021,05,041,.90284759,1,.90769231,1,.85815603,1
2021,05,043,.62970501,1,.72972971,1,.69913042,1
2021,05,045,.21525633,1,.22222222,1,.15963387,1
2021,05,047,.2,3,.33653846,1,.39396119,1
2021,05,049,1,3,1,2,1,1
2021,05,051,.79289281,1,.52547604,1,.40038294,1
2021,05,053,0,1,0,1,0,1
2021,05,055,.10326087,1,.15675676,1,.16265611,1
2021,05,057,.99814987,1,.9622196,1,.59667194,1
2021,05,059,.96672505,1,.75974023,1,.41209635,1
2021,05,061,1,1,1,1,1,1
2021,05,063,.54330707,1,.48821867,1,.61492085,1
2021,05,065,.45454547,3,.47272727,1,.43114108,1
2021,05,067,.95194507,1,.97391301,1,.81527776,1
2021,05,069,.7199626,1,.45833334,1,.19955654,1
2021,05,071,1,1,1,1,1,1
2021,05,073,1,1,1,2,1,1
2021,05,075,.9285714,3,.76744187,1,.80178022,1
2021,05,077,1,1,1,2,1,1
2021,05,079,.619403,1,.69930071,1,.70903361,1
2021,05,081,.72093022,1,.77906978,1,.79396987,1
2021,05,083,.55263156,1,.80141842,1,.69965112,1
2021,05,085,.56550217,1,.19856705,1,.15173192,1
2021,05,087,.41666666,3,.7548638,1,.70542634,1
2021,05,089,1,3,1,1,1,1
2021,05,091,.54841548,1,.54789275,1,.43164063,1
2021,05,093,.97396338,1,.85158151,1,.73649234,1
2021,05,095,1,1,1,1,1,1
2021,05,097,1,3,1,1,1,1
2021,05,099,1,1,1,1,1,1
2021,05,101,1,3,1,2,1,1
2021,05,103,.91589326,1,.7473684,1,.59120309,1
2021,05,105,.2631579,2,.66666669,1,.81733525,1
2021,05,107,1,1,1,1,1,1
2021,05,109,1,1,.99665552,1,.98416424,1
2021,05,111,.96900827,1,.99543381,1,.9801029,1
2021,05,113,.72222221,2,.89053255,1,.82852691,1
2021,05,115,.47043702,1,.48039216,1,.42576075,1
2021,05,117,.875,1,.66666669,2,.76938987,1
2021,05,119,.56470001,1,.66835314,1,.2184,1
2021,05,121,.5625,2,.62962961,1,.6574074,1
2021,05,123,1,1,1,1,1,1
2021,05,125,.056726094,1,.034672305,1,.01745085,1
2021,05,127,.72222221,2,.93951613,1,.88723052,1
2021,05,129,1,3,1,2,1,1
2021,05,131,.82848299,1,.81889033,1,.38387346,1
