METRIC_ID,METRIC,GEOGRAPHY,YEARS,SUBGROUP_TYPE,SUBGROUP,SUBGROUP_YEARS,CI_LOWER,CI_UPPER,HAS_CI,QUALITY,RANGE,OVERALL_DIFFERENT,FINAL_DATA_PATH
1,share_employed,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
1,share_employed,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
1,share_employed,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,disability,With Disability; Without Disability,2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
1,share_employed,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
2,ratio_living_wage,county,2023; 2022; 2021; 2018; 2014,all,All,2023; 2022; 2021; 2018; 2014,ratio_living_wage_lb,ratio_living_wage_ub,No,ratio_living_wage_quality,0-5,No,
2,ratio_living_wage,county,2023; 2022; 2021; 2018; 2014,industry,"Education and Health; Goods Producing; Information Services; Leisure and Other; Professional Services; Public Administration; Trade, Transit, Utilities",2023; 2022; 2021; 2018; 2014,ratio_living_wage_lb,ratio_living_wage_ub,No,ratio_living_wage_quality,0-5,No,
3,pctl_income_20,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,pctl_income_20_lb,pctl_income_20_ub,Yes,pctl_income_20_quality,0-1000000,Yes,
3,pctl_income_20,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,pctl_income_20_lb,pctl_income_20_ub,Yes,pctl_income_20_quality,0-1000000,Yes,
3,pctl_income_50,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,pctl_income_50_lb,pctl_income_50_ub,Yes,pctl_income_50_quality,0-9000000,Yes,
3,pctl_income_50,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,pctl_income_50_lb,pctl_income_50_ub,Yes,pctl_income_50_quality,0-9000000,Yes,
3,pctl_income_80,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,pctl_income_80_lb,pctl_income_80_ub,Yes,pctl_income_80_quality,0-9000000,Yes,
3,pctl_income_80,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,pctl_income_80_lb,pctl_income_80_ub,Yes,pctl_income_80_quality,0-9000000,Yes,
4,share_debt_coll,county,2023; 2022; 2018,all,All,2023; 2022; 2018,share_debt_coll_lb,share_debt_coll_ub,No,share_debt_coll_quality,0-1,No,
4,share_debt_coll,county,2023; 2022; 2018,race-share,Neighborhoods of color; White neighborhoods,2023; 2022; 2018,share_debt_coll_lb,share_debt_coll_ub,No,share_debt_coll_quality,0-1,No,
4,share_medical_debt_coll,county,2023,all,All,2023,share_medical_debt_coll_lb,share_medical_debt_coll_ub,No,share_medical_debt_coll_quality,0-1,No,
4,share_medical_debt_coll,county,2023,race-share,Neighborhoods of color; White neighborhoods,2023,share_medical_debt_coll_lb,share_medical_debt_coll_ub,No,share_medical_debt_coll_quality,0-1,No,
5,ratio_black_nh_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_black_nh_house_value_households_lb,ratio_black_nh_house_value_households_ub,No,ratio_black_nh_house_value_households_quality,,No,
5,ratio_black_nh_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_black_nh_house_value_households_lb,ratio_black_nh_house_value_households_ub,No,ratio_black_nh_house_value_households_quality,,No,
5,ratio_hispanic_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_hispanic_house_value_households_lb,ratio_hispanic_house_value_households_ub,No,ratio_hispanic_house_value_households_quality,,No,
5,ratio_hispanic_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_hispanic_house_value_households_lb,ratio_hispanic_house_value_households_ub,No,ratio_hispanic_house_value_households_quality,,No,
5,ratio_other_nh_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_other_nh_house_value_households_lb,ratio_other_nh_house_value_households_ub,No,ratio_other_nh_house_value_households_quality,,No,
5,ratio_other_nh_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_other_nh_house_value_households_lb,ratio_other_nh_house_value_households_ub,No,ratio_other_nh_house_value_households_quality,,No,
5,ratio_white_nh_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_white_nh_house_value_households_lb,ratio_white_nh_house_value_households_ub,No,ratio_white_nh_house_value_households_quality,,No,
5,ratio_white_nh_house_value_households,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_white_nh_house_value_households_lb,ratio_white_nh_house_value_households_ub,No,ratio_white_nh_house_value_households_quality,,No,
6,share_in_preschool,county,2023; 2021; 2018; 2016; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_in_preschool_lb,share_in_preschool_ub,Yes,share_in_preschool_quality,0-1,No,
6,share_in_preschool,county,2023; 2021; 2018; 2016; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_in_preschool_lb,share_in_preschool_ub,Yes,share_in_preschool_quality,0-1,No,
6,share_in_preschool,county,2023; 2021; 2018; 2016; 2014,income,"Less than $50,000; $50,000 or More",2023; 2021; 2018; 2016; 2014,share_in_preschool_lb,share_in_preschool_ub,Yes,share_in_preschool_quality,0-1,No,
7,rate_learning,county,2018; 2017; 2016; 2015; 2014,all,All,2018; 2017; 2016; 2015; 2014,rate_learning_lb,rate_learning_ub,Yes,rate_learning_quality,-3 to 3,No,
7,rate_learning,county,2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; White, Non-Hispanic",2018; 2017; 2016; 2015; 2014,rate_learning_lb,rate_learning_ub,Yes,rate_learning_quality,-3 to 3,No,
7,rate_learning,county,2018; 2017; 2016; 2015; 2014,income,Economically Disadvantaged; Not Economically Disadvantaged,2018; 2017; 2016; 2015; 2014,rate_learning_lb,rate_learning_ub,Yes,rate_learning_quality,-3 to 3,No,
7,rate_learning,county,2018; 2017; 2016; 2015; 2014,gender,Female; Male,2018; 2017; 2016; 2015; 2014,rate_learning_lb,rate_learning_ub,Yes,rate_learning_quality,-3 to 3,No,
8,share_meps20_white,county,2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,share_meps20_white_lb,share_meps20_white_ub,No,share_meps20_white_quality,0-1,No,
8,share_meps20_black,county,2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,share_meps20_black_lb,share_meps20_black_ub,No,share_meps20_black_quality,0-1,No,
8,share_meps20_hispanic,county,2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,share_meps20_hispanic_lb,share_meps20_hispanic_ub,No,share_meps20_hispanic_quality,0-1,No,
9,share_hs_degree,county,2023; 2021; 2018; 2016; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
9,share_hs_degree,county,2023; 2021; 2018; 2016; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
9,share_hs_degree,county,2023; 2021; 2018; 2016; 2014,disability,With Disability; Without Disability,2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
9,share_hs_degree,county,2023; 2021; 2018; 2016; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
10,share_digital_access,county,2023; 2021; 2018,all,All,2023; 2021; 2018,share_digital_access_lb,share_digital_access_ub,No,share_digital_access_quality,0-1,No,
10,share_digital_access,county,2023; 2021; 2018,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018,share_digital_access_lb,share_digital_access_ub,No,share_digital_access_quality,0-1,No,
10,share_digital_access,county,2023; 2021; 2018,income,"Less than $50,000; $50,000 or More",2023; 2021; 2018,share_digital_access_lb,share_digital_access_ub,No,share_digital_access_quality,0-1,No,
11,share_affordable_80_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_80_ami_lb,share_affordable_80_ami_ub,No,share_affordable_80_ami_quality,0-5,No,
11,share_affordable_80_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_80_ami_lb,share_affordable_80_ami_ub,No,share_affordable_80_ami_quality,0-5,No,
11,share_affordable_50_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_50_ami_lb,share_affordable_50_ami_ub,No,share_affordable_50_ami_quality,0-5,No,
11,share_affordable_50_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_50_ami_lb,share_affordable_50_ami_ub,No,share_affordable_50_ami_quality,0-5,No,
11,share_affordable_30_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_30_ami_lb,share_affordable_30_ami_ub,No,share_affordable_30_ami_quality,0-5,No,
11,share_affordable_30_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_30_ami_lb,share_affordable_30_ami_ub,No,share_affordable_30_ami_quality,0-5,No,
