year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality
2023,5,5149,.0463576,1
2023,6,6001,.0231784,1
2023,6,6003,NA,NA
2023,6,6005,.0313695,1
2023,6,6007,.0342616,1
2023,6,6009,.0393103,1
2023,6,6011,.0225035,1
2023,6,6013,.0363268,1
2023,6,6015,.0401003,1
2023,6,6017,.037554,1
2023,6,6019,.0392996,1
2023,6,6021,.0151163,1
2023,6,6023,.0240964,1
2023,6,6025,.053443,1
2023,6,6027,.0235935,1
2023,6,6029,.042368,1
2023,6,6031,.0346792,1
2023,6,6033,.0406699,1
2023,6,6035,.093185,1
2023,6,6037,.0267373,1
2023,6,6039,.0373408,1
2023,6,6041,.009216,1
2023,6,6043,.0386555,1
2023,6,6045,.0389747,1
2023,6,6047,.0411885,1
2023,6,6049,.0804196,1
2023,6,6051,.0337662,1
2023,6,6053,.0618252,1
2023,6,6055,.0260429,1
2023,6,6057,.0278022,1
2023,6,6059,.0250524,1
2023,6,6061,.0180818,1
2023,6,6063,.0695518,1
2023,6,6065,.0352645,1
2023,6,6067,.0336212,1
2023,6,6069,.0635614,1
2023,6,6071,.0377166,1
2023,6,6073,.0298773,1
2023,6,6075,.0116147,1
2023,6,6077,.0320675,1
2023,6,6079,.0227144,1
2023,6,6081,.0161929,1
2023,6,6083,.0172414,1
2023,6,6085,.0117224,1
2023,6,6087,.0138382,1
2023,6,6089,.0236615,1
2023,6,6091,.0595238,1
2023,6,6093,.037448,1
2023,6,6095,.0384997,1
2023,6,6097,.0218896,1
2023,6,6099,.0354482,1
2023,6,6101,.0424837,1
2023,6,6103,.0300493,1
2023,6,6105,.054878,1
2023,6,6107,.0317508,1
2023,6,6109,.0447154,1
2023,6,6111,.0198919,1
2023,6,6113,.016383,1
2023,6,6115,.0374737,1
2023,8,8001,0,1
2023,8,8003,0,1
2023,8,8005,0,1
2023,8,8007,0,1
2023,8,8009,0,1
2023,8,8011,0,1
2023,8,8013,0,1
2023,8,8014,0,1
2023,8,8015,0,1
2023,8,8017,0,1
2023,8,8019,0,1
2023,8,8021,0,1
2023,8,8023,0,1
2023,8,8025,0,1
2023,8,8027,0,1
2023,8,8029,0,1
2023,8,8031,.0001865,1
2023,8,8033,0,1
2023,8,8035,0,1
2023,8,8037,0,1
2023,8,8039,0,1
2023,8,8041,.0000455,1
2023,8,8043,0,1
2023,8,8045,0,1
2023,8,8047,0,1
2023,8,8049,0,1
2023,8,8051,0,1
2023,8,8053,NA,NA
2023,8,8055,0,1
2023,8,8057,NA,NA
2023,8,8059,0,1
2023,8,8061,0,1
2023,8,8063,0,1
2023,8,8065,0,1
2023,8,8067,0,1
2023,8,8069,0,1
2023,8,8071,0,1
2023,8,8073,0,1
2023,8,8075,0,1
2023,8,8077,0,1
2023,8,8079,NA,NA
2023,8,8081,0,1
2023,8,8083,0,1
2023,8,8085,0,1
2023,8,8087,0,1
2023,8,8089,0,1
2023,8,8091,0,1
2023,8,8093,0,1
