state,place,state_name,place_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
01,03076,Alabama,Auburn city,10.0:20.7,2,1.1:3.2,2,4.4:8.5,2,84.4:67.6,2
01,07000,Alabama,Birmingham city,34.9:66.0,3,1.2:2.2,3,2.1:3.4,3,61.8:28.4,3
01,35896,Alabama,Hoover city,7.0:18.8,3,1.5:3.6,3,3.2:4.7,3,88.3:72.9,3
01,37000,Alabama,Huntsville city,12.7:24.0,3,2.6:4.3,3,8.5:6.2,3,76.2:65.4,3
01,50000,Alabama,Mobile city,22.0:49.1,3,2.8:2.8,3,4.6:4.5,3,70.6:43.6,3
01,51000,Alabama,Montgomery city,42.4:61.3,3,2.2:2.8,3,5.0:4.4,3,50.3:31.6,3
01,77256,Alabama,Tuscaloosa city,17.7:35.7,2,1.6:1.8,2,3.1:3.8,2,77.5:58.6,2
02,03000,Alaska,Anchorage municipality,3.3:5.5,2,4.4:7.8,2,13.9:23.6,2,78.4:63.1,2
04,04720,Arizona,Avondale city,4.8:9.2,2,39.4:44.9,2,5.7:5.4,2,50.1:40.4,2
04,07940,Arizona,Buckeye city,2.4:2.5,2,19.6:26.2,2,7.5:7.1,2,70.5:64.1,2
04,12000,Arizona,Chandler city,2.0:5.0,3,12.1:15.6,3,14.7:15.3,3,71.3:64.1,3
04,23620,Arizona,Flagstaff city,0.1:1.1,3,7.2:13.2,3,14.6:27.1,3,78.2:58.6,3
04,27400,Arizona,Gilbert town,2.0:3.5,1,11.4:15.4,1,10.7:10.8,1,76.0:70.2,1
04,27820,Arizona,Glendale city,2.9:5.3,1,23.4:31.3,1,8.0:7.9,1,65.7:55.5,1
04,28380,Arizona,Goodyear city,5.8:7.4,2,18.3:25.1,2,7.3:7.4,2,68.6:60.1,2
04,46000,Arizona,Mesa city,1.5:3.2,2,14.5:19.4,2,7.8:8.0,2,76.2:69.4,2
04,54050,Arizona,Peoria city,1.6:3.0,2,13.2:18.9,2,8.8:9.0,2,76.4:69.0,2
04,55000,Arizona,Phoenix city,4.0:7.4,2,24.4:33.6,2,7.4:8.4,2,64.3:50.7,2
04,65000,Arizona,Scottsdale city,0.4:1.9,3,5.4:8.1,3,5.3:7.8,3,88.9:82.3,3
04,71510,Arizona,Surprise city,4.8:5.2,1,11.8:14.6,1,11.6:7.1,1,71.8:73.1,1
04,73000,Arizona,Tempe city,3.7:6.2,3,18.7:21.8,3,10.2:14.8,3,67.5:57.2,3
04,77000,Arizona,Tucson city,2.6:4.4,2,27.4:34.2,2,7.3:8.2,2,62.7:53.2,2
04,85540,Arizona,Yuma city,0.7:3.0,2,60.9:61.4,2,6.3:4.1,2,32.1:31.5,2
05,23290,Arkansas,Fayetteville city,0.7:2.9,2,3.9:5.9,2,9.2:13.5,2,86.2:77.7,2
05,24550,Arkansas,Fort Smith city,1.2:3.9,2,9.5:9.6,2,11.1:12.6,2,78.1:73.9,2
05,35710,Arkansas,Jonesboro city,2.7:13.1,2,2.0:3.8,2,2.8:6.5,2,92.6:76.6,2
05,41000,Arkansas,Little Rock city,20.2:40.2,1,4.2:5.5,1,5.4:4.9,1,70.2:49.5,1
05,66080,Arkansas,Springdale city,0.5:2.1,3,9.4:18.6,3,18.4:18.3,3,71.7:60.9,3
06,00562,California,Alameda city,1.9:9.7,2,6.1:14.2,2,43.2:38.0,2,48.9:38.1,2
06,00884,California,Alhambra city,1.4:2.5,2,16.3:29.2,2,50.1:50.5,2,32.2:17.9,2
06,02000,California,Anaheim city,0.4:3.0,3,22.4:43.0,3,35.4:25.0,3,41.9:29.0,3
06,02252,California,Antioch city,8.9:17.0,1,28.5:28.8,1,26.5:21.5,1,36.1:32.6,1
06,02364,California,Apple Valley town,4.0:6.7,2,44.3:46.3,2,6.4:7.0,2,45.3:40.0,2
06,03526,California,Bakersfield city,3.4:5.7,2,37.8:48.0,2,14.2:10.4,2,44.7:35.9,2
06,04982,California,Bellflower city,10.8:14.3,2,54.2:60.8,2,13.5:11.6,2,21.4:13.4,2
06,06000,California,Berkeley city,2.7:6.8,1,1.6:9.3,1,25.3:27.2,1,70.4:56.7,1
06,08786,California,Buena Park city,1.4:4.1,3,13.9:23.1,3,36.8:32.7,3,47.9:40.1,3
06,08954,California,Burbank city,NA:3.8,NA,11.0:18.7,1,13.0:15.3,1,76.1:62.2,1
06,11194,California,Carlsbad city,0.4:1.7,1,12.6:14.2,1,14.5:13.7,1,72.5:70.4,1
06,11530,California,Carson city,28.6:20.1,1,26.4:36.8,1,38.5:32.7,1,6.5:10.5,1
06,13014,California,Chico city,1.1:1.4,1,13.0:16.2,1,9.0:12.3,1,76.9:70.1,1
06,13210,California,Chino city,7.0:6.0,2,32.3:41.7,2,38.1:31.7,2,22.7:20.5,2
06,13214,California,Chino Hills city,7.1:5.9,2,31.4:40.7,2,38.8:32.8,2,22.7:20.7,2
06,13392,California,Chula Vista city,8.0:6.8,1,42.3:54.4,1,19.0:16.5,1,30.6:22.4,1
06,13588,California,Citrus Heights city,1.0:3.7,1,7.7:13.5,1,8.0:10.0,1,83.3:72.7,1
06,14218,California,Clovis city,1.7:2.3,1,20.7:30.5,1,25.0:17.4,1,52.6:49.7,1
06,15044,California,Compton city,40.5:35.7,2,57.7:61.1,2,1.1:2.0,2,0.7:1.2,2
06,16000,California,Concord city,1.1:3.6,3,12.3:17.7,3,16.3:18.6,3,70.3:60.1,3
06,16350,California,Corona city,4.1:4.1,2,34.6:44.0,2,17.5:13.6,2,43.8:38.3,2
06,16532,California,Costa Mesa city,0.3:1.7,2,11.5:18.0,2,23.6:20.0,2,64.5:60.3,2
06,17918,California,Daly City city,1.0:1.3,2,13.4:19.3,2,50.3:47.9,2,35.4:31.5,2
06,19766,California,Downey city,3.5:4.3,1,70.1:72.9,1,8.0:10.2,1,18.4:12.5,1
06,21712,California,El Cajon city,0.5:4.0,2,12.5:23.3,2,8.6:8.6,2,78.5:64.1,2
06,22020,California,Elk Grove city,12.4:12.9,1,18.6:16.0,1,36.1:37.1,1,32.9:34.0,1
06,22230,California,El Monte city,0.0:0.7,1,42.9:64.7,1,53.0:32.1,1,4.1:2.5,1
06,22804,California,Escondido city,2.4:2.8,1,16.0:40.1,1,11.0:10.7,1,70.7:46.4,1
06,23182,California,Fairfield city,12.4:15.7,1,16.4:27.1,1,28.6:22.8,1,42.6:34.5,1
06,24638,California,Folsom city,1.0:2.0,2,7.3:9.0,2,17.8:17.1,2,73.9:71.8,2
06,24680,California,Fontana city,7.0:9.4,1,57.1:66.5,1,15.3:8.1,1,20.6:15.9,1
06,26000,California,Fremont city,0.9:3.2,2,7.1:13.8,2,74.5:63.2,2,17.5:19.8,2
06,27000,California,Fresno city,4.9:8.1,3,35.5:44.7,3,14.2:13.7,3,45.3:33.5,3
