year,state,county,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2023,01,069,race-ethnicity,Majority Non-White,NA,NA
2023,01,069,race-ethnicity,Majority White,.3018109,1
2023,01,071,race-ethnicity,All,.2737095,1
2023,01,071,race-ethnicity,Majority Non-White,NA,NA
2023,01,071,race-ethnicity,Majority White,.2737095,1
2023,01,073,race-ethnicity,All,.3164223,1
2023,01,073,race-ethnicity,Majority Non-White,.4619618,1
2023,01,073,race-ethnicity,Majority White,.1958717,1
2023,01,075,race-ethnicity,All,.2669903,1
2023,01,075,race-ethnicity,Majority Non-White,NA,NA
2023,01,075,race-ethnicity,Majority White,.2669903,1
2023,01,077,race-ethnicity,All,.2455008,1
2023,01,077,race-ethnicity,Majority Non-White,NA,NA
2023,01,077,race-ethnicity,Majority White,.2455008,1
2023,01,079,race-ethnicity,All,.2947867,1
2023,01,079,race-ethnicity,Majority Non-White,.4285714,1
2023,01,079,race-ethnicity,Majority White,.2872873,1
2023,01,081,race-ethnicity,All,.2418507,1
2023,01,081,race-ethnicity,Majority Non-White,NA,NA
2023,01,081,race-ethnicity,Majority White,.2419899,1
2023,01,083,race-ethnicity,All,.2213763,1
2023,01,083,race-ethnicity,Majority Non-White,.3114754,1
2023,01,083,race-ethnicity,Majority White,.219403,1
2023,01,085,race-ethnicity,All,.4025974,1
2023,01,085,race-ethnicity,Majority Non-White,.4575472,1
2023,01,085,race-ethnicity,Majority White,.28125,1
2023,01,087,race-ethnicity,All,.4450262,1
2023,01,087,race-ethnicity,Majority Non-White,.4758621,1
2023,01,087,race-ethnicity,Majority White,.3478261,1
2023,01,089,race-ethnicity,All,.2260034,1
2023,01,089,race-ethnicity,Majority Non-White,.4529598,1
2023,01,089,race-ethnicity,Majority White,.184679,1
2023,01,091,race-ethnicity,All,.3361204,1
2023,01,091,race-ethnicity,Majority Non-White,.3271462,1
2023,01,091,race-ethnicity,Majority White,.3575757,1
2023,01,093,race-ethnicity,All,.2835165,1
2023,01,093,race-ethnicity,Majority Non-White,NA,NA
2023,01,093,race-ethnicity,Majority White,.2835165,1
2023,01,095,race-ethnicity,All,.2905585,1
2023,01,095,race-ethnicity,Majority Non-White,NA,NA
2023,01,095,race-ethnicity,Majority White,.2905585,1
2023,01,097,race-ethnicity,All,.3422612,1
2023,01,097,race-ethnicity,Majority Non-White,.4521796,1
2023,01,097,race-ethnicity,Majority White,.281828,1
2023,01,099,race-ethnicity,All,.3695652,1
2023,01,099,race-ethnicity,Majority Non-White,.3895782,1
2023,01,099,race-ethnicity,Majority White,.3360996,1
2023,01,101,race-ethnicity,All,.3832032,1
2023,01,101,race-ethnicity,Majority Non-White,.4184254,1
2023,01,101,race-ethnicity,Majority White,.2525527,1
2023,01,103,race-ethnicity,All,.2930197,1
2023,01,103,race-ethnicity,Majority Non-White,.3919308,1
2023,01,103,race-ethnicity,Majority White,.2571429,1
2023,01,105,race-ethnicity,All,.4599156,1
2023,01,105,race-ethnicity,Majority Non-White,.4599156,1
2023,01,105,race-ethnicity,Majority White,NA,NA
2023,01,107,race-ethnicity,All,.353902,1
2023,01,107,race-ethnicity,Majority Non-White,.4763949,1
2023,01,107,race-ethnicity,Majority White,.2641509,1
2023,01,109,race-ethnicity,All,.3695409,1
2023,01,109,race-ethnicity,Majority Non-White,NA,NA
2023,01,109,race-ethnicity,Majority White,.3695409,1
2023,01,111,race-ethnicity,All,.3287101,1
2023,01,111,race-ethnicity,Majority Non-White,NA,NA
2023,01,111,race-ethnicity,Majority White,.3287101,1
2023,01,113,race-ethnicity,All,.4190801,1
2023,01,113,race-ethnicity,Majority Non-White,.4417629,1
2023,01,113,race-ethnicity,Majority White,.3920596,1
2023,01,115,race-ethnicity,All,.2697917,1
2023,01,115,race-ethnicity,Majority Non-White,NA,NA
2023,01,115,race-ethnicity,Majority White,.2694986,1
2023,01,117,race-ethnicity,All,.198995,1
2023,01,117,race-ethnicity,Majority Non-White,NA,NA
2023,01,117,race-ethnicity,Majority White,.1990781,1
2023,01,119,race-ethnicity,All,.4059702,1
2023,01,119,race-ethnicity,Majority Non-White,.4090909,1
2023,01,119,race-ethnicity,Majority White,NA,NA
2023,01,121,race-ethnicity,All,.3925271,1
2023,01,121,race-ethnicity,Majority Non-White,.4269663,1
2023,01,121,race-ethnicity,Majority White,.3733583,1
2023,01,123,race-ethnicity,All,.2829629,1
2023,01,123,race-ethnicity,Majority Non-White,.2758621,1
2023,01,123,race-ethnicity,Majority White,.2834521,1
2023,01,125,race-ethnicity,All,.2956181,1
2023,01,125,race-ethnicity,Majority Non-White,.366856,1
2023,01,125,race-ethnicity,Majority White,.2273455,1
2023,01,127,race-ethnicity,All,.3338391,1
2023,01,127,race-ethnicity,Majority Non-White,NA,NA
2023,01,127,race-ethnicity,Majority White,.3338391,1
2023,01,129,race-ethnicity,All,.2885772,1
2023,01,129,race-ethnicity,Majority Non-White,.3007519,1
2023,01,129,race-ethnicity,Majority White,.284153,1
2023,01,131,race-ethnicity,All,.4225352,1
2023,01,131,race-ethnicity,Majority Non-White,.4179105,1
2023,01,131,race-ethnicity,Majority White,NA,NA
2023,01,133,race-ethnicity,All,.2827869,1
2023,01,133,race-ethnicity,Majority Non-White,NA,NA
2023,01,133,race-ethnicity,Majority White,.2827869,1
2023,02,013,race-ethnicity,All,NA,NA
2023,02,013,race-ethnicity,Majority Non-White,NA,NA
2023,02,013,race-ethnicity,Majority White,NA,NA
2023,02,016,race-ethnicity,All,.2592593,1
2023,02,016,race-ethnicity,Majority Non-White,.2592593,1
2023,02,016,race-ethnicity,Majority White,NA,NA
2023,02,020,race-ethnicity,All,.1927065,1
2023,02,020,race-ethnicity,Majority Non-White,.2705838,1
2023,02,020,race-ethnicity,Majority White,.1563757,1
2023,02,050,race-ethnicity,All,.2482014,1
2023,02,050,race-ethnicity,Majority Non-White,.2408759,1
2023,02,050,race-ethnicity,Majority White,NA,NA
2023,02,060,race-ethnicity,All,NA,NA
2023,02,060,race-ethnicity,Majority Non-White,NA,NA
2023,02,060,race-ethnicity,Majority White,NA,NA
2023,02,063,race-ethnicity,All,.0928962,1
2023,02,063,race-ethnicity,Majority Non-White,NA,NA
2023,02,063,race-ethnicity,Majority White,.0857143,1
2023,02,066,race-ethnicity,All,.1081081,1
2023,02,066,race-ethnicity,Majority Non-White,NA,NA
2023,02,066,race-ethnicity,Majority White,.109589,1
2023,02,068,race-ethnicity,All,.1,1
2023,02,068,race-ethnicity,Majority Non-White,NA,NA
2023,02,068,race-ethnicity,Majority White,.1,1
2023,02,070,race-ethnicity,All,.1263158,1
2023,02,070,race-ethnicity,Majority Non-White,.1263158,1
2023,02,070,race-ethnicity,Majority White,NA,NA
2023,02,090,race-ethnicity,All,.165596,1
2023,02,090,race-ethnicity,Majority Non-White,.0925926,1
2023,02,090,race-ethnicity,Majority White,.1679132,1
2023,02,100,race-ethnicity,All,.0540541,1
2023,02,100,race-ethnicity,Majority Non-White,NA,NA
2023,02,100,race-ethnicity,Majority White,.0540541,1
2023,02,105,race-ethnicity,All,.2037037,1
2023,02,105,race-ethnicity,Majority Non-White,NA,NA
2023,02,105,race-ethnicity,Majority White,NA,NA
2023,02,110,race-ethnicity,All,.1340956,1
2023,02,110,race-ethnicity,Majority Non-White,NA,NA
2023,02,110,race-ethnicity,Majority White,.1340956,1
2023,02,122,race-ethnicity,All,.1593069,1
2023,02,122,race-ethnicity,Majority Non-White,NA,NA
2023,02,122,race-ethnicity,Majority White,.1596639,1
2023,02,130,race-ethnicity,All,.1437909,1
2023,02,130,race-ethnicity,Majority Non-White,NA,NA
2023,02,130,race-ethnicity,Majority White,.1437909,1
2023,02,150,race-ethnicity,All,.1147059,1
2023,02,150,race-ethnicity,Majority Non-White,.1147059,1
2023,02,150,race-ethnicity,Majority White,NA,NA
2023,02,158,race-ethnicity,All,.2372881,1
2023,02,158,race-ethnicity,Majority Non-White,.2372881,1
2023,02,158,race-ethnicity,Majority White,NA,NA
2023,02,164,race-ethnicity,All,NA,NA
2023,02,164,race-ethnicity,Majority Non-White,NA,NA
2023,02,164,race-ethnicity,Majority White,NA,NA
2023,02,170,race-ethnicity,All,.1578425,1
2023,02,170,race-ethnicity,Majority Non-White,NA,NA
2023,02,170,race-ethnicity,Majority White,.1578425,1
2023,02,180,race-ethnicity,All,.1829268,1
2023,02,180,race-ethnicity,Majority Non-White,.1829268,1
2023,02,180,race-ethnicity,Majority White,NA,NA
2023,02,185,race-ethnicity,All,.1776316,1
2023,02,185,race-ethnicity,Majority Non-White,.1788079,1
2023,02,185,race-ethnicity,Majority White,NA,NA
2023,02,188,race-ethnicity,All,.3023256,1
2023,02,188,race-ethnicity,Majority Non-White,.3023256,1
2023,02,188,race-ethnicity,Majority White,NA,NA
2023,02,195,race-ethnicity,All,.1222222,1
2023,02,195,race-ethnicity,Majority Non-White,NA,NA
2023,02,195,race-ethnicity,Majority White,.1084337,1
2023,02,198,race-ethnicity,All,.1780822,1
2023,02,198,race-ethnicity,Majority Non-White,.1707317,1
2023,02,198,race-ethnicity,Majority White,.1875,1
2023,02,220,race-ethnicity,All,.1441048,1
2023,02,220,race-ethnicity,Majority Non-White,NA,NA
2023,02,220,race-ethnicity,Majority White,.1441048,1
2023,02,230,race-ethnicity,All,NA,NA
2023,02,230,race-ethnicity,Majority Non-White,NA,NA
2023,02,230,race-ethnicity,Majority White,NA,NA
2023,02,240,race-ethnicity,All,.1369863,1
2023,02,240,race-ethnicity,Majority Non-White,NA,NA
2023,02,240,race-ethnicity,Majority White,.135514,1
2023,02,275,race-ethnicity,All,.1,1
2023,02,275,race-ethnicity,Majority Non-White,NA,NA
2023,02,275,race-ethnicity,Majority White,.1,1
2023,02,282,race-ethnicity,All,NA,NA
2023,02,282,race-ethnicity,Majority Non-White,NA,NA
2023,02,282,race-ethnicity,Majority White,NA,NA
2023,02,290,race-ethnicity,All,.1578947,1
2023,02,290,race-ethnicity,Majority Non-White,.1724138,1
2023,02,290,race-ethnicity,Majority White,NA,NA
2023,04,001,race-ethnicity,All,.4281768,1
2023,04,001,race-ethnicity,Majority Non-White,.486631,1
2023,04,001,race-ethnicity,Majority White,.2754491,1
2023,04,003,race-ethnicity,All,.2170827,1
2023,04,003,race-ethnicity,Majority Non-White,.3041065,1
2023,04,003,race-ethnicity,Majority White,.1924647,1
2023,04,005,race-ethnicity,All,.2354523,1
2023,04,005,race-ethnicity,Majority Non-White,.4029227,1
2023,04,005,race-ethnicity,Majority White,.1830128,1
