year,state,county,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,01,001,0.190:0.287,3,0.014:0.023,3,0.015:0.023,3,0.781:0.666,3
2014,01,003,0.039:0.092,1,0.013:0.033,1,0.011:0.016,1,0.937:0.859,1
2014,01,005,0.317:0.527,3,0.043:0.015,3,0.008:0.010,3,0.631:0.448,3
2014,01,007,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,009,0.020:0.084,2,0.008:0.038,2,0.006:0.008,2,0.965:0.870,2
2014,01,011,0.317:0.527,3,0.043:0.015,3,0.008:0.010,3,0.631:0.448,3
2014,01,013,0.093:0.210,3,0.023:0.026,3,0.021:0.022,3,0.863:0.741,3
2014,01,015,0.089:0.261,1,0.005:0.018,1,0.028:0.012,1,0.878:0.708,1
2014,01,017,0.099:0.260,3,0.010:0.024,3,0.037:0.014,3,0.855:0.702,3
2014,01,019,0.166:0.214,3,0.000:0.022,3,0.006:0.008,3,0.828:0.756,3
2014,01,021,0.099:0.260,3,0.010:0.024,3,0.037:0.014,3,0.855:0.702,3
2014,01,023,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,025,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,027,0.166:0.214,3,0.000:0.022,3,0.006:0.008,3,0.828:0.756,3
2014,01,029,0.166:0.214,3,0.000:0.022,3,0.006:0.008,3,0.828:0.756,3
2014,01,031,0.093:0.210,2,0.023:0.026,2,0.021:0.022,2,0.863:0.741,2
2014,01,033,0.056:0.107,3,0.011:0.020,3,0.004:0.015,3,0.928:0.858,3
2014,01,035,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,037,0.099:0.260,3,0.010:0.024,3,0.037:0.014,3,0.855:0.702,3
2014,01,039,0.093:0.210,3,0.023:0.026,3,0.021:0.022,3,0.863:0.741,3
2014,01,041,0.093:0.210,3,0.023:0.026,3,0.021:0.022,3,0.863:0.741,3
2014,01,043,0.002:0.024,1,0.008:0.019,1,0.003:0.009,1,0.987:0.948,1
2014,01,045,0.100:0.220,3,0.010:0.029,3,0.014:0.019,3,0.877:0.732,3
2014,01,047,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,049,0.003:0.033,2,0.016:0.064,2,0.021:0.025,2,0.961:0.878,2
2014,01,051,0.190:0.287,2,0.014:0.023,2,0.015:0.023,2,0.781:0.666,2
2014,01,053,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,055,0.061:0.152,1,0.012:0.020,1,0.055:0.021,1,0.871:0.807,1
2014,01,057,0.106:0.088,3,0.006:0.005,3,0.033:0.046,3,0.856:0.861,3
2014,01,059,0.056:0.107,3,0.011:0.020,3,0.004:0.015,3,0.928:0.858,3
2014,01,061,0.100:0.220,3,0.010:0.029,3,0.014:0.019,3,0.877:0.732,3
2014,01,063,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,065,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,067,0.100:0.220,3,0.010:0.029,3,0.014:0.019,3,0.877:0.732,3
2014,01,069,0.100:0.220,2,0.010:0.029,2,0.014:0.019,2,0.877:0.732,2
2014,01,071,0.003:0.033,2,0.016:0.064,2,0.021:0.025,2,0.961:0.878,2
2014,01,073,0.189:0.410,1,0.023:0.032,1,0.018:0.026,1,0.770:0.533,1
2014,01,075,0.106:0.088,3,0.006:0.005,3,0.033:0.046,3,0.856:0.861,3
2014,01,077,0.056:0.107,2,0.011:0.020,2,0.004:0.015,2,0.928:0.858,2
2014,01,079,0.056:0.126,3,0.028:0.054,3,0.058:0.031,3,0.858:0.789,3
2014,01,081,0.119:0.236,1,0.040:0.028,1,0.026:0.028,1,0.815:0.708,1
2014,01,083,0.106:0.155,2,0.029:0.037,2,0.038:0.034,2,0.828:0.774,2
2014,01,085,0.190:0.287,3,0.014:0.023,3,0.015:0.023,3,0.781:0.666,3
2014,01,087,0.317:0.527,3,0.043:0.015,3,0.008:0.010,3,0.631:0.448,3
2014,01,089,0.085:0.244,1,0.026:0.041,1,0.047:0.044,1,0.842:0.671,1
2014,01,091,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,093,0.091:0.093,3,0.007:0.009,3,0.024:0.038,3,0.877:0.860,3
2014,01,095,0.007:0.025,1,0.012:0.057,1,0.015:0.020,1,0.966:0.897,1
2014,01,097,0.226:0.347,1,0.009:0.021,1,0.025:0.040,1,0.741:0.593,1
2014,01,099,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,101,0.313:0.531,1,0.026:0.022,1,0.035:0.025,1,0.626:0.421,1
2014,01,103,0.056:0.126,1,0.028:0.054,1,0.058:0.031,1,0.858:0.789,1
2014,01,105,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,107,0.112:0.198,3,0.016:0.012,3,0.016:0.017,3,0.855:0.772,3
2014,01,109,0.317:0.527,3,0.043:0.015,3,0.008:0.010,3,0.631:0.448,3
2014,01,111,0.166:0.214,3,0.000:0.022,3,0.006:0.008,3,0.828:0.756,3
2014,01,113,0.317:0.527,2,0.043:0.015,2,0.008:0.010,2,0.631:0.448,2
2014,01,115,0.020:0.084,2,0.008:0.038,2,0.006:0.008,2,0.965:0.870,2
2014,01,117,0.049:0.104,1,0.019:0.038,1,0.051:0.041,1,0.881:0.817,1
2014,01,119,0.397:0.564,3,0.003:0.011,3,0.003:0.014,3,0.597:0.411,3
2014,01,121,0.166:0.214,2,0.000:0.022,2,0.006:0.008,2,0.828:0.756,2
2014,01,123,0.099:0.260,3,0.010:0.024,3,0.037:0.014,3,0.855:0.702,3
2014,01,125,0.170:0.311,1,0.028:0.017,1,0.016:0.024,1,0.786:0.647,1
2014,01,127,0.106:0.088,2,0.006:0.005,2,0.033:0.046,2,0.856:0.861,2
2014,01,129,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,131,0.237:0.387,3,0.002:0.012,3,0.037:0.025,3,0.724:0.576,3
2014,01,133,0.002:0.024,3,0.008:0.019,3,0.003:0.009,3,0.987:0.948,3
2014,02,013,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,016,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,020,0.010:0.064,1,0.032:0.075,1,0.109:0.200,1,0.850:0.661,1
2014,02,050,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,060,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,068,0.014:0.046,3,0.031:0.051,3,0.098:0.149,3,0.857:0.755,3
2014,02,070,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,090,0.014:0.046,2,0.031:0.051,2,0.098:0.149,2,0.857:0.755,2
2014,02,100,0.014:0.046,3,0.031:0.051,3,0.098:0.149,3,0.857:0.755,3
2014,02,105,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,110,0.014:0.046,3,0.031:0.051,3,0.098:0.149,3,0.857:0.755,3
2014,02,122,0.004:0.007,2,0.025:0.033,2,0.085:0.125,2,0.886:0.835,2
2014,02,130,0.014:0.046,3,0.031:0.051,3,0.098:0.149,3,0.857:0.755,3
2014,02,150,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,164,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,170,0.004:0.007,2,0.025:0.033,2,0.085:0.125,2,0.886:0.835,2
2014,02,180,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,185,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,188,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,195,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,198,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,220,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,230,0.014:0.046,3,0.031:0.051,3,0.098:0.149,3,0.857:0.755,3
2014,02,240,0.014:0.046,3,0.031:0.051,3,0.098:0.149,3,0.857:0.755,3
2014,02,275,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,282,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,02,290,0.002:0.015,3,0.024:0.046,3,0.414:0.526,3,0.559:0.414,3
2014,04,001,0.002:0.012,2,0.034:0.100,2,0.314:0.449,2,0.651:0.440,2
2014,04,003,0.015:0.029,2,0.234:0.361,2,0.035:0.046,2,0.716:0.564,2
2014,04,005,0.007:0.023,1,0.077:0.129,1,0.112:0.224,1,0.804:0.624,1
2014,04,007,0.004:0.024,2,0.194:0.288,2,0.035:0.105,2,0.767:0.582,2
2014,04,009,0.004:0.024,3,0.194:0.288,3,0.035:0.105,3,0.767:0.582,3
2014,04,011,0.004:0.024,3,0.194:0.288,3,0.035:0.105,3,0.767:0.582,3
2014,04,012,0.016:0.016,3,0.084:0.116,3,0.024:0.044,3,0.876:0.824,3
2014,04,013,0.019:0.053,1,0.100:0.216,1,0.059:0.065,1,0.822:0.667,1
2014,04,015,0.016:0.016,1,0.084:0.116,1,0.024:0.044,1,0.876:0.824,1
2014,04,017,0.002:0.012,2,0.034:0.100,2,0.314:0.449,2,0.651:0.440,2
2014,04,019,0.014:0.034,1,0.160:0.274,1,0.047:0.064,1,0.779:0.627,1
2014,04,021,0.019:0.051,1,0.109:0.248,1,0.027:0.078,1,0.845:0.622,1
2014,04,023,0.015:0.029,3,0.234:0.361,3,0.035:0.046,3,0.716:0.564,3
2014,04,025,0.002:0.005,1,0.063:0.096,1,0.037:0.036,1,0.898:0.863,1
2014,04,027,0.021:0.028,1,0.408:0.514,1,0.010:0.029,1,0.562:0.428,1
2014,05,001,0.236:0.399,3,0.006:0.028,3,0.022:0.010,3,0.736:0.563,3
2014,05,003,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,005,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,007,0.007:0.025,1,0.055:0.116,1,0.039:0.060,1,0.899:0.800,1
2014,05,009,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,011,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,013,0.194:0.373,3,0.004:0.012,3,0.005:0.012,3,0.796:0.603,3
2014,05,015,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,017,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,019,0.037:0.121,3,0.005:0.022,3,0.011:0.016,3,0.946:0.842,3
2014,05,021,0.016:0.065,3,0.008:0.021,3,0.005:0.039,3,0.971:0.875,3
2014,05,023,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,025,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,027,0.194:0.373,3,0.004:0.012,3,0.005:0.012,3,0.796:0.603,3
2014,05,029,0.034:0.050,3,0.029:0.066,3,0.020:0.023,3,0.917:0.860,3
2014,05,031,0.025:0.094,2,0.009:0.023,2,0.004:0.036,2,0.962:0.847,2
2014,05,033,0.015:0.061,3,0.030:0.058,3,0.107:0.067,3,0.849:0.814,3
2014,05,035,0.167:0.381,2,0.017:0.042,2,0.002:0.006,2,0.815:0.572,2
2014,05,037,0.220:0.375,3,0.005:0.023,3,0.005:0.022,3,0.770:0.580,3
2014,05,039,0.194:0.373,3,0.004:0.012,3,0.005:0.012,3,0.796:0.603,3
2014,05,041,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,043,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,045,0.057:0.097,2,0.035:0.036,2,0.009:0.028,2,0.899:0.840,2
2014,05,047,0.021:0.041,3,0.021:0.068,3,0.012:0.033,3,0.946:0.858,3
2014,05,049,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,051,0.037:0.121,2,0.005:0.022,2,0.011:0.016,2,0.946:0.842,2
2014,05,053,0.272:0.450,3,NA:0.016,NA,0.028:0.014,3,0.700:0.520,3
2014,05,055,0.016:0.065,3,0.008:0.021,3,0.005:0.039,3,0.971:0.875,3
2014,05,057,0.118:0.246,3,0.013:0.032,3,0.020:0.011,3,0.849:0.712,3
2014,05,059,0.037:0.121,3,0.005:0.022,3,0.011:0.016,3,0.946:0.842,3
2014,05,061,0.021:0.041,3,0.021:0.068,3,0.012:0.033,3,0.946:0.858,3
2014,05,063,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,065,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,067,0.037:0.097,3,0.004:0.026,3,0.003:0.016,3,0.957:0.862,3
2014,05,069,0.272:0.450,2,NA:0.016,NA,0.028:0.014,2,0.700:0.520,2
2014,05,071,0.034:0.050,3,0.029:0.066,3,0.020:0.023,3,0.917:0.860,3
2014,05,073,0.118:0.246,3,0.013:0.032,3,0.020:0.011,3,0.849:0.712,3
2014,05,075,0.016:0.065,3,0.008:0.021,3,0.005:0.039,3,0.971:0.875,3
2014,05,077,0.220:0.375,3,0.005:0.023,3,0.005:0.022,3,0.770:0.580,3
2014,05,079,0.164:0.325,3,0.018:0.045,3,0.009:0.005,3,0.808:0.624,3
2014,05,081,0.118:0.246,3,0.013:0.032,3,0.020:0.011,3,0.849:0.712,3
2014,05,083,0.021:0.041,3,0.021:0.068,3,0.012:0.033,3,0.946:0.858,3
2014,05,085,0.057:0.097,2,0.035:0.036,2,0.009:0.028,2,0.899:0.840,2
2014,05,087,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,089,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,091,0.118:0.246,2,0.013:0.032,2,0.020:0.011,2,0.849:0.712,2
2014,05,093,0.167:0.381,2,0.017:0.042,2,0.002:0.006,2,0.815:0.572,2
2014,05,095,0.220:0.375,3,0.005:0.023,3,0.005:0.022,3,0.770:0.580,3
2014,05,097,0.037:0.121,3,0.005:0.022,3,0.011:0.016,3,0.946:0.842,3
2014,05,099,0.118:0.246,3,0.013:0.032,3,0.020:0.011,3,0.849:0.712,3
2014,05,101,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,103,0.194:0.373,3,0.004:0.012,3,0.005:0.012,3,0.796:0.603,3
2014,05,105,0.034:0.050,3,0.029:0.066,3,0.020:0.023,3,0.917:0.860,3
2014,05,107,0.220:0.375,3,0.005:0.023,3,0.005:0.022,3,0.770:0.580,3
2014,05,109,0.118:0.246,3,0.013:0.032,3,0.020:0.011,3,0.849:0.712,3
2014,05,111,0.220:0.375,3,0.005:0.023,3,0.005:0.022,3,0.770:0.580,3
2014,05,113,0.021:0.041,3,0.021:0.068,3,0.012:0.033,3,0.946:0.858,3
2014,05,115,0.034:0.050,2,0.029:0.066,2,0.020:0.023,2,0.917:0.860,2
2014,05,117,0.037:0.097,3,0.004:0.026,3,0.003:0.016,3,0.957:0.862,3
2014,05,119,0.154:0.356,1,0.023:0.040,1,0.036:0.033,1,0.787:0.571,1
2014,05,121,0.016:0.065,3,0.008:0.021,3,0.005:0.039,3,0.971:0.875,3
2014,05,123,0.220:0.375,3,0.005:0.023,3,0.005:0.022,3,0.770:0.580,3
2014,05,125,0.028:0.065,1,0.030:0.032,1,0.007:0.009,1,0.934:0.894,1
2014,05,127,0.021:0.041,3,0.021:0.068,3,0.012:0.033,3,0.946:0.858,3
2014,05,129,NA:0.007,NA,0.016:0.022,3,0.017:0.024,3,0.966:0.947,3
2014,05,131,0.015:0.061,2,0.030:0.058,2,0.107:0.067,2,0.849:0.814,2
2014,05,133,0.021:0.041,3,0.021:0.068,3,0.012:0.033,3,0.946:0.858,3
2014,05,135,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,137,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,139,0.194:0.373,2,0.004:0.012,2,0.005:0.012,2,0.796:0.603,2
2014,05,141,0.016:0.018,3,0.005:0.019,3,0.006:0.021,3,0.973:0.941,3
2014,05,143,0.031:0.059,1,0.044:0.099,1,0.041:0.065,1,0.884:0.777,1
2014,05,145,0.037:0.097,2,0.004:0.026,2,0.003:0.016,2,0.957:0.862,2
2014,05,147,0.037:0.097,3,0.004:0.026,3,0.003:0.016,3,0.957:0.862,3
2014,05,149,0.034:0.050,3,0.029:0.066,3,0.020:0.023,3,0.917:0.860,3
2014,06,001,0.057:0.130,1,0.081:0.166,1,0.338:0.298,1,0.523:0.406,1
2014,06,003,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,005,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,007,0.002:0.015,1,0.077:0.125,1,0.055:0.065,1,0.865:0.795,1
2014,06,009,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,011,0.082:0.012,3,0.118:0.217,3,0.044:0.063,3,0.756:0.708,3
2014,06,013,0.030:0.091,1,0.087:0.184,1,0.193:0.181,1,0.691:0.545,1
2014,06,015,0.023:0.072,3,0.036:0.156,3,0.055:0.088,3,0.885:0.685,3
2014,06,017,0.002:0.002,1,0.067:0.103,1,0.076:0.067,1,0.856:0.827,1
2014,06,019,0.028:0.052,1,0.265:0.443,1,0.119:0.104,1,0.588:0.401,1
2014,06,021,0.082:0.012,3,0.118:0.217,3,0.044:0.063,3,0.756:0.708,3
2014,06,023,0.003:0.014,1,0.020:0.085,1,0.067:0.111,1,0.910:0.790,1
2014,06,025,0.013:0.043,1,0.683:0.726,1,0.034:0.041,1,0.270:0.189,1
2014,06,027,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,029,0.020:0.059,1,0.291:0.414,1,0.099:0.069,1,0.591:0.458,1
2014,06,031,0.044:0.080,1,0.297:0.474,1,0.057:0.076,1,0.602:0.370,1
2014,06,033,0.003:0.016,2,0.077:0.157,2,0.060:0.067,2,0.860:0.760,2
2014,06,035,0.023:0.072,3,0.036:0.156,3,0.055:0.088,3,0.885:0.685,3
2014,06,037,0.045:0.099,1,0.199:0.366,1,0.197:0.174,1,0.559:0.362,1
2014,06,039,0.042:0.057,1,0.285:0.432,1,0.038:0.050,1,0.634:0.460,1
2014,06,041,0.008:0.025,1,0.041:0.107,1,0.045:0.081,1,0.906:0.786,1
2014,06,043,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,045,0.003:0.016,2,0.077:0.157,2,0.060:0.067,2,0.860:0.760,2
2014,06,047,0.018:0.045,1,0.352:0.483,1,0.111:0.087,1,0.519:0.385,1
2014,06,049,0.023:0.072,3,0.036:0.156,3,0.055:0.088,3,0.885:0.685,3
2014,06,051,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,053,0.023:0.029,1,0.174:0.396,1,0.070:0.095,1,0.733:0.480,1
2014,06,055,0.017:0.045,1,0.103:0.259,1,0.054:0.072,1,0.826:0.625,1
2014,06,057,NA:0.002,NA,0.018:0.040,1,0.045:0.053,1,0.937:0.905,1
2014,06,059,0.008:0.018,1,0.118:0.241,1,0.201:0.202,1,0.673:0.539,1
2014,06,061,0.016:0.018,1,0.061:0.097,1,0.111:0.093,1,0.812:0.792,1
2014,06,063,0.023:0.072,3,0.036:0.156,3,0.055:0.088,3,0.885:0.685,3
2014,06,065,0.051:0.066,1,0.244:0.355,1,0.097:0.085,1,0.608:0.494,1
2014,06,067,0.050:0.109,1,0.117:0.172,1,0.178:0.170,1,0.656:0.549,1
2014,06,069,0.008:0.042,2,0.417:0.595,2,0.020:0.053,2,0.555:0.310,2
2014,06,071,0.063:0.098,1,0.327:0.402,1,0.137:0.097,1,0.473:0.403,1
2014,06,073,0.020:0.053,1,0.129:0.247,1,0.136:0.130,1,0.715:0.570,1
2014,06,075,0.018:0.053,1,0.067:0.125,1,0.346:0.327,1,0.569:0.495,1
2014,06,077,0.027:0.082,1,0.181:0.314,1,0.193:0.165,1,0.599:0.439,1
2014,06,079,0.010:0.027,1,0.072:0.157,1,0.026:0.061,1,0.891:0.755,1
2014,06,081,0.010:0.030,1,0.085:0.187,1,0.235:0.282,1,0.669:0.502,1
2014,06,083,0.007:0.021,1,0.129:0.321,1,0.051:0.093,1,0.814:0.565,1
2014,06,085,0.007:0.029,1,0.085:0.198,1,0.353:0.349,1,0.555:0.424,1
2014,06,087,0.002:0.007,1,0.100:0.257,1,0.080:0.106,1,0.819:0.630,1
2014,06,089,NA:0.009,NA,0.034:0.070,1,0.056:0.060,1,0.910:0.861,1
2014,06,091,NA:0.002,NA,0.018:0.040,3,0.045:0.053,3,0.937:0.905,3
2014,06,093,0.023:0.072,3,0.036:0.156,3,0.055:0.088,3,0.885:0.685,3
2014,06,095,0.125:0.165,1,0.134:0.198,1,0.176:0.162,1,0.565:0.474,1
