year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,1,1023,.0397112,1,race-ethnicity,Majority White
2023,1,1025,.0458333,1,race-ethnicity,All
2023,1,1025,.0402477,1,race-ethnicity,Majority Non-White
2023,1,1025,.0503778,1,race-ethnicity,Majority White
2023,1,1027,.0578358,1,race-ethnicity,All
2023,1,1027,NA,NA,race-ethnicity,Majority Non-White
2023,1,1027,.0542636,1,race-ethnicity,Majority White
2023,1,1029,.0804829,1,race-ethnicity,All
2023,1,1029,NA,NA,race-ethnicity,Majority Non-White
2023,1,1029,.0804829,1,race-ethnicity,Majority White
2023,1,1031,.0819277,1,race-ethnicity,All
2023,1,1031,NA,NA,race-ethnicity,Majority Non-White
2023,1,1031,.0819277,1,race-ethnicity,Majority White
2023,1,1033,.0621153,1,race-ethnicity,All
2023,1,1033,NA,NA,race-ethnicity,Majority Non-White
2023,1,1033,.0621153,1,race-ethnicity,Majority White
2023,1,1035,.0652921,1,race-ethnicity,All
2023,1,1035,.0580357,1,race-ethnicity,Majority Non-White
2023,1,1035,.0895522,1,race-ethnicity,Majority White
2023,1,1037,.0723684,1,race-ethnicity,All
2023,1,1037,NA,NA,race-ethnicity,Majority Non-White
2023,1,1037,.0833333,1,race-ethnicity,Majority White
2023,1,1039,.1005868,1,race-ethnicity,All
2023,1,1039,NA,NA,race-ethnicity,Majority Non-White
2023,1,1039,.1006711,1,race-ethnicity,Majority White
2023,1,1041,.0678295,1,race-ethnicity,All
2023,1,1041,NA,NA,race-ethnicity,Majority Non-White
2023,1,1041,.0678295,1,race-ethnicity,Majority White
2023,1,1043,.0760573,1,race-ethnicity,All
2023,1,1043,NA,NA,race-ethnicity,Majority Non-White
2023,1,1043,.0760833,1,race-ethnicity,Majority White
2023,1,1045,.0676038,1,race-ethnicity,All
2023,1,1045,NA,NA,race-ethnicity,Majority Non-White
2023,1,1045,.0676038,1,race-ethnicity,Majority White
2023,1,1047,.0623202,1,race-ethnicity,All
2023,1,1047,.0620079,1,race-ethnicity,Majority Non-White
2023,1,1047,NA,NA,race-ethnicity,Majority White
2023,1,1049,.090301,1,race-ethnicity,All
2023,1,1049,NA,NA,race-ethnicity,Majority Non-White
2023,1,1049,.090301,1,race-ethnicity,Majority White
2023,1,1051,.0415603,1,race-ethnicity,All
2023,1,1051,NA,NA,race-ethnicity,Majority Non-White
2023,1,1051,.0415603,1,race-ethnicity,Majority White
2023,1,1053,.0616438,1,race-ethnicity,All
2023,1,1053,.0581655,1,race-ethnicity,Majority Non-White
2023,1,1053,.0638003,1,race-ethnicity,Majority White
2023,1,1055,.0821701,1,race-ethnicity,All
2023,1,1055,NA,NA,race-ethnicity,Majority Non-White
2023,1,1055,.0823529,1,race-ethnicity,Majority White
2023,1,1057,.0358491,1,race-ethnicity,All
2023,1,1057,NA,NA,race-ethnicity,Majority Non-White
2023,1,1057,.0342205,1,race-ethnicity,Majority White
2023,1,1059,.0850112,1,race-ethnicity,All
2023,1,1059,NA,NA,race-ethnicity,Majority Non-White
2023,1,1059,.0850112,1,race-ethnicity,Majority White
2023,1,1061,.0787402,1,race-ethnicity,All
2023,1,1061,NA,NA,race-ethnicity,Majority Non-White
2023,1,1061,.0788288,1,race-ethnicity,Majority White
2023,1,1063,.0478261,1,race-ethnicity,All
2023,1,1063,.0478261,1,race-ethnicity,Majority Non-White
2023,1,1063,NA,NA,race-ethnicity,Majority White
2023,1,1065,.0537428,1,race-ethnicity,All
2023,1,1065,.0568862,1,race-ethnicity,Majority Non-White
2023,1,1065,.0481283,1,race-ethnicity,Majority White
2023,1,1067,.0251799,1,race-ethnicity,All
2023,1,1067,NA,NA,race-ethnicity,Majority Non-White
2023,1,1067,.0260223,1,race-ethnicity,Majority White
2023,1,1069,.044553,1,race-ethnicity,All
2023,1,1069,NA,NA,race-ethnicity,Majority Non-White
2023,1,1069,.044553,1,race-ethnicity,Majority White
2023,1,1071,.1002401,1,race-ethnicity,All
2023,1,1071,NA,NA,race-ethnicity,Majority Non-White
2023,1,1071,.1002401,1,race-ethnicity,Majority White
2023,1,1073,.0739003,1,race-ethnicity,All
2023,1,1073,.110068,1,race-ethnicity,Majority Non-White
2023,1,1073,.0439639,1,race-ethnicity,Majority White
2023,1,1075,.0461165,1,race-ethnicity,All
2023,1,1075,NA,NA,race-ethnicity,Majority Non-White
2023,1,1075,.0461165,1,race-ethnicity,Majority White
