year,state,county,subgroup_type,subgroup,ratio_living_wage,ratio_living_wage_quality
2014,01,001,all,All,0.606227647925658,1
2014,01,001,industry,Education and Health,0.5058039190139608,1
2014,01,001,industry,Goods Producing,1.0005520146614963,1
2014,01,001,industry,Information Services,1.11111024832575,3
2014,01,001,industry,Leisure and Other,0.2823841551507814,1
2014,01,001,industry,Professional Services,0.6762478625796853,1
2014,01,001,industry,Public Administration,0.7462680772337127,1
2014,01,001,industry,"Trade, Transit, Utilities",0.5306795215884179,1
2014,01,003,all,All,0.5784901110656508,1
2014,01,003,industry,Education and Health,0.7147122722271072,1
2014,01,003,industry,Goods Producing,0.7528544773523149,1
2014,01,003,industry,Information Services,0.7156204199681835,1
2014,01,003,industry,Leisure and Other,0.3950442673682231,1
2014,01,003,industry,Professional Services,0.6888300616064305,1
2014,01,003,industry,Public Administration,0.7664766934684605,1
2014,01,003,industry,"Trade, Transit, Utilities",0.5249093943421448,1
2014,01,005,all,All,0.6257851909626035,1
2014,01,005,industry,Education and Health,0.6210009005118191,1
2014,01,005,industry,Goods Producing,0.723384716158606,1
2014,01,005,industry,Information Services,0.9731246776895532,3
2014,01,005,industry,Leisure and Other,0.33155132823936107,1
2014,01,005,industry,Professional Services,0.5803344316801515,1
2014,01,005,industry,Public Administration,0.7731413368467641,1
2014,01,005,industry,"Trade, Transit, Utilities",0.6171734681511917,1
2014,01,007,all,All,0.6534202436140135,1
2014,01,007,industry,Education and Health,0.5066968695249533,3
2014,01,007,industry,Goods Producing,0.8612024131314404,1
2014,01,007,industry,Information Services,NA,3
2014,01,007,industry,Leisure and Other,NA,1
2014,01,007,industry,Professional Services,0.8356853045942125,1
2014,01,007,industry,Public Administration,0.7816133365034201,1
2014,01,007,industry,"Trade, Transit, Utilities",0.5112534960494582,1
2014,01,009,all,All,0.575046267392528,1
2014,01,009,industry,Education and Health,0.6479522917846076,1
2014,01,009,industry,Goods Producing,0.6461296411748055,1
2014,01,009,industry,Information Services,0.917704582035302,3
2014,01,009,industry,Leisure and Other,0.3144072301908433,1
2014,01,009,industry,Professional Services,0.6739250629742859,1
2014,01,009,industry,Public Administration,0.7278451435142614,1
2014,01,009,industry,"Trade, Transit, Utilities",0.5404159058062901,1
2014,01,011,all,All,0.6026141112932871,1
2014,01,011,industry,Education and Health,0.6035798390357443,3
2014,01,011,industry,Goods Producing,0.6286887603396313,3
2014,01,011,industry,Information Services,0.8005882984970112,3
2014,01,011,industry,Leisure and Other,0.27136949563047064,3
2014,01,011,industry,Professional Services,0.5408075357760269,3
2014,01,011,industry,Public Administration,0.763890644283638,3
2014,01,011,industry,"Trade, Transit, Utilities",0.5630192738525422,1
2014,01,013,all,All,0.5881281951564292,1
2014,01,013,industry,Education and Health,0.6702150532652904,1
2014,01,013,industry,Goods Producing,0.7764451049355815,1
2014,01,013,industry,Information Services,0.5156986144721399,3
2014,01,013,industry,Leisure and Other,0.3437990763147599,1
2014,01,013,industry,Professional Services,0.5070070647900252,1
2014,01,013,industry,Public Administration,0.7439322709395227,1
2014,01,013,industry,"Trade, Transit, Utilities",0.5485333577156845,1
2014,01,015,all,All,0.6795354406895623,1
2014,01,015,industry,Education and Health,0.674763422145394,1
2014,01,015,industry,Goods Producing,0.8417840711912836,1
2014,01,015,industry,Information Services,0.7912006746231,3
2014,01,015,industry,Leisure and Other,0.37651226313487685,1
2014,01,015,industry,Professional Services,0.7305960391121629,1
2014,01,015,industry,Public Administration,0.8688255096082372,1
2014,01,015,industry,"Trade, Transit, Utilities",0.5726422253001929,1
2014,01,017,all,All,0.6076373764071198,1
2014,01,017,industry,Education and Health,0.638066791188071,1
2014,01,017,industry,Goods Producing,0.7864101882452081,1
2014,01,017,industry,Information Services,0.6589870138499749,3
2014,01,017,industry,Leisure and Other,0.4012879074237943,1
2014,01,017,industry,Professional Services,0.6190484069499764,1
2014,01,017,industry,Public Administration,0.7233325471888613,1
2014,01,017,industry,"Trade, Transit, Utilities",0.551533142904741,1
2014,01,019,all,All,0.5948882893536296,1
2014,01,019,industry,Education and Health,0.7117413461909496,1
2014,01,019,industry,Goods Producing,0.6837352416596911,1
2014,01,019,industry,Information Services,0.7551990946015232,3
2014,01,019,industry,Leisure and Other,0.295995553063129,1
2014,01,019,industry,Professional Services,0.6180657551726021,1
2014,01,019,industry,Public Administration,0.714960438665807,1
2014,01,019,industry,"Trade, Transit, Utilities",0.5620535461100851,1
2014,01,021,all,All,0.6142028442027734,1
2014,01,021,industry,Education and Health,0.6537976816435183,1
2014,01,021,industry,Goods Producing,0.7368502674948366,1
2014,01,021,industry,Information Services,0.7204328958730644,3
