year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,69,.044553,1,race-ethnicity,Majority White
2023,1,71,.1002401,1,race-ethnicity,All
2023,1,71,NA,3,race-ethnicity,Majority Non-White
2023,1,71,.1002401,1,race-ethnicity,Majority White
2023,1,73,.0739003,1,race-ethnicity,All
2023,1,73,.110068,1,race-ethnicity,Majority Non-White
2023,1,73,.0439639,1,race-ethnicity,Majority White
2023,1,75,.0461165,1,race-ethnicity,All
2023,1,75,NA,3,race-ethnicity,Majority Non-White
2023,1,75,.0461165,1,race-ethnicity,Majority White
2023,1,77,.0471986,1,race-ethnicity,All
2023,1,77,NA,3,race-ethnicity,Majority Non-White
2023,1,77,.0471986,1,race-ethnicity,Majority White
2023,1,79,.0796209,1,race-ethnicity,All
2023,1,79,.0714286,1,race-ethnicity,Majority Non-White
2023,1,79,.0800801,1,race-ethnicity,Majority White
2023,1,81,.0241851,1,race-ethnicity,All
2023,1,81,NA,3,race-ethnicity,Majority Non-White
2023,1,81,.0242411,1,race-ethnicity,Majority White
2023,1,83,.0661786,1,race-ethnicity,All
2023,1,83,.1311475,1,race-ethnicity,Majority Non-White
2023,1,83,.0650746,1,race-ethnicity,Majority White
2023,1,85,.0779221,1,race-ethnicity,All
2023,1,85,.0801887,1,race-ethnicity,Majority Non-White
2023,1,85,.0729167,1,race-ethnicity,Majority White
2023,1,87,.0418848,1,race-ethnicity,All
2023,1,87,.0482759,1,race-ethnicity,Majority Non-White
2023,1,87,.0217391,1,race-ethnicity,Majority White
2023,1,89,.0586176,1,race-ethnicity,All
2023,1,89,.1284355,1,race-ethnicity,Majority Non-White
2023,1,89,.0459051,1,race-ethnicity,Majority White
2023,1,91,.041806,1,race-ethnicity,All
2023,1,91,.0417633,1,race-ethnicity,Majority Non-White
2023,1,91,.0424242,1,race-ethnicity,Majority White
2023,1,93,.0406593,1,race-ethnicity,All
2023,1,93,NA,3,race-ethnicity,Majority Non-White
2023,1,93,.0406593,1,race-ethnicity,Majority White
2023,1,95,.0831117,1,race-ethnicity,All
2023,1,95,NA,3,race-ethnicity,Majority Non-White
2023,1,95,.0831117,1,race-ethnicity,Majority White
2023,1,97,.0798892,1,race-ethnicity,All
2023,1,97,.1123401,1,race-ethnicity,Majority Non-White
2023,1,97,.0620451,1,race-ethnicity,Majority White
2023,1,99,.1086956,1,race-ethnicity,All
2023,1,99,.1166253,1,race-ethnicity,Majority Non-White
2023,1,99,.0954357,1,race-ethnicity,Majority White
2023,1,101,.0586875,1,race-ethnicity,All
2023,1,101,.0644155,1,race-ethnicity,Majority Non-White
