year,state,county,share_overall_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,1,.2609164,1,race-ethnicity,All
2023,1,1,.4285714,1,race-ethnicity,Majority Non-White
2023,1,1,.2540662,1,race-ethnicity,Majority White
2023,1,3,.1992218,1,race-ethnicity,All
2023,1,3,NA,3,race-ethnicity,Majority Non-White
2023,1,3,.1995548,1,race-ethnicity,Majority White
2023,1,5,.3244326,1,race-ethnicity,All
2023,1,5,.332853,1,race-ethnicity,Majority Non-White
2023,1,5,.2181818,1,race-ethnicity,Majority White
2023,1,7,.330033,1,race-ethnicity,All
2023,1,7,.4111111,1,race-ethnicity,Majority Non-White
2023,1,7,.3158915,1,race-ethnicity,Majority White
2023,1,9,.2526791,1,race-ethnicity,All
2023,1,9,NA,3,race-ethnicity,Majority Non-White
2023,1,9,.2528217,1,race-ethnicity,Majority White
2023,1,11,.4395161,1,race-ethnicity,All
2023,1,11,.4412955,1,race-ethnicity,Majority Non-White
2023,1,11,NA,3,race-ethnicity,Majority White
2023,1,13,.373817,1,race-ethnicity,All
2023,1,13,.3716216,1,race-ethnicity,Majority Non-White
2023,1,13,.3789474,1,race-ethnicity,Majority White
2023,1,15,.3460452,1,race-ethnicity,All
2023,1,15,.4895105,1,race-ethnicity,Majority Non-White
2023,1,15,.3183962,1,race-ethnicity,Majority White
2023,1,17,.3468697,1,race-ethnicity,All
2023,1,17,.3572711,1,race-ethnicity,Majority Non-White
2023,1,17,.3376,1,race-ethnicity,Majority White
2023,1,19,.32,1,race-ethnicity,All
2023,1,19,NA,3,race-ethnicity,Majority Non-White
2023,1,19,.32,1,race-ethnicity,Majority White
2023,1,21,.3002056,1,race-ethnicity,All
2023,1,21,NA,3,race-ethnicity,Majority Non-White
2023,1,21,.3002056,1,race-ethnicity,Majority White
2023,1,23,.3888889,1,race-ethnicity,All
2023,1,23,.4457831,1,race-ethnicity,Majority Non-White
2023,1,23,.3718412,1,race-ethnicity,Majority White
2023,1,25,.3638889,1,race-ethnicity,All
2023,1,25,.3869969,1,race-ethnicity,Majority Non-White
2023,1,25,.3450882,1,race-ethnicity,Majority White
2023,1,27,.3320895,1,race-ethnicity,All
2023,1,27,NA,3,race-ethnicity,Majority Non-White
2023,1,27,.3372093,1,race-ethnicity,Majority White
2023,1,29,.2696177,1,race-ethnicity,All
2023,1,29,NA,3,race-ethnicity,Majority Non-White
2023,1,29,.2696177,1,race-ethnicity,Majority White
2023,1,31,.2795181,1,race-ethnicity,All
2023,1,31,NA,3,race-ethnicity,Majority Non-White
2023,1,31,.2795181,1,race-ethnicity,Majority White
2023,1,33,.2965865,1,race-ethnicity,All
2023,1,33,NA,3,race-ethnicity,Majority Non-White
2023,1,33,.2965865,1,race-ethnicity,Majority White
2023,1,35,.3883162,1,race-ethnicity,All
2023,1,35,.3973214,1,race-ethnicity,Majority Non-White
2023,1,35,.358209,1,race-ethnicity,Majority White
2023,1,37,.3092105,1,race-ethnicity,All
2023,1,37,NA,3,race-ethnicity,Majority Non-White
2023,1,37,.3518519,1,race-ethnicity,Majority White
2023,1,39,.3436714,1,race-ethnicity,All
2023,1,39,NA,3,race-ethnicity,Majority Non-White
2023,1,39,.3431208,1,race-ethnicity,Majority White
2023,1,41,.3352713,1,race-ethnicity,All
2023,1,41,NA,3,race-ethnicity,Majority Non-White
2023,1,41,.3352713,1,race-ethnicity,Majority White
2023,1,43,.265689,1,race-ethnicity,All
2023,1,43,NA,3,race-ethnicity,Majority Non-White
2023,1,43,.2657796,1,race-ethnicity,Majority White
2023,1,45,.3052209,1,race-ethnicity,All
2023,1,45,NA,3,race-ethnicity,Majority Non-White
2023,1,45,.3052209,1,race-ethnicity,Majority White
2023,1,47,.4017258,1,race-ethnicity,All
2023,1,47,.4015748,1,race-ethnicity,Majority Non-White
2023,1,47,NA,3,race-ethnicity,Majority White
2023,1,49,.2904921,1,race-ethnicity,All
2023,1,49,NA,3,race-ethnicity,Majority Non-White
2023,1,49,.2904921,1,race-ethnicity,Majority White
2023,1,51,.2446227,1,race-ethnicity,All
2023,1,51,NA,3,race-ethnicity,Majority Non-White
2023,1,51,.2446227,1,race-ethnicity,Majority White
2023,1,53,.375,1,race-ethnicity,All
2023,1,53,.3668904,1,race-ethnicity,Majority Non-White
2023,1,53,.3800277,1,race-ethnicity,Majority White
2023,1,55,.3083756,1,race-ethnicity,All
2023,1,55,NA,3,race-ethnicity,Majority Non-White
2023,1,55,.309062,1,race-ethnicity,Majority White
2023,1,57,.3018868,1,race-ethnicity,All
2023,1,57,NA,3,race-ethnicity,Majority Non-White
2023,1,57,.2984791,1,race-ethnicity,Majority White
2023,1,59,.303132,1,race-ethnicity,All
2023,1,59,NA,3,race-ethnicity,Majority Non-White
2023,1,59,.303132,1,race-ethnicity,Majority White
2023,1,61,.3115861,1,race-ethnicity,All
2023,1,61,NA,3,race-ethnicity,Majority Non-White
2023,1,61,.3119369,1,race-ethnicity,Majority White
2023,1,63,.4478261,1,race-ethnicity,All
2023,1,63,.4478261,1,race-ethnicity,Majority Non-White
2023,1,63,NA,3,race-ethnicity,Majority White
2023,1,65,.3646833,1,race-ethnicity,All
2023,1,65,.4161677,1,race-ethnicity,Majority Non-White
2023,1,65,.2727273,1,race-ethnicity,Majority White
2023,1,67,.2374101,1,race-ethnicity,All
2023,1,67,NA,3,race-ethnicity,Majority Non-White
2023,1,67,.2379182,1,race-ethnicity,Majority White
2023,1,69,.3018109,1,race-ethnicity,All
2023,1,69,NA,3,race-ethnicity,Majority Non-White
2023,1,69,.3018109,1,race-ethnicity,Majority White
2023,1,71,.2737095,1,race-ethnicity,All
2023,1,71,NA,3,race-ethnicity,Majority Non-White
2023,1,71,.2737095,1,race-ethnicity,Majority White
2023,1,73,.3164223,1,race-ethnicity,All
2023,1,73,.4619618,1,race-ethnicity,Majority Non-White
2023,1,73,.1958717,1,race-ethnicity,Majority White
2023,1,75,.2669903,1,race-ethnicity,All
2023,1,75,NA,3,race-ethnicity,Majority Non-White
2023,1,75,.2669903,1,race-ethnicity,Majority White
2023,1,77,.2455008,1,race-ethnicity,All
2023,1,77,NA,3,race-ethnicity,Majority Non-White
2023,1,77,.2455008,1,race-ethnicity,Majority White
2023,1,79,.2947867,1,race-ethnicity,All
2023,1,79,.4285714,1,race-ethnicity,Majority Non-White
2023,1,79,.2872873,1,race-ethnicity,Majority White
2023,1,81,.2418507,1,race-ethnicity,All
2023,1,81,NA,3,race-ethnicity,Majority Non-White
2023,1,81,.2419899,1,race-ethnicity,Majority White
2023,1,83,.2213763,1,race-ethnicity,All
2023,1,83,.3114754,1,race-ethnicity,Majority Non-White
2023,1,83,.219403,1,race-ethnicity,Majority White
2023,1,85,.4025974,1,race-ethnicity,All
2023,1,85,.4575472,1,race-ethnicity,Majority Non-White
2023,1,85,.28125,1,race-ethnicity,Majority White
2023,1,87,.4450262,1,race-ethnicity,All
2023,1,87,.4758621,1,race-ethnicity,Majority Non-White
2023,1,87,.3478261,1,race-ethnicity,Majority White
2023,1,89,.2260034,1,race-ethnicity,All
2023,1,89,.4529598,1,race-ethnicity,Majority Non-White
2023,1,89,.184679,1,race-ethnicity,Majority White
2023,1,91,.3361204,1,race-ethnicity,All
2023,1,91,.3271462,1,race-ethnicity,Majority Non-White
2023,1,91,.3575757,1,race-ethnicity,Majority White
2023,1,93,.2835165,1,race-ethnicity,All
2023,1,93,NA,3,race-ethnicity,Majority Non-White
2023,1,93,.2835165,1,race-ethnicity,Majority White
2023,1,95,.2905585,1,race-ethnicity,All
2023,1,95,NA,3,race-ethnicity,Majority Non-White
2023,1,95,.2905585,1,race-ethnicity,Majority White
2023,1,97,.3422612,1,race-ethnicity,All
2023,1,97,.4521796,1,race-ethnicity,Majority Non-White
2023,1,97,.281828,1,race-ethnicity,Majority White
2023,1,99,.3695652,1,race-ethnicity,All
2023,1,99,.3895782,1,race-ethnicity,Majority Non-White
2023,1,99,.3360996,1,race-ethnicity,Majority White
