year,state,county,share_student_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,1,.1514825,1,race-ethnicity,All
2023,1,1,.2142857,1,race-ethnicity,Majority Non-White
2023,1,1,.1491868,1,race-ethnicity,Majority White
2023,1,3,.1354086,1,race-ethnicity,All
2023,1,3,NA,3,race-ethnicity,Majority Non-White
2023,1,3,.1363101,1,race-ethnicity,Majority White
2023,1,5,.1014686,1,race-ethnicity,All
2023,1,5,.1008646,1,race-ethnicity,Majority Non-White
2023,1,5,.1090909,1,race-ethnicity,Majority White
2023,1,7,.1171617,1,race-ethnicity,All
2023,1,7,.1444445,1,race-ethnicity,Majority Non-White
2023,1,7,.1124031,1,race-ethnicity,Majority White
2023,1,9,.1032149,1,race-ethnicity,All
2023,1,9,NA,3,race-ethnicity,Majority Non-White
2023,1,9,.1032731,1,race-ethnicity,Majority White
2023,1,11,.1774193,1,race-ethnicity,All
2023,1,11,.1781376,1,race-ethnicity,Majority Non-White
2023,1,11,NA,3,race-ethnicity,Majority White
2023,1,13,.1135647,1,race-ethnicity,All
2023,1,13,.1306306,1,race-ethnicity,Majority Non-White
2023,1,13,.0736842,1,race-ethnicity,Majority White
2023,1,15,.1180791,1,race-ethnicity,All
2023,1,15,.1101399,1,race-ethnicity,Majority Non-White
2023,1,15,.1196092,1,race-ethnicity,Majority White
2023,1,17,.1209814,1,race-ethnicity,All
2023,1,17,.1238779,1,race-ethnicity,Majority Non-White
2023,1,17,.1184,1,race-ethnicity,Majority White
2023,1,19,.085,1,race-ethnicity,All
2023,1,19,NA,3,race-ethnicity,Majority Non-White
2023,1,19,.085,1,race-ethnicity,Majority White
2023,1,21,.0980123,1,race-ethnicity,All
2023,1,21,NA,3,race-ethnicity,Majority Non-White
2023,1,21,.0980123,1,race-ethnicity,Majority White
2023,1,23,.125,1,race-ethnicity,All
2023,1,23,.1566265,1,race-ethnicity,Majority Non-White
2023,1,23,.1155235,1,race-ethnicity,Majority White
2023,1,25,.1111111,1,race-ethnicity,All
2023,1,25,.1083591,1,race-ethnicity,Majority Non-White
2023,1,25,.1133501,1,race-ethnicity,Majority White
2023,1,27,.1044776,1,race-ethnicity,All
2023,1,27,NA,3,race-ethnicity,Majority Non-White
2023,1,27,.0968992,1,race-ethnicity,Majority White
2023,1,29,.1006036,1,race-ethnicity,All
2023,1,29,NA,3,race-ethnicity,Majority Non-White
2023,1,29,.1006036,1,race-ethnicity,Majority White
2023,1,31,.1246988,1,race-ethnicity,All
2023,1,31,NA,3,race-ethnicity,Majority Non-White
2023,1,31,.1246988,1,race-ethnicity,Majority White
2023,1,33,.1443761,1,race-ethnicity,All
2023,1,33,NA,3,race-ethnicity,Majority Non-White
2023,1,33,.1443761,1,race-ethnicity,Majority White
2023,1,35,.1340206,1,race-ethnicity,All
2023,1,35,.1473214,1,race-ethnicity,Majority Non-White
2023,1,35,.0895522,1,race-ethnicity,Majority White
2023,1,37,.1052632,1,race-ethnicity,All
2023,1,37,NA,3,race-ethnicity,Majority Non-White
2023,1,37,.0833333,1,race-ethnicity,Majority White
2023,1,39,.0963956,1,race-ethnicity,All
2023,1,39,NA,3,race-ethnicity,Majority Non-White
2023,1,39,.0964765,1,race-ethnicity,Majority White
2023,1,41,.0968992,1,race-ethnicity,All
2023,1,41,NA,3,race-ethnicity,Majority Non-White
2023,1,41,.0968992,1,race-ethnicity,Majority White
2023,1,43,.0937926,1,race-ethnicity,All
2023,1,43,NA,3,race-ethnicity,Majority Non-White
2023,1,43,.0938246,1,race-ethnicity,Majority White
2023,1,45,.124498,1,race-ethnicity,All
2023,1,45,NA,3,race-ethnicity,Majority Non-White
2023,1,45,.124498,1,race-ethnicity,Majority White
2023,1,47,.1390221,1,race-ethnicity,All
2023,1,47,.1387795,1,race-ethnicity,Majority Non-White
2023,1,47,NA,3,race-ethnicity,Majority White
2023,1,49,.0850454,1,race-ethnicity,All
2023,1,49,NA,3,race-ethnicity,Majority Non-White
2023,1,49,.0850454,1,race-ethnicity,Majority White
2023,1,51,.1560335,1,race-ethnicity,All
2023,1,51,NA,3,race-ethnicity,Majority Non-White
2023,1,51,.1560335,1,race-ethnicity,Majority White
2023,1,53,.119863,1,race-ethnicity,All
2023,1,53,.1275168,1,race-ethnicity,Majority Non-White
2023,1,53,.1151179,1,race-ethnicity,Majority White
2023,1,55,.1031091,1,race-ethnicity,All
2023,1,55,NA,3,race-ethnicity,Majority Non-White
2023,1,55,.1033386,1,race-ethnicity,Majority White
2023,1,57,.0811321,1,race-ethnicity,All
2023,1,57,NA,3,race-ethnicity,Majority Non-White
2023,1,57,.0798479,1,race-ethnicity,Majority White
2023,1,59,.0827741,1,race-ethnicity,All
2023,1,59,NA,3,race-ethnicity,Majority Non-White
2023,1,59,.0827741,1,race-ethnicity,Majority White
2023,1,61,.0899888,1,race-ethnicity,All
2023,1,61,NA,3,race-ethnicity,Majority Non-White
2023,1,61,.0900901,1,race-ethnicity,Majority White
2023,1,63,.1478261,1,race-ethnicity,All
2023,1,63,.1478261,1,race-ethnicity,Majority Non-White
2023,1,63,NA,3,race-ethnicity,Majority White
2023,1,65,.1362764,1,race-ethnicity,All
2023,1,65,.1137725,1,race-ethnicity,Majority Non-White
2023,1,65,.1764706,1,race-ethnicity,Majority White
2023,1,67,.1007194,1,race-ethnicity,All
2023,1,67,NA,3,race-ethnicity,Majority Non-White
2023,1,67,.098513,1,race-ethnicity,Majority White
2023,1,69,.1296349,1,race-ethnicity,All
2023,1,69,NA,3,race-ethnicity,Majority Non-White
2023,1,69,.1296349,1,race-ethnicity,Majority White
2023,1,71,.0948379,1,race-ethnicity,All
2023,1,71,NA,3,race-ethnicity,Majority Non-White
2023,1,71,.0948379,1,race-ethnicity,Majority White
2023,1,73,.1854839,1,race-ethnicity,All
2023,1,73,.2014676,1,race-ethnicity,Majority Non-White
2023,1,73,.1721919,1,race-ethnicity,Majority White
2023,1,75,.0800971,1,race-ethnicity,All
2023,1,75,NA,3,race-ethnicity,Majority Non-White
2023,1,75,.0800971,1,race-ethnicity,Majority White
2023,1,77,.1470289,1,race-ethnicity,All
2023,1,77,NA,3,race-ethnicity,Majority Non-White
2023,1,77,.1470289,1,race-ethnicity,Majority White
2023,1,79,.0796209,1,race-ethnicity,All
2023,1,79,.1071429,1,race-ethnicity,Majority Non-White
2023,1,79,.0780781,1,race-ethnicity,Majority White
2023,1,81,.1892744,1,race-ethnicity,All
2023,1,81,NA,3,race-ethnicity,Majority Non-White
2023,1,81,.1897133,1,race-ethnicity,Majority White
2023,1,83,.1525622,1,race-ethnicity,All
2023,1,83,.147541,1,race-ethnicity,Majority Non-White
2023,1,83,.1525373,1,race-ethnicity,Majority White
2023,1,85,.1168831,1,race-ethnicity,All
2023,1,85,.1179245,1,race-ethnicity,Majority Non-White
2023,1,85,.1145833,1,race-ethnicity,Majority White
2023,1,87,.2111693,1,race-ethnicity,All
2023,1,87,.2229885,1,race-ethnicity,Majority Non-White
2023,1,87,.173913,1,race-ethnicity,Majority White
2023,1,89,.1833428,1,race-ethnicity,All
2023,1,89,.2040169,1,race-ethnicity,Majority Non-White
2023,1,89,.1795785,1,race-ethnicity,Majority White
2023,1,91,.1538462,1,race-ethnicity,All
