year,state,county,share_auto_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,31,.0783533,1,race-ethnicity,All
2023,1,31,NA,3,race-ethnicity,Majority Non-White
2023,1,31,.0783533,1,race-ethnicity,Majority White
2023,1,33,.0816327,1,race-ethnicity,All
2023,1,33,NA,3,race-ethnicity,Majority Non-White
2023,1,33,.0816327,1,race-ethnicity,Majority White
2023,1,35,.0819672,1,race-ethnicity,All
2023,1,35,.09375,1,race-ethnicity,Majority Non-White
2023,1,35,NA,3,race-ethnicity,Majority White
2023,1,37,.0461538,1,race-ethnicity,All
2023,1,37,NA,3,race-ethnicity,Majority Non-White
2023,1,37,NA,3,race-ethnicity,Majority White
2023,1,39,.0881764,1,race-ethnicity,All
2023,1,39,NA,3,race-ethnicity,Majority Non-White
2023,1,39,.0881764,1,race-ethnicity,Majority White
2023,1,41,.1145374,1,race-ethnicity,All
2023,1,41,NA,3,race-ethnicity,Majority Non-White
2023,1,41,.1145374,1,race-ethnicity,Majority White
2023,1,43,.0554622,1,race-ethnicity,All
2023,1,43,NA,3,race-ethnicity,Majority Non-White
2023,1,43,.0554622,1,race-ethnicity,Majority White
2023,1,45,.0680787,1,race-ethnicity,All
2023,1,45,NA,3,race-ethnicity,Majority Non-White
2023,1,45,.0680787,1,race-ethnicity,Majority White
2023,1,47,.1547344,1,race-ethnicity,All
2023,1,47,.1567696,1,race-ethnicity,Majority Non-White
2023,1,47,NA,3,race-ethnicity,Majority White
2023,1,49,.0614035,1,race-ethnicity,All
2023,1,49,NA,3,race-ethnicity,Majority Non-White
2023,1,49,.0614035,1,race-ethnicity,Majority White
2023,1,51,.0718147,1,race-ethnicity,All
2023,1,51,NA,3,race-ethnicity,Majority Non-White
2023,1,51,.0718147,1,race-ethnicity,Majority White
2023,1,53,.0875764,1,race-ethnicity,All
2023,1,53,.0923077,1,race-ethnicity,Majority Non-White
2023,1,53,.0844595,1,race-ethnicity,Majority White
2023,1,55,.074819,1,race-ethnicity,All
2023,1,55,NA,3,race-ethnicity,Majority Non-White
2023,1,55,.0750605,1,race-ethnicity,Majority White
2023,1,57,.0748663,1,race-ethnicity,All
2023,1,57,NA,3,race-ethnicity,Majority Non-White
2023,1,57,.0756757,1,race-ethnicity,Majority White
2023,1,59,.0743802,1,race-ethnicity,All
2023,1,59,NA,3,race-ethnicity,Majority Non-White
2023,1,59,.0743802,1,race-ethnicity,Majority White
2023,1,61,.0824176,1,race-ethnicity,All
2023,1,61,NA,3,race-ethnicity,Majority Non-White
2023,1,61,.0824176,1,race-ethnicity,Majority White
2023,1,63,.1395349,1,race-ethnicity,All
2023,1,63,.1395349,1,race-ethnicity,Majority Non-White
2023,1,63,NA,3,race-ethnicity,Majority White
2023,1,65,.1030043,1,race-ethnicity,All
2023,1,65,.1323529,1,race-ethnicity,Majority Non-White
2023,1,65,.0618557,1,race-ethnicity,Majority White
2023,1,67,.0818966,1,race-ethnicity,All
2023,1,67,NA,3,race-ethnicity,Majority Non-White
2023,1,67,.0840708,1,race-ethnicity,Majority White
2023,1,69,.0742574,1,race-ethnicity,All
2023,1,69,NA,3,race-ethnicity,Majority Non-White
2023,1,69,.0742574,1,race-ethnicity,Majority White
2023,1,71,.0594203,1,race-ethnicity,All
2023,1,71,NA,3,race-ethnicity,Majority Non-White
2023,1,71,.0594203,1,race-ethnicity,Majority White
2023,1,73,.0993015,1,race-ethnicity,All
2023,1,73,.1437518,1,race-ethnicity,Majority Non-White
2023,1,73,.0580781,1,race-ethnicity,Majority White
2023,1,75,.0760234,1,race-ethnicity,All
2023,1,75,NA,3,race-ethnicity,Majority Non-White
2023,1,75,.0760234,1,race-ethnicity,Majority White
2023,1,77,.0584906,1,race-ethnicity,All
2023,1,77,NA,3,race-ethnicity,Majority Non-White
2023,1,77,.0584906,1,race-ethnicity,Majority White
2023,1,79,.0772532,1,race-ethnicity,All
2023,1,79,NA,3,race-ethnicity,Majority Non-White
2023,1,79,.0727273,1,race-ethnicity,Majority White
2023,1,81,.0600324,1,race-ethnicity,All
2023,1,81,NA,3,race-ethnicity,Majority Non-White
2023,1,81,.0596529,1,race-ethnicity,Majority White
2023,1,83,.0481431,1,race-ethnicity,All
2023,1,83,NA,3,race-ethnicity,Majority Non-White
2023,1,83,.0477528,1,race-ethnicity,Majority White
2023,1,85,.1333333,1,race-ethnicity,All
2023,1,85,.1621622,1,race-ethnicity,Majority Non-White
2023,1,85,NA,3,race-ethnicity,Majority White
2023,1,87,.092827,1,race-ethnicity,All
2023,1,87,.0867052,1,race-ethnicity,Majority Non-White
2023,1,87,.109375,1,race-ethnicity,Majority White
2023,1,89,.0565327,1,race-ethnicity,All
2023,1,89,.0995851,1,race-ethnicity,Majority Non-White
2023,1,89,.0488527,1,race-ethnicity,Majority White
2023,1,91,.0923077,1,race-ethnicity,All
2023,1,91,.0957447,1,race-ethnicity,Majority Non-White
2023,1,91,.0833333,1,race-ethnicity,Majority White
2023,1,93,.0898876,1,race-ethnicity,All
2023,1,93,NA,3,race-ethnicity,Majority Non-White
2023,1,93,.0898876,1,race-ethnicity,Majority White
2023,1,95,.0587741,1,race-ethnicity,All
2023,1,95,NA,3,race-ethnicity,Majority Non-White
2023,1,95,.0587741,1,race-ethnicity,Majority White
2023,1,97,.0843398,1,race-ethnicity,All
2023,1,97,.1241791,1,race-ethnicity,Majority Non-White
2023,1,97,.0640753,1,race-ethnicity,Majority White
2023,1,99,.0968858,1,race-ethnicity,All
2023,1,99,.1333333,1,race-ethnicity,Majority Non-White
2023,1,99,.0366972,1,race-ethnicity,Majority White
2023,1,101,.104943,1,race-ethnicity,All
2023,1,101,.1151936,1,race-ethnicity,Majority Non-White
2023,1,101,.0714286,1,race-ethnicity,Majority White
2023,1,103,.0713376,1,race-ethnicity,All
2023,1,103,.126943,1,race-ethnicity,Majority Non-White
2023,1,103,.0532095,1,race-ethnicity,Majority White
2023,1,105,.2254902,1,race-ethnicity,All
2023,1,105,.2254902,1,race-ethnicity,Majority Non-White
2023,1,105,NA,3,race-ethnicity,Majority White
2023,1,107,.1185771,1,race-ethnicity,All
2023,1,107,.1909091,1,race-ethnicity,Majority Non-White
2023,1,107,.0629371,1,race-ethnicity,Majority White
2023,1,109,.0952381,1,race-ethnicity,All
2023,1,109,NA,3,race-ethnicity,Majority Non-White
2023,1,109,.0952381,1,race-ethnicity,Majority White
2023,1,111,.0653595,1,race-ethnicity,All
2023,1,111,NA,3,race-ethnicity,Majority Non-White
2023,1,111,.0653595,1,race-ethnicity,Majority White
2023,1,113,.0916335,1,race-ethnicity,All
2023,1,113,.0957684,1,race-ethnicity,Majority Non-White
2023,1,113,.0855263,1,race-ethnicity,Majority White
2023,1,115,.065199,1,race-ethnicity,All
2023,1,115,NA,3,race-ethnicity,Majority Non-White
2023,1,115,.0654206,1,race-ethnicity,Majority White
2023,1,117,.0490196,1,race-ethnicity,All
2023,1,117,NA,3,race-ethnicity,Majority Non-White
2023,1,117,.0492051,1,race-ethnicity,Majority White
2023,1,119,.1503268,1,race-ethnicity,All
2023,1,119,.1456954,1,race-ethnicity,Majority Non-White
2023,1,119,NA,3,race-ethnicity,Majority White
2023,1,121,.1221719,1,race-ethnicity,All
2023,1,121,.1442786,1,race-ethnicity,Majority Non-White
2023,1,121,.1095306,1,race-ethnicity,Majority White
2023,1,123,.066055,1,race-ethnicity,All
2023,1,123,NA,3,race-ethnicity,Majority Non-White
2023,1,123,.0683594,1,race-ethnicity,Majority White
2023,1,125,.0928046,1,race-ethnicity,All
2023,1,125,.127715,1,race-ethnicity,Majority Non-White
2023,1,125,.0617761,1,race-ethnicity,Majority White
2023,1,127,.0813008,1,race-ethnicity,All
