cityname,state,population2020,statename,state_abbr,ec_zip,ec_se_zip,data_quality
Lehi city,49,76107,Utah,UT,1.3169846815642459,0.012625240223463688,3
Lewisville city,48,111676,Texas,TX,0.9218441553216168,0.013699588858699473,3
Lexington-Fayette urban county,21,322570,Kentucky,KY,0.9045218502478252,0.019693993712990715,3
Lincoln city,31,291114,Nebraska,NE,0.9620183925595835,0.016336772818464067,3
Livonia city,26,95531,Michigan,MI,1.0229814838079359,0.017266985662554187,3
Longview city,48,81760,Texas,TX,0.6999606754956896,0.012388793116918102,3
Louisville/Jefferson County metro government (balance),21,632689,Kentucky,KY,0.8032883249592689,0.014796061390132467,3
Lowell city,25,115441,Massachusetts,MA,0.8344752791138924,0.012507897371714644,3
Lubbock city,48,257180,Texas,TX,0.7659248802814157,0.0175146943392142,3
Lynchburg city,51,79009,Virginia,VA,0.8328214213407822,0.012187555907891062,3
Lynn city,25,101238,Massachusetts,MA,0.7303164809182645,0.01922931684460141,3
Macon-Bibb County,13,157346,Georgia,GA,0.524831617272441,0.01140029447072441,3
Madison city,55,268414,Wisconsin,WI,1.1354212287989331,0.02030778369778074,3
Manchester city,33,115555,New Hampshire,NH,1.0337120907014237,0.016742774706658293,3
McAllen city,48,142242,Texas,TX,0.6355414808531249,0.012084265626874998,3
McKinney city,48,195057,Texas,TX,1.114778689430761,0.013765949643130816,3
Medford city,41,85828,Oregon,OR,0.7357765524568138,0.011387581573896351,3
Melbourne city,12,84313,Florida,FL,0.7982381043122821,0.012671158465710965,3
Memphis city,47,632207,Tennessee,TN,0.5595806776701595,0.010609232843758544,3
Meridian city,16,118099,Idaho,ID,1.044933449811676,0.011000254237288135,3
Mesquite city,48,150308,Texas,TX,0.6265536601437864,0.01066642598510784,3
Miami Beach city,12,82826,Florida,FL,0.7755966273524785,0.01827737963217939,3
Miami city,12,442265,Florida,FL,0.6660968304715824,0.01706771067982827,3
Miami Gardens city,12,111579,Florida,FL,0.5137236573255813,0.009851875185356103,3
Midland city,48,132448,Texas,TX,0.8574001700297066,0.01424967703007798,3
Milwaukee city,55,577235,Wisconsin,WI,0.657015116496381,0.013509428430819261,3
Minneapolis city,27,428403,Minnesota,MN,1.0433578438270357,0.0198316098900479,3
Miramar city,12,134676,Florida,FL,0.8592672427978817,0.012410299829214476,3
Mission city,48,85868,Texas,TX,0.5229508819475654,0.01011692883895131,3
Mount Pleasant town,45,90668,South Carolina,SC,1.0761266666403402,0.02306725394896719,3
Murfreesboro city,47,152437,Tennessee,TN,1.0217008905628977,0.02556422026514929,3
Nampa city,16,100252,Idaho,ID,0.8007335406347554,0.011318054110301769,3
Naperville city,17,149427,Illinois,IL,1.2135789060938629,0.023139844764981952,3
Nashua city,33,91405,New Hampshire,NH,1.0616863984962406,0.018394896993233083,3
Nashville-Davidson metropolitan government (balance),47,689504,Tennessee,TN,0.8397787104492753,0.017406447313954455,3
New Bedford city,25,101044,Massachusetts,MA,0.679376960159601,0.01261246384339152,3
New Braunfels city,48,90136,Texas,TX,0.9722835901594533,0.010424920273348518,3
New Orleans city,22,383997,Louisiana,LA,0.7803428143741913,0.012569748229620046,3
New Rochelle city,36,79996,New York,NY,0.9369679343754067,0.026002479209499028,3
New York city,36,8804190,New York,NY,0.8757196814364224,0.018397753871795257,3
Newark city,34,310876,New Jersey,NJ,0.6190569328100647,0.010893443564584725,3
Newport News city,51,186247,Virginia,VA,0.754755258884457,0.011697847202817807,3
Newton city,25,88787,Massachusetts,MA,1.379837459096422,0.05109548210976349,3
Norfolk city,51,238005,Virginia,VA,0.7890077617850273,0.013380670177733324,3
Norman city,40,127224,Oklahoma,OK,0.923367616322155,0.014789172904892798,3
North Charleston city,45,115113,South Carolina,SC,0.756200818185646,0.012915770342277514,3
North Las Vegas city,32,262678,Nevada,NV,0.6886258910741371,0.011629020429035752,3
North Port city,12,75175,Florida,FL,0.8499494474309723,0.018022837909243698,3
O'Fallon city,29,91390,Missouri,MO,1.101375934046891,0.015518888758409786,3
Odessa city,48,114368,Texas,TX,0.7876603270084361,0.012576463341336795,3
Ogden city,49,86830,Utah,UT,0.9288172273383459,0.012686375939849623,3
Oklahoma City city,40,681387,Oklahoma,OK,0.7760720910201071,0.017842210190581707,3
Olathe city,20,141238,Kansas,KS,0.9913887801066666,0.014179182232888887,3
Omaha city,31,490627,Nebraska,NE,0.8610699416652422,0.01596873328437767,3
Orem city,49,98070,Utah,UT,1.1893895104895105,0.01646320444261621,3
