year,statefips,place,socassn,data_quality
2020,34,36000,1.4,2
2020,18,36003,0.3,1
2020,06,36448,1.9,2
2020,06,36546,0.8,2
2020,06,36770,0.9,2
2020,12,36950,2.9,2
2020,01,37000,1.2,2
2020,09,37000,NA,NA
2020,25,37000,NA,NA
2020,31,37000,0.4,1
2020,48,37000,0.9,2
2020,25,37490,NA,NA
2020,06,37692,0.8,2
2020,29,38000,0.3,1
2020,12,38250,1.8,2
2020,17,38570,1.3,2
2020,20,38900,2.5,2
2020,48,39148,1.3,2
2020,55,39225,1.5,2
2020,35,39380,2.4,2
2020,12,39425,1.6,2
2020,06,39496,2.9,2
2020,06,39892,1.1,2
2020,32,40000,0.2,1
2020,47,40000,1.3,1
2020,06,40130,1.4,2
2020,22,40735,2,2
2020,05,41000,1.3,1
2020,22,41155,4.7,2
2020,29,41348,1.5,2
2020,48,41464,1.1,1
2020,40,41850,3,2
2020,48,41980,2.9,2
2020,06,41992,3.2,2
2020,13,42425,5.9,2
2020,48,42508,2.1,1
2020,06,43000,0.4,2
2020,08,43000,1.2,2
2020,27,43000,0.6,1
2020,49,43660,1,2
2020,48,43888,3.6,2
2020,12,43975,2.8,2
2020,06,44000,0.1,1
2020,49,44320,1.8,2
2020,12,45000,0.4,1
2020,25,45000,NA,NA
2020,48,45000,0.6,1
2020,12,45025,3.2,2
2020,12,45060,1.7,1
2020,33,45140,NA,NA
2020,48,45384,1.6,2
2020,06,45484,1.9,2
2020,25,45560,NA,NA
2020,48,45744,1.8,2
2020,08,45970,3.9,2
2020,12,45975,1.5,2
2020,04,46000,0.3,2
2020,26,46000,3,1
2020,21,46027,0.7,1
2020,08,46465,4.4,2
2020,06,46842,0.7,2
2020,06,46898,2.4,2
2020,41,47000,5.2,2
2020,51,47672,5.8,2
2020,06,47766,7.8,2
2020,48,47892,1.7,2
2020,47,48000,0.3,1
2020,55,48000,1.1,1
2020,21,48006,0.5,2
2020,48,48072,2.6,2
2020,06,48256,2.7,2
2020,06,48354,1.1,1
2020,45,48535,4.1,2
2020,48,48768,2.3,2
2020,26,49000,2.4,1
2020,13,49008,1.5,1
2020,06,49270,0.5,2
2020,06,49670,1.5,1
2020,12,49675,1.7,2
2020,01,50000,0.9,1
2020,11,50000,1.2,1
2020,06,50076,2.4,2
2020,06,50258,3.9,2
2020,33,50260,NA,NA
2020,36,50617,3.2,2
2020,48,50820,7.8,2
2020,45,50875,2,2
2020,01,51000,1.2,1
2020,34,51000,NA,NA
2020,36,51000,0,1
2020,06,51182,3.7,2
2020,47,51560,2.3,2
2020,17,51622,1.8,2
2020,27,51730,1.4,2
2020,32,51800,0.3,1
2020,09,52000,NA,NA
2020,47,52006,0.5,1
2020,16,52120,3.1,2
2020,40,52500,2,2
2020,06,52526,3.8,2
2020,20,52575,2.6,2
2020,06,53000,0.6,2
2020,12,53000,0.8,2
2020,55,53000,0.3,1
2020,06,53322,1.1,2
2020,48,53388,2.7,2
2020,53,53545,4.7,2
2020,20,53775,0.9,1
2020,06,53896,1.2,1
2020,06,53980,1.5,2
2020,12,54000,1.1,2
2020,04,54050,0.8,2
2020,29,54074,1.9,2
2020,12,54200,2.2,2
2020,44,54640,NA,NA
2020,06,54652,0.9,2
2020,27,54880,2.9,2
2020,04,55000,0.1,1
2020,22,55000,0.5,1
2020,37,55000,0.8,1
2020,40,55000,0.2,1
2020,06,55156,1.1,2
2020,25,55745,NA,NA
2020,12,55775,0.9,2
2020,49,55980,1.9,2
2020,09,55990,NA,NA
2020,06,56000,2.2,2
2020,48,56000,0.6,2
2020,51,56000,1.4,1
2020,16,56260,1.8,2
2020,48,56348,2.5,2
2020,06,56700,0.7,2
2020,34,57000,NA,NA
2020,51,57000,0.8,1
2020,48,57200,4.5,2
2020,49,57300,0.4,2
2020,12,57425,1.6,2
2020,06,57456,2.6,2
2020,53,57745,1.5,2
2020,06,57792,4.5,2
2020,27,58000,0.9,1
2020,48,58016,1.1,2
2020,12,58050,1.8,1
2020,06,58072,1.4,2
2020,12,58715,0.6,2
2020,17,59000,1.8,2
2020,41,59000,0.4,1
2020,44,59000,NA,NA
2020,46,59020,1.7,1
2020,06,59444,2.7,2
2020,06,59451,1.3,1
2020,06,59920,2.9,2
2020,42,60000,0.1,1
2020,06,60102,2.2,2
2020,06,60466,1.1,2
2020,32,60600,0.8,1
2020,06,60620,1.1,2
2020,39,61000,2.6,2
2020,42,61000,0.7,1
2020,48,61796,3.2,2
2020,06,62000,0.7,2
2020,08,62000,1.4,2
2020,49,62470,0.3,2
2020,25,62535,NA,NA
2020,06,62938,2.2,2
2020,12,63000,0.6,1
2020,36,63000,0.6,1
2020,53,63000,0.4,1
2020,35,63460,1.8,2
2020,48,63500,2.4,2
2020,42,63624,2,2
2020,06,64000,0.6,1
2020,51,64000,1.8,2
2020,06,64224,0.9,2
2020,48,64472,4.7,2
2020,41,64900,3.1,2
2020,04,65000,0.9,2
2020,06,65000,0.4,1
2020,17,65000,1.5,2
2020,29,65000,0.6,1
2020,48,65000,0.1,1
2020,06,65042,3.3,2
2020,49,65330,1.4,2
2020,06,66000,0.2,1
2020,55,66000,2.4,2
2020,05,66080,3.2,2
2020,06,67000,0.3,1
2020,25,67000,NA,NA
2020,49,67000,0.7,1
2020,51,67000,1.6,1
2020,53,67000,1.3,1
