year,state,county,subgroup_type,subgroup,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2018,01,001,all,All,21413.904874999997,19755.391499999998,23554.791149999997,3,55727.636978999995,53034.84067199999,58458.397249999995,3,107067.507525,104002.29294399999,110834.403912,3
2018,01,001,race-ethnicity,"Black, Non-Hispanic",12430.546376999999,10637.518499999998,15631.595924999998,3,36268.872599999995,31209.030711999996,41283.115984,3,81370.821675,75349.12105599999,88987.149396,3
2018,01,001,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,001,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,001,race-ethnicity,"White, Non-Hispanic",27834.618499999997,26239.2123,31630.202495999998,3,63600.75453299999,60785.81999999999,66293.55084,3,114978.25643399998,110794.86791999999,123105.40879999999,3
2018,01,003,all,All,24196.545823999997,21752.697767999998,25585.104077999997,1,55290.799344,52717.00416,58214.150729999994,1,112431.32009999998,106124.97262399999,119328.39151199999,1
2018,01,003,race-ethnicity,"Black, Non-Hispanic",12652.282516,12310.540879999999,16809.436325,1,31074.849158999998,25327.425,41755.853975,1,67282.938272,55315.09619999999,91178.73,1
2018,01,003,race-ethnicity,Hispanic,13601.430412,10130.97,30595.529399999996,1,37290.627942,26036.592899999996,55934.93072399999,1,83377.88309999999,55934.93072399999,191025.15097599998,1
2018,01,003,race-ethnicity,Other Races and Ethnicities,32216.484599999996,18308.9643,33026.962199999994,1,44540.853072,33026.962199999994,94326.05764999999,1,105759.24632099998,63675.384079999996,356639.28197699995,1
2018,01,003,race-ethnicity,"White, Non-Hispanic",25585.104077999997,24090.411839999997,28677.969655999997,1,59133.033574999994,55880.83048,61552.704399999995,1,117050.18269499998,110706.716324,125826.64739999999,1
2018,01,005,all,All,13285.047779999999,12326.393909999999,14689.9065,3,37007.699651999996,35021.210928,38671.819471999996,3,78232.155084,73769.314025,82660.504344,3
2018,01,005,race-ethnicity,"Black, Non-Hispanic",9551.057295999999,9219.010112999998,10543.400832,3,25910.47195,22922.938016,30086.359875,3,59430.024719999994,55675.14425,67877.499,3
2018,01,005,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,005,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,005,race-ethnicity,"White, Non-Hispanic",20820.38151,19046.223599999998,23301.480087999997,3,47965.73512499999,45289.375174999994,50857.469399999994,3,92424.677312,87126.34199999999,98059.79110399999,3
2018,01,007,all,All,10706.448224999998,10064.081499999998,12157.163999999999,3,29978.458399999996,27967.465361999995,31837.191408,3,74194.74996799999,70333.25089499999,76488.8235,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",9117.873,8914.253391999999,9528.607825,3,21984.204899999997,19807.483849999997,23199.921299999998,3,49236.5142,44437.711793999995,52928.59763999999,3
2018,01,007,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,007,race-ethnicity,"White, Non-Hispanic",20236.064475,16658.452404,21752.697767999998,3,50834.173279999995,47615.558999999994,54825.885844,3,99283.506,91622.999604,104002.29294399999,3
2018,01,009,all,All,21948.370124999998,20261.94,23347.473951999997,2,52681.043999999994,49448.388688,54604.196899999995,2,95940.28589999999,92887.52254399999,100819.27468799999,2
2018,01,009,race-ethnicity,"Black, Non-Hispanic",25895.539101,18736.5365,31630.202495999998,2,48180.52965,34445.297999999995,53868.060408,2,83626.57054399999,68991.90569999999,100819.27468799999,2
2018,01,009,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,009,race-ethnicity,"White, Non-Hispanic",22270.057699999998,20449.850574999997,23554.791149999997,2,53533.24954999999,50819.715956,56618.384895999996,2,97368.39999899999,94218.021,102547.71005699999,2
2018,01,011,all,All,13285.047779999999,12326.393909999999,14689.9065,3,37007.699651999996,35021.210928,38671.819471999996,3,78232.155084,73769.314025,82660.504344,3
2018,01,011,race-ethnicity,"Black, Non-Hispanic",9551.057295999999,9219.010112999998,10543.400832,3,25910.47195,22922.938016,30086.359875,3,59430.024719999994,55675.14425,67877.499,3
2018,01,011,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,011,race-ethnicity,"White, Non-Hispanic",20820.38151,19046.223599999998,23301.480087999997,3,47965.73512499999,45289.375174999994,50857.469399999994,3,92424.677312,87126.34199999999,98059.79110399999,3
2018,01,013,all,All,17923.982932,16343.632271999999,19294.302612,3,45577.321797,44282.485012,47862.421727999994,3,95231.11799999999,91007.33097499999,97887.13995599998,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",10187.8612,9101.035624999999,12430.546376999999,3,29184.843072,26517.420335999996,34490.541008,3,58244.61115,52890.88282499999,65052.904043999995,3
2018,01,013,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,013,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,013,race-ethnicity,"White, Non-Hispanic",21413.904874999997,20163.454432,23512.06598,3,51056.453888,48238.771244999996,53533.24954999999,3,101427.83843199999,96900.566675,107067.507525,3
2018,01,015,all,All,17729.1975,16113.623074999998,19526.650528,1,45473.16933,42933.694375,48270.118103999994,1,91727.788756,87936.81959999999,97635.25516799999,1
2018,01,015,race-ethnicity,"Black, Non-Hispanic",12098.272911999999,10437.604092,14191.026425999999,1,29379.813,24860.081564999997,32976.505925,1,67452.539825,54925.88447499999,80300.88274999999,1
2018,01,015,race-ethnicity,Hispanic,25588.784375,18235.746,34161.263552,1,42468.926811,34161.263552,62741.178224999996,1,101639.431912,62741.178224999996,132379.807935,1
2018,01,015,race-ethnicity,Other Races and Ethnicities,15905.622899999998,2026.1939999999997,22912.424424999997,1,35650.883429999994,29521.320811999998,44023.124304,1,63260.404991999996,53033.386792,112149.83789999998,1
2018,01,015,race-ethnicity,"White, Non-Hispanic",21752.697767999998,19680.771506999998,24090.264825,1,53062.986944,49512.869385,55616.842423999995,1,99757.93484799999,93148.21724999999,106061.892992,1
2018,01,017,all,All,16809.436325,15631.595924999998,18556.748196,3,42854.003099999994,40523.88,46391.366696,3,84694.9092,82777.498672,89145.53771199999,3
2018,01,017,race-ethnicity,"Black, Non-Hispanic",12735.076815999999,10170.974549999999,14433.22056,3,27967.465361999995,24963.222842999996,32111.317883999996,3,60785.81999999999,53694.140999999996,68986.347147,3
2018,01,017,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,017,race-ethnicity,"White, Non-Hispanic",19505.896092,17451.80305,22246.535452,3,50609.130064,48477.411849,53533.24954999999,3,94326.05764999999,89936.38362499999,99440.32625999999,3
2018,01,019,all,All,17402.56269,16573.38771,18640.9848,3,41119.66628,38902.92479999999,42450.589808,3,78548.53771599999,76231.88787499999,81922.94992799999,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",13474.190099999998,11455.707999999999,16573.38771,3,30798.1488,25937.330295999996,33949.670072,3,62206.467943999996,58050.458099999996,67018.573353,3
2018,01,019,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,019,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,019,race-ethnicity,"White, Non-Hispanic",19845.05248,18201.062824999997,21543.196224,3,44955.440561999996,42550.07399999999,47210.320199999995,3,84687.91038399999,81250.37939999999,90313.01153599999,3
2018,01,021,all,All,16809.436325,15631.595924999998,18556.748196,3,42854.003099999994,40523.88,46391.366696,3,84694.9092,82777.498672,89145.53771199999,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",12735.076815999999,10170.974549999999,14433.22056,3,27967.465361999995,24963.222842999996,32111.317883999996,3,60785.81999999999,53694.140999999996,68986.347147,3
2018,01,021,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,021,race-ethnicity,"White, Non-Hispanic",19505.896092,17451.80305,22246.535452,3,50609.130064,48477.411849,53533.24954999999,3,94326.05764999999,89936.38362499999,99440.32625999999,3
2018,01,023,all,All,12585.258294,11498.230118999998,13258.710167999998,3,34793.021228,32723.033099999997,37218.285544,3,75982.275,72508.31843399999,80300.88274999999,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",9528.607825,8994.142575,10753.986723999999,3,23554.791149999997,20971.1079,26745.760799999996,3,53319.463449999996,48180.52965,59772.723,3
2018,01,023,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,023,race-ethnicity,"White, Non-Hispanic",17238.016949999997,15804.313199999999,19102.114591999998,3,44540.853072,41389.249968,47756.287743999994,3,90118.174869,85439.81654999999,95397.00499999999,3
2018,01,025,all,All,12585.258294,11498.230118999998,13258.710167999998,3,34793.021228,32723.033099999997,37218.285544,3,75982.275,72508.31843399999,80300.88274999999,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",9528.607825,8994.142575,10753.986723999999,3,23554.791149999997,20971.1079,26745.760799999996,3,53319.463449999996,48180.52965,59772.723,3
2018,01,025,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,025,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,025,race-ethnicity,"White, Non-Hispanic",17238.016949999997,15804.313199999999,19102.114591999998,3,44540.853072,41389.249968,47756.287743999994,3,90118.174869,85439.81654999999,95397.00499999999,3
2018,01,027,all,All,17402.56269,16573.38771,18640.9848,3,41119.66628,38902.92479999999,42450.589808,3,78548.53771599999,76231.88787499999,81922.94992799999,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",13474.190099999998,11455.707999999999,16573.38771,3,30798.1488,25937.330295999996,33949.670072,3,62206.467943999996,58050.458099999996,67018.573353,3
2018,01,027,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,027,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,027,race-ethnicity,"White, Non-Hispanic",19845.05248,18201.062824999997,21543.196224,3,44955.440561999996,42550.07399999999,47210.320199999995,3,84687.91038399999,81250.37939999999,90313.01153599999,3
2018,01,029,all,All,17402.56269,16573.38771,18640.9848,3,41119.66628,38902.92479999999,42450.589808,3,78548.53771599999,76231.88787499999,81922.94992799999,3
2018,01,029,race-ethnicity,"Black, Non-Hispanic",13474.190099999998,11455.707999999999,16573.38771,3,30798.1488,25937.330295999996,33949.670072,3,62206.467943999996,58050.458099999996,67018.573353,3
2018,01,029,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,029,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,029,race-ethnicity,"White, Non-Hispanic",19845.05248,18201.062824999997,21543.196224,3,44955.440561999996,42550.07399999999,47210.320199999995,3,84687.91038399999,81250.37939999999,90313.01153599999,3
2018,01,031,all,All,17923.982932,16343.632271999999,19294.302612,2,45577.321797,44282.485012,47862.421727999994,2,95231.11799999999,91007.33097499999,97887.13995599998,2
2018,01,031,race-ethnicity,"Black, Non-Hispanic",10187.8612,9101.035624999999,12430.546376999999,2,29184.843072,26517.420335999996,34490.541008,2,58244.61115,52890.88282499999,65052.904043999995,2
2018,01,031,race-ethnicity,Hispanic,26358.50208,8434.519148,32120.353099999997,2,68986.347147,44784.536192,91267.216128,2,101755.46268,95945.552124,146088.5874,2
2018,01,031,race-ethnicity,Other Races and Ethnicities,15388.426415999998,9115.868835,29078.709088,2,38497.685999999994,31837.191408,52928.59763999999,2,94882.89743699999,71680.15464299999,138751.920716,2
2018,01,031,race-ethnicity,"White, Non-Hispanic",21413.904874999997,20163.454432,23512.06598,2,51056.453888,48238.771244999996,53533.24954999999,2,101427.83843199999,96900.566675,107067.507525,2
2018,01,033,all,All,18147.91,17131.1239,19163.042738999997,3,44282.485012,42323.59725,47210.320199999995,3,88046.248608,85559.73485699999,90206.87755199999,3
2018,01,033,race-ethnicity,"Black, Non-Hispanic",12947.344783999999,10930.799088,15537.930174,3,29785.051799999997,25304.565032,36081.4465,3,62150.70950699999,57602.244425,71929.88699999999,3
2018,01,033,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,033,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,033,race-ethnicity,"White, Non-Hispanic",20095.358997,18359.176703999998,20869.798199999997,3,46801.08188799999,44135.377164,49242.163519999995,3,90206.87755199999,88046.248608,94891.61507599999,3
2018,01,035,all,All,12585.258294,11498.230118999998,13258.710167999998,3,34793.021228,32723.033099999997,37218.285544,3,75982.275,72508.31843399999,80300.88274999999,3
2018,01,035,race-ethnicity,"Black, Non-Hispanic",9528.607825,8994.142575,10753.986723999999,3,23554.791149999997,20971.1079,26745.760799999996,3,53319.463449999996,48180.52965,59772.723,3
2018,01,035,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,035,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,035,race-ethnicity,"White, Non-Hispanic",17238.016949999997,15804.313199999999,19102.114591999998,3,44540.853072,41389.249968,47756.287743999994,3,90118.174869,85439.81654999999,95397.00499999999,3
2018,01,037,all,All,16809.436325,15631.595924999998,18556.748196,3,42854.003099999994,40523.88,46391.366696,3,84694.9092,82777.498672,89145.53771199999,3
2018,01,037,race-ethnicity,"Black, Non-Hispanic",12735.076815999999,10170.974549999999,14433.22056,3,27967.465361999995,24963.222842999996,32111.317883999996,3,60785.81999999999,53694.140999999996,68986.347147,3
2018,01,037,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,037,race-ethnicity,"White, Non-Hispanic",19505.896092,17451.80305,22246.535452,3,50609.130064,48477.411849,53533.24954999999,3,94326.05764999999,89936.38362499999,99440.32625999999,3
2018,01,039,all,All,17923.982932,16343.632271999999,19294.302612,3,45577.321797,44282.485012,47862.421727999994,3,95231.11799999999,91007.33097499999,97887.13995599998,3
2018,01,039,race-ethnicity,"Black, Non-Hispanic",10187.8612,9101.035624999999,12430.546376999999,3,29184.843072,26517.420335999996,34490.541008,3,58244.61115,52890.88282499999,65052.904043999995,3
2018,01,039,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,039,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,039,race-ethnicity,"White, Non-Hispanic",21413.904874999997,20163.454432,23512.06598,3,51056.453888,48238.771244999996,53533.24954999999,3,101427.83843199999,96900.566675,107067.507525,3
2018,01,041,all,All,17923.982932,16343.632271999999,19294.302612,3,45577.321797,44282.485012,47862.421727999994,3,95231.11799999999,91007.33097499999,97887.13995599998,3
2018,01,041,race-ethnicity,"Black, Non-Hispanic",10187.8612,9101.035624999999,12430.546376999999,3,29184.843072,26517.420335999996,34490.541008,3,58244.61115,52890.88282499999,65052.904043999995,3
2018,01,041,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,041,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,041,race-ethnicity,"White, Non-Hispanic",21413.904874999997,20163.454432,23512.06598,3,51056.453888,48238.771244999996,53533.24954999999,3,101427.83843199999,96900.566675,107067.507525,3
